Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHL,5.90,4.90,4.30,3.80,5.00,5.90,6.80,4.40,5.50,5.80,,
CZE,10.40,9.80,8.50,8.10,7.60,7.60,10.00,7.40,8.20,7.60,6.30,5.70
IRL,6.70,6.70,7.20,5.60,8.80,5.00,11.10,6.40,7.10,8.80,8.20,
MEX,3.40,3.60,2.40,3.50,3.20,3.60,3.30,5.70,5.70,3.60,3.60,
POL,7.70,7.70,7.40,7.30,7.00,9.00,9.40,8.10,9.20,8.80,7.80,8.40
AUS,3.70,5.30,4.50,4.40,5.80,,2.90,3.90,2.90,3.50,3.70,3.20
BEL,,,,7.80,5.70,7.10,6.90,7.10,6.10,7.50,,
GRC,4.10,4.90,2.20,3.90,3.80,4.10,4.30,3.80,6.30,4.80,4.50,
PRT,5.50,2.00,3.60,3.40,,,,4.70,3.60,4.90,4.40,6.20
AUT,6.10,7.50,6.40,9.00,5.40,5.00,4.80,5.30,3.30,4.90,7.50,8.10
DEU,7.10,5.90,6.10,5.60,5.50,6.60,6.30,6.20,6.30,6.80,6.10,6.90
GBR,,8.40,8.40,9.40,7.90,8.00,8.80,8.40,7.90,8.50,8.10,
ESP,5.00,5.10,3.70,5.90,3.60,5.10,5.00,6.50,5.70,5.20,5.70,7.00
EST,8.50,2.20,4.10,7.50,2.40,5.10,8.60,2.90,4.50,3.80,5.70,7.20
FRA,5.20,6.20,4.60,6.20,6.20,6.00,6.80,6.00,6.00,5.40,,
JPN,2.60,2.50,2.70,2.90,2.40,2.30,2.50,2.80,2.40,2.10,2.40,2.90
CHE,8.90,5.70,7.30,4.90,7.20,6.20,4.80,7.20,4.70,6.20,8.40,
ISR,9.10,2.30,3.30,3.10,3.90,3.90,3.10,6.20,7.00,5.40,1.00,
NOR,4.70,8.00,6.90,6.70,9.10,8.60,7.80,7.20,5.50,5.30,8.50,9.40
DNK,12.30,14.50,8.50,12.80,8.20,15.60,13.00,13.40,12.20,9.70,11.50,6.90
KOR,2.60,2.40,2.00,2.40,2.00,1.50,2.00,2.10,1.60,1.80,1.80,2.00
LUX,0.00,0.00,19.50,0.00,0.00,21.90,14.60,9.20,0.00,1.00,4.30,1.00
SVN,2.10,5.90,0.60,11.20,5.90,5.20,8.40,8.80,14.60,14.90,5.70,
FIN,3.40,3.60,5.90,2.50,1.70,2.60,2.80,0.90,2.70,1.50,3.50,2.40
ITA,4.10,4.40,5.40,4.10,,,4.40,4.10,3.90,4.60,4.70,
NZL,2.60,4.90,2.80,4.80,6.40,7.50,4.60,8.40,4.70,4.90,,
SVK,5.00,3.00,5.60,7.90,5.20,6.20,6.50,10.60,7.50,5.10,5.20,
USA,6.00,6.10,6.20,5.30,5.90,6.10,5.70,5.80,5.90,5.40,6.10,
CAN,5.70,6.80,5.20,5.90,6.60,5.80,5.50,5.60,5.50,7.40,,
HUN,12.30,12.60,9.10,12.30,14.10,11.40,12.00,17.30,13.10,12.30,18.40,14.30
ISL,19.60,17.10,8.00,13.40,0.00,17.90,0.00,0.00,0.00,23.80,,
NLD,9.70,9.10,14.00,11.00,6.90,11.30,9.60,10.60,9.70,12.30,11.60,9.90
SWE,5.60,6.30,8.00,7.40,5.60,6.90,5.30,6.80,7.70,5.30,4.50,
