Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BEL,,,,111.20,115.40,112.60,102.80,109.20,97.30,98.50,,
CHE,66.80,57.40,65.20,59.90,57.10,53.50,55.80,52.20,45.30,47.00,44.50,
CHL,234.00,234.70,218.90,227.40,208.40,180.40,188.90,184.00,180.60,180.40,,
CZE,226.00,213.40,214.30,201.20,181.10,172.10,162.80,142.10,137.50,132.80,126.00,125.10
HUN,489.20,455.00,451.80,429.20,396.20,338.60,342.10,316.50,316.40,278.30,275.10,258.30
NOR,105.00,91.30,88.80,86.40,90.80,67.90,76.00,73.90,78.40,62.90,68.10,64.50
SVK,212.80,205.10,215.30,209.00,189.80,176.80,180.80,223.30,254.60,245.80,224.60,
SVN,231.30,200.70,198.60,195.50,186.90,162.40,174.60,119.10,131.30,123.30,131.30,
AUS,86.10,82.80,82.40,78.10,74.10,,71.80,71.00,74.10,66.50,65.40,60.80
CAN,81.30,80.00,79.50,70.00,66.90,72.20,63.70,66.60,67.60,60.80,,
EST,532.50,476.40,437.30,442.10,366.60,360.60,331.60,300.30,248.40,217.70,176.20,185.60
ISL,108.30,57.00,92.20,39.10,87.50,80.20,87.60,67.00,84.30,85.70,,
KOR,383.00,359.60,346.40,319.20,276.70,242.20,218.70,198.80,181.90,161.70,155.70,141.60
PRT,275.60,269.80,249.60,226.80,,,,155.70,156.60,147.80,135.50,126.50
DEU,118.80,116.90,112.80,105.30,101.60,96.90,94.70,90.30,87.60,84.20,81.30,77.30
DNK,139.90,137.40,150.90,155.30,152.50,120.30,132.80,124.70,113.40,113.90,100.50,84.10
GBR,,142.60,142.40,139.20,128.60,121.10,112.80,107.20,107.50,94.80,93.60,
FRA,104.70,101.80,98.70,95.40,86.60,84.80,82.70,78.40,80.60,75.40,,
ITA,113.90,109.10,103.40,97.30,,,83.60,77.70,80.90,79.10,71.60,
LUX,155.30,169.40,173.90,141.40,105.50,106.00,120.80,73.30,98.30,73.40,72.30,78.00
NLD,127.90,124.00,126.90,115.60,104.60,97.00,89.40,89.60,78.20,81.60,74.60,68.40
USA,138.30,130.70,128.60,126.90,124.10,122.10,121.10,118.00,114.20,111.10,108.20,
ESP,117.40,117.10,115.80,110.10,101.40,102.60,99.30,96.10,94.30,83.50,74.00,73.50
JPN,206.60,202.20,195.40,193.60,184.60,185.00,179.10,175.80,171.50,165.30,158.10,151.10
NZL,129.40,137.60,107.60,113.20,92.10,104.60,97.90,93.00,91.00,92.90,,
POL,349.40,338.30,320.30,303.60,311.60,293.60,280.40,278.80,266.90,251.10,228.30,223.40
AUT,138.50,139.10,117.80,99.80,91.60,87.30,82.40,76.60,78.80,80.70,76.10,61.50
GRC,183.50,183.70,176.50,166.50,166.60,163.80,159.30,139.80,139.80,129.70,120.80,
IRL,158.40,130.10,108.90,108.30,107.80,95.80,107.00,91.20,99.80,89.30,81.20,
SWE,103.30,102.00,99.90,94.90,92.80,78.00,84.40,77.70,76.60,76.90,62.00,
FIN,183.00,161.30,171.50,159.20,163.60,131.20,151.50,130.10,123.20,118.80,110.00,99.00
ISR,96.60,95.80,84.40,72.40,83.80,84.20,68.60,62.10,54.20,55.50,51.20,
MEX,194.60,188.20,186.50,182.00,176.70,168.20,164.80,174.80,174.60,172.90,167.40,
