Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DEU,36.4,33.3,32.3,34.6,30.7,32.7,30.6,28.1,27.2,27.5,28.3,27.2
GRC,56.5,72.6,57.9,53.2,54.9,52,51.3,62.6,52.6,48.2,43.1,
IRL,51.7,56.6,53.9,56.8,43,45.7,49.9,49.5,40.5,43.5,37.3,
POL,69.6,61.8,60.9,64,66.4,65.6,63.5,78.9,78.6,66.1,62.9,70.1
TUR,,,,,,,,,,,,
CAN,23.3,22.4,27.4,25.2,24.9,25.9,23.5,24.8,24.9,25.8,,
KOR,96,91.3,80.1,84.5,73.8,62.8,61.6,57.2,50.7,45.4,50.5,45.5
MEX,46.9,47.4,45.3,44.3,42.4,42.9,39.9,37.6,37.6,38,36,
NOR,39.9,30.2,40,37,32.9,36.7,28.9,22.9,25.2,26.5,28.9,21.6
CHE,58.1,61,41.3,47.2,52,47.4,44.4,52.6,41.7,42.9,38,
ISL,47.5,64.8,21.5,71.7,33.2,11.3,25.5,7.3,3.9,16.3,,
SVK,111.8,112.2,99.5,92.8,90.7,104.4,,,102.2,97.8,92,
SWE,17.3,23.7,19.4,22.9,24.2,21.5,18.7,23.3,20.4,19,15.3,
FIN,83.7,80.3,82.9,84,92.7,95.2,93.5,77.5,72.1,67.2,67.6,62.7
HUN,128.5,101.3,113.3,104.3,114.4,83.3,84.8,76.7,74.3,75.9,69.2,61.5
ISR,18.8,18.5,14.4,18.2,17.9,13.1,10.8,10.2,14.8,12.8,12.3,
LUX,81.8,42.4,45,62.4,17.4,60.1,37.1,45.1,34.3,31.4,50.5,45.2
DNK,28.9,24,20.2,28.4,25.2,23.5,19.3,30.4,17.1,16.3,23.1,18.1
GBR,,31.7,29.8,29.7,28.2,29.4,29.3,28.4,28.6,29.5,26.9,
USA,26.9,29.9,28.7,28.7,30.7,29,30.9,31,29.6,29.5,28.3,
EST,128.1,157.8,144.2,142.9,121.1,124.8,101,69.3,99.8,115.2,72.8,76.1
FRA,44,45.6,40.2,41.9,36.5,36.8,37.8,37.5,36.6,35.3,,
ITA,38.1,37.1,35.5,27.2,,,29.3,27,24.2,23.9,23.9,
AUT,71.2,64.1,68.8,76.1,60.7,59.2,54.1,52.9,55.6,49.6,41.7,40.7
BEL,,,,48.2,53.5,45.1,50.3,45.5,49.4,42.6,,
CHL,34.1,32.3,34.5,42.5,37.2,37.8,39.9,40.9,30.4,32.5,,
ESP,35.6,32.2,34.7,31.7,34.2,33.1,27.6,30.1,31.7,27,25.2,23.1
NZL,28.5,31.7,35.4,34.5,42.2,38.7,27.9,28.3,39.3,39,,
AUS,25.5,25.7,24.1,23.7,18.5,,18.4,21.5,17,21.7,17.3,14.3
CZE,81.2,70.5,65.4,68.3,72.7,52.5,49.3,54,62.6,71.5,66.2,40.4
JPN,33.2,31.6,29.8,29.5,27.8,27.5,26.6,26.3,26,25.6,25,21.3
NLD,21.2,27,19.7,23.3,26,22.1,19.4,21.9,21.1,20.7,19.7,17.8
PRT,49.5,57.4,61.6,46,,,,26.5,23.1,22.1,23.3,18.4
SVN,72.6,82.2,100.1,93.8,69,66.2,72.3,100.2,77.6,82.6,84.4,
