Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
POL,765.2,729.4,668.6,630.3,640,612.3,591.4,581.3,569.1,563.3,519.8,492.6
SVN,419.6,454.9,383.2,295.2,342.6,363.4,314.3,244.5,239.3,205.5,259.2,
GRC,396.9,402,389.2,400.8,394.6,349.8,363.2,364.8,330.2,339,314.1,
ISR,321.5,265.2,231.1,257.7,199.5,194.4,220.8,170.7,181.1,159.3,142.9,
ITA,320.2,322.1,299.2,266.3,,,228.1,225.7,214.5,208.2,203,
TUR,,,,,,,,,,,,
USA,651.3,639.2,629.9,624.3,595.4,585.5,570.8,555,553,531.2,521.8,
CAN,316.5,309.8,292.2,285.6,266.5,271.8,251.9,256.2,250.4,244.5,,
GBR,,441.3,437.5,421.8,384,369.1,362.8,343.5,335.5,320.8,310.2,
ISL,366.7,194.4,306.1,232.7,286.1,203.6,189.4,133.5,173,114.2,,
LUX,336.1,413.9,469.4,395.8,339.2,292.1,445.3,260,238,210.9,242,182.4
PRT,416.2,413.4,433.8,403.6,,,,258.7,262.2,241.6,221.6,207.6
SWE,316.7,310.1,308.2,296.2,259.1,237.3,256.5,228.2,223.4,238.4,205.8,
AUT,452.4,447.6,350.2,304.7,259.7,268,254.2,233.8,241.5,235.1,251.1,226.6
CZE,610.2,599.8,601,563.6,544.7,507.9,508.8,448.1,434.6,420.8,415.5,419.2
DEU,400.5,400.4,400.1,380.5,358.4,350.6,337.3,332.8,310,300.9,287.5,277.9
NOR,316.2,288.5,259.7,238.1,237.1,222.4,234.8,211.6,202.6,185.4,187,183.1
BEL,,,,378.7,347.5,348.3,326,340.1,310,297.2,,
DNK,386.3,366.5,368.3,358.1,349,316.8,291.3,278.5,264.4,278.5,229.6,216.7
EST,1114.8,1096.9,1003.6,936.3,788.8,755.8,709.4,730.8,704.1,591.4,544.1,476.3
FRA,255.6,253.6,252.6,241,224.4,222,212.6,203.5,219.7,198.8,,
HUN,1071,1014.1,973.5,932.1,955.7,936.2,865.1,833.9,813.1,740.4,737.3,686.7
IRL,495.2,406.4,390.1,394.6,327.4,304.2,346.2,304.3,279,293,254,
JPN,301.9,296.8,297.3,289.7,283.7,281.6,268,260.8,252,246.5,232.8,236.4
NZL,475.4,440.3,401.6,378,342.8,351.1,335.2,321.8,321.9,288.4,,
SVK,789,770.7,700.9,710.1,710.4,647.3,662.9,695.3,603.6,604.1,618.6,
AUS,304.8,287.6,264.5,268.6,256.1,,229.8,244.9,237.7,222.5,228.3,213.7
ESP,272.9,263.7,262.1,256.9,233,237.6,223.9,222.3,213.2,198.9,190.1,185.7
MEX,634,609.1,603.2,590.7,558.1,556,537.2,541.9,550.6,572.3,551,
CHL,458.4,467.9,451.9,464.1,444.5,402.3,411.6,401,376.4,365.8,,
CHE,238.7,229.1,213.9,223.7,202.7,175,177.4,187.4,181,182.7,166,
FIN,424.8,317,365.2,332.5,354.5,307.3,321.2,277.1,280.8,306.7,262.6,239.3
KOR,462.8,399.2,392,353.7,319.3,288.6,261.7,243,217.9,202.8,195.6,182.6
NLD,429.6,400.1,412.3,390.6,363.1,327.4,295.9,303.1,281.2,284.7,252,241.4
