Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHL,675.30,679.60,657.90,686.30,639.80,603.60,604.30,600.00,575.10,585.50,,
LUX,602.70,686.50,663.90,637.90,603.60,543.50,671.90,411.50,432.70,390.00,411.30,367.60
USA,996.30,968.80,965.00,952.80,912.80,903.00,884.00,860.60,844.40,823.50,807.40,
AUS,523.70,517.30,487.10,475.00,456.60,,397.60,422.80,414.40,395.40,387.20,372.40
CZE,1191.40,1136.80,1130.30,1081.70,1052.10,981.40,965.90,884.00,866.70,823.60,822.00,830.20
ISL,592.20,374.70,572.40,406.50,560.70,392.10,385.30,391.70,352.00,414.20,,
SVN,867.20,847.20,773.90,762.30,741.40,734.70,694.20,608.40,556.00,509.50,505.50,
AUT,804.90,782.10,630.50,536.30,477.70,490.20,471.30,468.70,433.00,443.80,464.20,428.00
CAN,559.00,528.00,512.00,514.10,495.00,483.30,455.70,453.60,448.40,433.00,,
ESP,557.40,535.90,528.20,509.50,488.10,480.00,463.30,449.20,438.20,406.30,387.30,368.30
NOR,550.00,537.50,508.70,458.60,453.20,437.80,437.20,396.10,384.30,359.60,366.30,333.70
SWE,571.50,564.20,524.40,513.80,485.50,457.80,454.10,432.20,420.90,411.30,374.90,
BEL,,,,610.40,564.70,554.30,537.10,526.80,510.10,487.40,,
CHE,475.40,443.00,421.80,418.30,387.00,376.70,365.00,350.00,342.90,332.80,318.20,
FRA,499.10,486.50,476.50,462.50,421.90,419.50,404.70,389.80,396.30,374.30,,
IRL,879.80,777.40,760.10,710.20,683.70,598.40,591.60,560.20,517.50,516.50,464.50,
ISR,548.50,483.50,429.10,416.00,398.10,368.40,358.80,344.20,337.40,285.90,276.40,
ITA,585.30,581.00,541.10,507.30,,,428.30,415.20,407.20,392.20,373.90,
NZL,755.80,713.60,680.20,640.10,616.70,601.40,549.80,565.90,546.00,512.60,,
EST,2254.80,2171.70,2197.20,1979.20,1853.40,1742.30,1732.80,1678.60,1623.90,1395.50,1285.50,1159.70
HUN,1983.60,1824.80,1797.00,1748.70,1726.70,1801.70,1662.50,1629.70,1545.50,1458.60,1431.40,1364.50
JPN,530.90,531.00,526.80,527.30,511.40,517.50,493.70,482.80,471.80,466.20,443.30,442.20
NLD,689.20,627.40,636.40,624.90,552.40,525.00,482.60,469.80,438.20,415.40,392.20,373.80
POL,1527.30,1472.20,1363.40,1309.40,1312.10,1275.50,1264.50,1254.70,1240.30,1218.40,1138.90,1078.70
DEU,741.20,726.30,711.00,700.50,653.30,631.30,608.40,597.10,558.50,544.80,521.60,490.10
FIN,915.00,780.20,787.80,778.90,784.40,718.50,706.50,683.90,666.20,654.00,624.70,598.90
GRC,828.60,820.90,776.70,810.20,816.70,760.90,750.60,765.00,708.50,724.30,680.20,
PRT,689.20,701.00,731.10,685.30,,,,438.10,444.00,410.10,387.00,367.70
DNK,616.20,616.20,614.50,606.50,565.80,505.50,503.10,477.10,432.20,429.80,390.80,368.90
GBR,,764.60,749.00,723.20,674.60,647.10,629.20,600.70,586.10,550.30,542.90,
KOR,727.00,651.60,638.80,586.10,539.00,494.90,457.70,433.50,394.40,376.90,356.00,334.00
MEX,777.00,752.90,759.60,750.00,718.40,717.40,706.40,727.50,748.70,760.40,747.20,
SVK,1566.70,1493.20,1477.20,1390.30,1365.30,1340.10,1328.70,1381.60,1272.10,1238.60,1178.30,
