Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CZE,96.9,124.7,103.9,109.8,69.1,92.9,77.8,101.1,90.2,88.9,82.2,72.8
DEU,142.1,136.8,135.8,137.8,130.4,124.3,118.2,122.5,111.6,122.8,120.4,124.8
ITA,159.9,162.9,154.1,146.9,,,127.2,110,116.6,104.3,102.4,
MEX,385.1,361.2,351.5,329,324.6,328,330.1,311.1,321.2,333.8,342.9,
AUT,190.1,170.7,151.4,165.2,164.3,152.5,121.8,127.7,153.3,166.1,161.5,172.7
BEL,,,,144.7,135.7,114.7,112.4,123.9,126.1,109.5,,
NLD,196.5,195.7,173.5,184,167.5,169.6,175.1,139,130.1,132.6,136.1,132.5
SVK,246.8,211.8,276.1,253.7,197.7,224,218.3,193.9,187,200.2,189.3,
SWE,159.9,144.9,131.3,122.8,128.6,109,119,111,87.8,97.7,88,
TUR,,,,,,,,,,,,
AUS,160,150.8,135.5,141.9,136.2,,116.4,132,131.4,133.2,128,114.8
CHE,187.2,184.3,166.2,163.4,158,175.7,177.6,136,141.9,140.4,138.1,
IRL,261.7,249.6,252.8,256,187.9,212.5,190.9,201.3,199.4,187.5,160.9,
NZL,212,184.5,210.8,191.2,183.6,162.5,182.9,173.3,164.6,160.8,,
USA,179.1,168.3,170.9,169.5,167.4,164.8,167.3,161.6,156.1,149.4,144.8,
DNK,208.6,176.1,171,185.6,165.9,147,138.8,114.9,109.9,65.4,70.3,92.1
EST,279.9,294,248.5,245.7,209.7,172.9,202.5,185.8,166.1,95.1,123.7,114.5
FIN,179,160.8,124.8,156.2,141.8,159.7,138.8,143.5,123.4,136.8,98.5,117
ISL,86.6,41.1,125.7,89,61.8,82.2,61.8,85.1,48.7,51.1,,
NOR,166.8,170.5,149.4,139.6,164.5,111.1,122.6,121.3,117.6,114.3,109.1,99.1
CAN,158.5,157.6,155.7,152.8,146.1,155.7,140.4,136.7,132.8,137.3,,
GBR,,163.1,156.5,158.4,145.1,155.6,149.1,144.5,137.2,149.4,139.1,
JPN,140.4,132.3,136.2,122.3,124,115.1,111.3,112.3,107.6,99.6,104.1,98
POL,287.2,270.3,256.1,238.6,240.9,234.7,208,219.8,199.7,193.6,184.9,182.7
CHL,330.5,305.1,314,302.4,310.7,295.7,279.5,281.5,262.3,303.7,,
FRA,130.3,124,105,115.2,110.3,100.4,106.8,107.3,99.2,99.6,,
GRC,205,219,209.2,177.5,194,159.4,163.1,171,122.9,157.1,191.7,
HUN,263.3,253.6,213.1,218.3,187,206.3,216.6,214.4,201.4,194.1,200.3,192.1
KOR,123.8,127.2,139,133.3,113.7,93.9,93.4,93.4,78.1,72.1,76.3,72.4
LUX,31.6,95.7,79.4,57.1,70.7,75.6,32.7,74.5,15.5,15.8,95.4,32.4
PRT,178.9,163.6,151.4,143.4,,,,116.9,105.2,92.5,79.7,102.2
ESP,177.6,150.3,155,150.2,137,131.8,127.8,111.3,115.5,102.4,108.6,105.3
ISR,135,134.9,146,143.5,144.5,156.3,131.8,148.4,144.8,149.2,128.9,
SVN,197.6,171.4,193.9,165.3,182.8,133,110.5,154.2,91.7,89.7,65.5,
