Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GRC,16.2,13.6,12.6,14,14.2,17.3,16.3,18.8,13.3,12.5,11.3,
POL,43.8,37.9,33.7,35.1,33,30,36.3,31.7,32.7,32.1,33.2,31.8
DNK,59.1,54.1,63.2,43.7,42.4,43.6,47,34.1,43.4,35.9,36.6,34.7
IRL,24.2,17.8,18.2,23.5,19.3,17.2,15.5,19.7,26.3,25.3,7.6,
CHL,65.5,82.9,75.8,80.2,84.3,80.4,77.5,77.5,59.7,63.9,,
CZE,26.6,31.7,26.1,26.4,26.8,31.9,25.6,34,28.7,30.9,25.8,27.1
FRA,21.7,23.6,21.6,25.7,22.4,19.5,20.7,20.2,20.1,18.2,,
JPN,16.1,15.3,15.1,14.6,13.2,14.6,14.5,12.8,11.7,11.8,11.3,10.6
NZL,69.4,58.8,62.9,62.3,54.4,53.7,72.4,54.4,58.1,44.8,,
CAN,44.5,47.1,48.8,47.3,44.9,47.2,38.3,41.1,43,38.1,,
ESP,20.6,21.1,18.7,16.8,16.5,15.2,14.7,13.9,14.4,13.3,12.8,11.7
ISL,0,46.2,23.7,51,46.8,9.7,2.2,14.3,0,10.4,,
NOR,21.2,23.8,25.1,30.4,21.7,19,23.1,20.6,27.8,24.1,13.6,14.7
SVN,31.3,22.3,32.2,33.9,20.9,15,16.1,18.3,21.9,19,21.7,
USA,97.8,96.9,97.1,97.8,93,92.6,91.4,86.9,84,80.5,80.6,
AUT,23.3,19.5,30.6,46.1,42.6,34.5,35.5,26.7,30.2,26.4,21.1,24
BEL,,,,27,20.5,23.7,18.8,20.4,18.8,21.1,,
CHE,22.2,17.2,21.4,18.7,14.6,22.5,15.6,14.5,18.1,10.8,15.1,
GBR,,22.5,26.9,23.3,22.4,21.1,23.7,25.2,21.5,19.8,22.6,
PRT,46.6,59.4,59.4,59.7,,,,35.3,36.6,33.8,35.5,29.6
SVK,38,51.5,45.2,38.5,38.7,38.5,32.9,34.3,25.8,25.1,27.5,
SWE,30.9,22.9,33.5,31.4,25.3,25.1,26.7,22.8,26.9,20.1,20.4,
TUR,,,,,,,,,,,,
DEU,26.3,25.4,27.9,27.5,27.2,25.9,24.2,22.6,22.1,22.4,20.9,24.2
EST,53,65.9,71.1,61.5,44.5,64.6,49.9,49.8,46.4,50.2,24.7,37.3
ITA,31.7,30.6,27.5,30.3,,,25.6,25.9,23.3,24.3,23.2,
AUS,37.1,32.9,32.1,28.9,31.3,,29,29.7,28.3,32.1,28.5,30
ISR,83.3,86.4,75.2,82.4,62.4,59.8,50.8,64.4,53.9,51.3,41.4,
LUX,41.1,46.5,17.2,47,5.9,14.6,17.9,27.1,28.1,7.5,22.5,16.5
FIN,32.4,30.8,25.8,27.8,34.1,37.1,28.2,33.7,37.8,32.7,34.7,26.9
HUN,65.7,48.7,46.9,52.7,51.5,67.3,58,56.9,55.7,58,46.2,46
KOR,86.6,85.9,86.6,76.6,72.1,68.4,61.3,53.1,48.4,40.2,35.2,37.8
MEX,554.8,569,582.1,607.1,614.8,624.6,603.3,574.6,596.9,596.1,582.1,
NLD,39.2,45.9,36.6,35,31.7,33.7,31.8,24.6,27.6,25.7,23.6,20.1
