Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
FIN,74.1,56.9,63.3,64,80.1,68.5,66.8,64.8,75.7,59.3,60.4,56.3
FRA,49.7,53.3,47.6,51.1,48.9,50,47.4,46.6,44.9,43.2,,
GRC,22.9,18.8,21.8,25.1,24,26.6,26.1,30.2,22.3,21,29.1,
LUX,16.6,83,30.5,47.9,14.9,23.7,56.2,43.5,52.4,12.7,33.8,23.4
NZL,95.1,104.5,87.8,83.6,99.7,101.1,98.7,98,90.8,92.3,,
POL,77.7,70,67.5,70.2,69.5,74,79.5,86.2,83.7,80.2,77.7,71.8
DEU,60.4,61.1,61.5,63.4,65.7,65.6,58.5,56.6,54,52.6,57.8,53.9
SVK,76.9,94.6,83.4,72.1,76.2,72.8,55.5,59.2,66.1,62.1,53.2,
USA,131.6,135.5,141,141.3,137.8,141.3,139.3,136,131.6,132.1,128.8,
BEL,,,,44.4,44.7,47.9,38.4,35.6,38,40.5,,
ITA,57.5,53.5,56.2,55.6,,,48.5,51.9,50.1,49.9,48.8,
NLD,69.6,89.9,70.6,64.5,68.4,64.3,61.8,54.2,59.9,53.8,52.1,43.2
PRT,64,81.3,90.9,86.4,,,,67.5,70,70.6,62.9,64.3
CHE,44,40.9,41.8,41.6,37,33.8,29.1,39.9,31.7,33,29.2,
CHL,87.8,105.1,102.5,103.8,104.9,102.5,94.9,100.3,88.1,89,,
EST,63,99.2,73.4,50.7,140.3,100.4,94.6,111.5,93,107.6,83.9,57.8
JPN,46.7,44.5,44.2,43.6,41.1,41.7,41.1,41.1,38.2,37.3,36,36.4
NOR,61.5,54.6,69.5,62,54.4,67.8,60.8,59.2,52.6,50.2,51.4,51.2
ESP,40,37.2,37.5,37.8,36.2,37.7,36.1,34.1,33,31.2,27.6,27
HUN,94.5,77.2,97.2,102.7,98.2,138.6,123.9,121.1,115.1,104.1,101.8,89.5
AUT,42.3,40.3,78.9,112.4,123.7,102.2,99.5,78.1,77.7,79.4,69.5,57
DNK,109.6,101.5,126.4,104.9,112.6,113.8,103.4,113.7,84.6,106,96.7,86.9
IRL,45,34.7,30.5,31.9,34.4,29.8,27.4,38.1,24.5,36.4,33.9,
ISL,0,30,15.6,0,20,22.6,10.9,15.8,31.8,30.8,,
ISR,129.8,144.3,122.4,127,125.5,110.4,97.5,114.2,103.4,97.8,97.5,
KOR,206.3,200.1,205.4,193.2,177,176.2,154.5,141.8,116.6,105.1,103.6,94
CAN,87,89.1,92.5,89,87.5,87.8,81,80.3,80.3,73.4,,
CZE,50.9,38.2,48.5,52.5,50.3,51.9,45.1,65.2,59.2,62.2,63.7,61.7
GBR,,41.8,40.3,39.4,37.5,35.6,35,30.5,35.7,32.6,33.3,
SVN,67.3,69.3,71.1,66.5,60.6,53.4,48.4,25.5,21,28,33.7,
SWE,55.5,59.9,65.1,64.6,59.8,64.8,56.5,44.8,61.7,50.5,47.1,
TUR,,,,,,,,,,,,
AUS,60.7,62.4,59.1,59.5,54,,45.6,51.4,52.4,57.2,51.7,49.9
MEX,560.1,577.4,632.5,641.3,656.4,687.3,678.5,684.5,716.6,709.7,711.3,
