Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
USA,174.4,176.9,182.7,184.2,177.3,182.2,179.1,177.1,174.6,173.4,170.8,
AUS,96.4,90.1,92,89,78.7,,69.5,79.6,83.7,87.3,77.8,78
GBR,,72.3,75.4,74.2,69.9,66.6,68.3,73.5,71.3,67.9,68.8,
ITA,124,114.9,115.6,82.2,,,72.8,75.3,74.4,78,72.6,
KOR,166.1,161.1,165.1,152.6,143.1,136.7,122.6,110.5,99.7,86.3,84.2,80.2
DEU,73,70,72.3,76.5,78.3,79.4,76.7,74.6,76.2,76.7,78.9,83.4
FIN,89.6,75.3,71.6,77.3,82.1,87.3,84.8,74.5,76,80.7,82.5,70.4
ISR,154.1,156.3,141.5,159.8,136.2,128.6,124.7,135.3,120.2,125,108.1,
NLD,87.3,102.5,87.4,81.5,78.8,76,78.4,68,78.8,64.2,72.5,60.1
NOR,73.4,77,94.2,85.8,73.9,73.4,67.8,72.9,63.1,76.3,74.6,60.5
DNK,143.3,135.1,158.8,127.5,125.1,127,133.6,123.6,117.7,114.4,105.1,93.1
LUX,68.7,89.3,72.3,57.8,32.7,39.1,65.4,46.7,67.7,24.4,38.7,36.1
BEL,,,,80.4,68.1,77.3,69.9,73.6,73.3,78.1,,
ISL,7.2,84.6,30.6,59.5,94.7,49.4,7.7,69.1,44.4,34,,
MEX,717.9,723.4,759,768,770.3,788.1,764.9,765.8,797.3,793.7,783.4,
SVK,63.4,81.8,71.2,68.8,78.8,66.4,58.1,54.6,54,61.1,54.9,
TUR,,,,,,,,,,,,
CHE,70.7,68.5,64.2,63.7,50.5,54.1,50.4,56.3,54.8,53,49.3,
HUN,114.7,86.2,103.8,101.2,99.2,140,126.8,137.5,134.7,121.8,107.4,105.7
JPN,52.2,49.1,48.1,48.2,46.5,48.6,46.5,46.5,43.6,42,42.6,41
SVN,83.7,75,65.5,83.2,50.5,47.8,42.8,36.8,43,47.8,45.8,
AUT,68.6,66.9,113.6,143.2,166.2,160.3,155.9,135.9,147.9,146.4,136.4,119.7
CAN,108.1,112.3,117.3,108.9,112.6,112.8,105.5,102.8,108.4,101.8,,
CZE,55,46.2,49.6,45.3,52.6,55.8,47.4,71.1,59.5,67.6,67.1,70.7
FRA,82.2,87.1,83.7,87.2,82.5,79,81.3,79.6,76.7,72.3,,
GRC,43.6,36.3,47.8,40.2,44.7,43.7,42.2,49.1,41.8,38.8,49.6,
PRT,372.9,397.9,110.4,120.2,,,,85.8,92,91.9,73.7,82.3
SWE,69.1,77.8,70.7,76.8,68.7,80.9,72.2,64.7,79.1,66.3,61.3,
CHL,111.7,128.1,126.3,130.5,130.5,125.5,128.1,120.3,103,119.8,,
ESP,60.3,58.3,54.4,57.8,62.5,57.5,53.9,54.6,54.3,54.2,51.7,47.1
EST,82.9,98.7,101.7,78.6,128.5,113.1,92.6,109.1,107.6,99.6,79.1,63.4
IRL,74.5,77.8,76.9,76.5,74.4,68.3,59.7,79.8,60.9,64.3,67.6,
NZL,147.2,132.7,137.1,126.9,145.1,135.3,155.8,137.3,139.9,140.3,,
POL,82,74,69.6,70.5,71.4,73.2,77.6,73.9,77.8,71,69.5,65.9
