Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,1550.60,1451.70,1368.80,1279.70,1245.50,,1115.70,1191.00,1218.30,1204.30,1158.50,1064.00
AUT,1660.70,1469.40,1447.20,1319.90,1291.70,1255.10,1177.60,1203.60,1057.10,1052.50,1012.50,950.70
BEL,,,,1580.00,1572.20,1487.80,1488.90,1501.50,1444.50,1370.90,,
CAN,1340.60,1339.60,1294.40,1295.60,1254.20,1312.50,1224.30,1259.80,1231.80,1193.50,,
CHL,2159.40,2119.40,1957.80,1936.50,1904.50,1867.30,1881.50,1770.10,1831.00,1844.90,,
ESP,1370.90,1260.60,1209.60,1218.60,1134.80,1085.30,983.90,926.40,868.20,735.20,661.80,618.80
GBR,,1051.10,1019.70,990.20,964.80,943.30,955.80,939.50,945.90,912.10,832.10,
GRC,1464.60,1453.60,1290.20,1341.60,1354.50,1417.10,1346.10,1395.00,1249.90,1283.80,1140.70,
ISL,1886.00,1595.90,1137.50,977.20,1013.90,953.40,1210.40,1179.20,918.80,983.40,,
JPN,1260.10,1214.20,1203.00,1244.60,1183.00,1204.90,1134.00,1098.30,1090.90,1095.60,1074.50,1206.70
POL,2343.90,2251.90,2282.70,2220.00,2195.80,2195.80,2132.70,2106.00,2140.10,2047.50,1952.40,1946.10
SVK,2131.00,2153.10,2078.80,2077.10,1939.70,1910.70,1930.40,1806.00,1943.80,1677.90,1675.20,
EST,5582.80,6207.90,5676.50,4931.50,4933.80,4425.90,4324.30,4405.40,3585.10,3457.60,2971.80,3060.60
NLD,809.30,786.50,795.60,777.80,712.90,687.60,637.50,624.60,614.40,629.00,602.20,592.80
CHE,1267.70,1203.90,1103.30,1051.50,1028.10,961.90,1003.40,991.70,920.30,957.40,779.50,
DNK,1282.60,1235.80,1130.00,1051.50,1025.50,1069.90,1029.80,1031.00,1018.20,913.30,798.10,833.90
FIN,2164.50,2217.80,2073.30,2039.70,2151.50,1995.40,2095.00,2045.90,2016.60,1921.90,1831.10,1698.90
USA,1961.90,2041.50,2043.40,2038.00,2032.90,2086.90,2154.80,2134.50,2048.70,1936.20,1924.40,
ITA,1037.10,1063.70,1064.70,1005.50,,,897.10,899.80,836.10,777.20,718.20,
MEX,2482.80,2339.20,2310.80,2258.80,2179.20,2214.80,2259.30,2182.70,2506.50,2724.60,2974.20,
NZL,1705.50,1653.60,1600.60,1598.10,1510.10,1548.20,1432.10,1508.60,1502.20,1529.00,,
PRT,1488.30,1680.10,1798.60,1559.10,,,,1024.60,963.60,970.90,921.40,850.10
FRA,1605.80,1601.80,1523.70,1442.40,1331.50,1300.00,1249.10,1221.80,1192.80,1203.00,,
SVN,2003.30,2180.60,2011.60,1983.00,1876.10,1808.30,1922.00,1864.10,1604.10,1488.90,1368.50,
DEU,1132.80,1090.30,1067.30,1033.10,947.80,889.50,842.00,810.50,785.40,768.10,753.80,744.90
IRL,1542.00,1557.40,1454.70,1250.00,1238.60,1341.20,1208.30,1415.90,1349.80,1559.40,1213.30,
KOR,1945.40,1763.00,1652.80,1757.20,1611.40,1540.30,1381.20,1377.10,1393.80,1460.10,1428.00,1384.00
ISR,1255.80,1371.90,1406.50,1173.60,1087.40,995.40,913.60,862.20,839.00,751.60,781.00,
SWE,1039.50,1161.90,1106.40,1047.90,1222.80,995.20,969.50,1066.20,1012.30,1003.90,913.30,
CZE,1913.20,1793.80,1792.80,1846.20,1766.60,1671.60,1546.90,1617.80,1492.20,1435.60,1423.50,1366.70
HUN,2324.50,2178.50,2216.30,2080.50,2082.90,1958.30,1966.90,1849.70,1692.70,1646.40,1538.80,1397.00
LUX,1723.70,1654.20,1589.80,1292.60,1139.00,1046.20,1139.20,1358.40,1011.80,1137.90,994.40,985.30
NOR,1282.80,1123.70,1161.80,1341.80,1406.60,1236.60,1220.20,1118.20,1184.50,1173.40,1067.10,1122.50
