Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CAN,901.9,892.6,884.5,875.4,848.3,891.5,836.7,858.7,842.8,814.5,,
CZE,1216.5,1143.2,1152,1173.8,1112.8,1071,981,1024.7,953.1,919.7,896.6,873.8
ITA,664,672.4,667.9,628.9,,,563.1,558.1,519.4,492.4,447.8,
MEX,1489.4,1425.3,1406.1,1371.2,1324.1,1342.5,1364.1,1314.1,1480.6,1600.8,1728.9,
TUR,,,,,,,,,,,,
CHE,834.9,806.7,753.3,709.1,682.3,662.9,700.1,672.8,630.7,634.6,526.5,
FIN,1416.5,1410.1,1339.6,1299.7,1444.9,1301.7,1334.4,1334.5,1303.7,1239.4,1179,1098.4
FRA,1059.4,1062.2,1001,936.3,877.7,847.9,813.2,790,770.8,774.1,,
HUN,1445.3,1336.8,1393.4,1291.7,1287.8,1219.4,1215.3,1144.6,1055.5,1014.2,958.1,887.9
NZL,1113.5,1089.1,1091.4,1098.1,1022.9,1036.4,954.1,1020.1,1036.7,1020.6,,
SVK,1281.3,1296.8,1259.3,1251.9,1198.4,1170.6,1143.1,1102.2,1154.2,1007.2,1001.5,
SWE,700.9,779.9,743,717.6,882.8,694.7,680.6,716.8,691.1,685.4,614.9,
EST,3366.6,3675.7,3352.4,2915.2,2855.5,2658.8,2556.8,2542.6,2107.4,2042,1748.7,1814.2
JPN,843,822.2,811.1,839.7,804.8,821.6,785,764.2,761,758.8,742.9,915.9
USA,1318.3,1370.5,1381.2,1382.4,1390.9,1418.2,1462.5,1455.9,1393.7,1329.5,1327.6,
CHL,1288.1,1260.1,1153.2,1142.8,1131.7,1115.6,1134.7,1072.9,1126.8,1129.4,,
DEU,755.8,724.9,715.5,684.7,626.1,591.6,558.2,535.5,522.2,507.7,506.4,490.5
IRL,971.4,979,915.3,792.4,770.2,854.6,764.7,917,864,981,797,
AUT,1082.5,957.8,939.5,896.4,829.7,818.2,766.9,760.5,682.8,681.9,652.6,617
KOR,1322.1,1200.2,1133.1,1212.1,1101.5,1089.3,968,1007.7,1019.1,1083,1031.2,987.9
LUX,1108.1,1129.3,1020.4,854.4,723.2,762.7,788.3,907.1,672.7,744.9,700,710.3
NOR,866.1,763,776.5,905,1001.7,854.2,818.6,758.1,792.5,790.7,746.3,783.4
AUS,1031.7,946.7,909.6,855.8,830.8,,730.9,805.1,805.2,814.2,768.6,724.6
ESP,868,797.1,766,777.2,731.6,680.8,621.9,594.7,554.1,473,424,397
GRC,928.5,923.9,815.2,834.1,854.2,909.2,815.4,865.5,767,785.9,706.6,
ISL,1207.2,1087.3,915.3,642.6,773.5,632.5,881.1,749.7,640,653.8,,
PRT,922.9,1042.1,1106.6,982.7,,,,641.7,613.4,607.2,593.5,523.1
BEL,,,,1050.2,1037.7,992.8,1002.2,994,956,932.1,,
DNK,876.4,819,736.3,710.3,699.7,701.6,690.6,685.1,676.4,602.4,532.7,544.9
GBR,,680.1,659.8,649,633.1,620.8,623.5,603.8,621.5,593.5,555,
ISR,773.1,858.1,901.4,736.9,696,642.9,596,536.4,505.5,475.5,497.1,
POL,1414.3,1354.6,1379,1333.1,1310,1316.5,1270.1,1260.1,1281.7,1219.5,1149.1,1151.1
NLD,561.4,541.6,547.3,537.5,500.5,481.9,444.9,430.1,425.4,431.5,417.4,416.7
SVN,1287.7,1309.1,1269.9,1228.8,1194.8,1169.4,1164.7,1194,1000.3,934.7,841.6,
