Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,34.30,26.40,24.20,21.90,21.10,,17.80,15.70,10.30,12.90,9.70,13.10
EST,9.80,16.30,19.30,36.90,78.30,145.20,191.90,153.10,159.30,217.90,160.40,235.80
GRC,9.30,8.40,10.20,7.40,6.10,9.20,8.10,6.10,4.70,5.70,6.70,
SVN,8.80,15.60,8.40,2.50,6.10,1.40,,4.10,8.40,0.80,,
CHE,57.50,58.00,44.30,40.10,36.00,26.40,26.80,20.50,15.60,14.40,13.40,
FRA,70.20,67.00,64.30,58.70,55.80,46.80,44.20,36.30,33.90,25.20,,
ITA,73.40,68.30,63.90,83.00,,,53.80,56.70,49.10,46.10,40.30,
POL,15.40,12.10,17.40,16.80,14.60,15.50,12.40,16.10,17.40,10.80,15.40,13.70
SWE,11.20,13.70,9.40,8.90,8.80,6.20,6.70,8.30,4.10,7.30,1.90,
FIN,6.60,4.10,4.20,7.30,6.80,9.20,6.00,6.80,5.70,1.00,3.50,2.40
ISR,18.40,14.10,14.20,13.90,7.70,12.40,11.40,23.90,7.10,13.90,11.60,
MEX,240.80,236.70,239.30,238.10,238.30,231.00,238.90,238.40,239.30,226.00,213.00,
DEU,25.40,21.20,21.10,20.10,19.40,18.90,19.80,17.10,16.40,15.20,16.40,16.40
ESP,189.00,168.10,166.30,153.50,144.90,128.60,107.80,105.50,90.80,77.50,71.20,64.00
GBR,,14.20,15.50,14.70,10.40,14.60,13.60,13.80,14.00,12.20,12.70,
JPN,1.60,1.10,1.70,2.00,1.30,2.10,1.60,1.90,1.30,1.70,1.40,1.60
SVK,2.20,1.60,0.60,,2.50,,2.40,1.10,,3.20,1.40,
USA,192.10,183.10,174.40,164.40,150.50,140.60,131.10,118.80,103.50,93.20,80.70,
BEL,,,,13.10,16.30,15.30,14.00,13.80,12.90,10.10,,
CHL,151.90,178.30,142.00,128.30,124.50,112.70,121.00,109.80,104.80,115.70,,
NLD,29.40,30.60,19.80,18.80,18.00,15.20,8.80,12.30,8.90,11.70,7.80,8.40
CAN,63.80,53.70,48.10,50.60,46.00,49.10,43.80,41.30,35.30,30.20,,
CZE,0.70,1.80,,,,1.50,,1.30,1.70,1.90,2.40,2.50
DNK,22.20,20.20,21.50,26.30,22.40,18.50,12.00,12.40,10.00,16.00,14.00,7.10
ISL,18.30,13.50,,,15.30,,42.70,,,17.50,,
KOR,2.60,3.20,5.60,4.80,6.20,5.80,5.60,7.40,7.10,6.30,7.30,7.60
LUX,25.00,10.70,34.60,1.20,15.20,,34.90,34.50,28.20,,,20.00
NOR,9.80,6.60,9.50,8.70,13.90,12.60,10.30,4.60,8.30,9.70,7.50,3.70
NZL,28.90,16.70,11.10,11.30,17.00,16.10,15.80,6.80,6.50,7.40,,
PRT,458.30,490.60,443.70,403.10,,,,284.20,247.30,218.20,209.00,182.30
AUT,25.00,22.40,22.40,23.40,22.90,36.20,15.70,23.80,15.60,13.20,18.30,15.90
HUN,6.30,4.10,3.40,3.10,3.20,2.90,1.80,3.90,1.10,5.50,5.50,4.90
IRL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,9.90,13.50,7.10,
