Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
PRT,17.2,13.4,28,20.1,,,,17.2,21.2,14.3,21.2,10.2
AUS,41.4,35.4,31.8,30.7,18.4,,15.3,22.9,24.8,24.5,23.2,17.5
BEL,,,,33.6,49.4,42.7,35.4,32.8,21,25.8,,
DEU,22.9,17.8,22.4,18.8,18.4,17.3,16.2,16.8,15,18.9,16.7,13.4
FRA,19.3,20.1,19.7,17.7,15.7,13.8,13.4,12.4,11.8,14.9,,
JPN,15.5,14.1,12.4,13.3,14.1,11.1,11.6,9.4,13.3,8.5,8.2,7.3
LUX,38.4,88.7,46.4,53.5,8,38.4,23.4,23.2,8.6,8.3,85.9,
NOR,41.1,22.2,22.4,39,19.9,15.2,35.7,18.4,13.4,10.6,28.2,87.6
SVK,24.3,30.2,43.5,25.6,32.7,27.9,,,22.6,19.7,21.9,
FIN,56,45,57.6,29.5,32.8,35.5,29.1,47.9,49.2,24.4,25,44.5
POL,28.9,23.5,28.1,25.4,17.7,17.9,20,15.6,14.4,14.1,12.8,15.2
SWE,20.2,20.4,30.6,17.7,26.1,19,19.2,17.3,19,20.4,19.2,
CAN,27.2,27.8,32.5,26.1,27.9,27.1,27.6,25.9,24.5,28.1,,
DNK,43.4,17.9,11.7,28.1,12.5,18.6,15.2,18.2,16.6,14.3,19.5,13
ESP,15.2,12.6,11.7,15.4,29.9,11.6,14.3,13.5,13.2,10.3,13.4,12.9
GRC,12.7,11,8.6,10.5,9.5,13.8,5.5,14.4,11.9,20.8,11.6,
ITA,13.7,11.3,14.4,16.5,,,13.5,12.7,11.9,13.7,10.2,
CHL,39.5,35.3,33.8,29.7,28.2,37.4,37.4,36.4,32.7,35.3,,
CZE,27.5,28.9,27.6,25.9,23.1,18.8,17.7,23.4,16.3,20.6,21.2,19
IRL,15.8,13.5,15,15.4,2.9,10.4,21,11.2,12.3,13.4,6.1,
ISL,63.5,,35.3,,85.7,,,,24.7,,,
NLD,26.6,30,29.8,27,19.7,25.8,22.2,21.2,19.6,18.6,19.7,19.8
SVN,22.3,15,34,43,28.2,20.6,8.7,15.7,12.5,17.5,8.8,
USA,93.2,107.4,93.6,88.2,86,84.8,85.7,86.5,81.8,80.2,74.1,
CHE,31.9,25.6,33,22.4,31.7,38.9,25.1,22.6,14.6,25.6,12.9,
EST,112.1,131.6,99.6,133.7,42.3,77.8,81.8,89.1,60.8,73.1,32.9,44.7
GBR,,8.5,7.9,8.1,6.4,7.2,6.8,8.6,6.4,5.9,5.1,
ISR,49.9,96.6,139.9,81.7,51,61.4,44,21.4,22.9,24.1,27.6,
TUR,,,,,,,,,,,,
AUT,32.8,37.6,32.4,14.9,22.1,17.5,31.8,18.5,13.6,21,11.4,11.4
HUN,58.3,27.2,57.2,40,35.7,39.4,47.3,38.7,37.9,21.7,26.1,29.8
KOR,45.4,37.1,43.5,43.1,49.1,48.2,39.6,35.6,37.6,36.5,31.2,25.5
MEX,75.2,74,71.4,73.7,67.9,70,69.4,55.8,75.4,97.3,124.6,
NZL,39.3,41.2,51.2,28.4,26.5,54.9,42,41,30.8,54.3,,
