Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
LUX,50.1,91.2,85,24.1,19.4,42.9,52.4,33.4,62.5,22.2,18.5,41.2
POL,79.6,65.9,63.7,52.6,55.9,51.5,50.3,49.4,44,36.3,29.7,31.5
SWE,40.3,35.7,42.2,34.7,40,33.7,29.6,51.3,31.4,34,44,
TUR,,,,,,,,,,,,
DNK,34.4,36.6,41.5,43.1,25.2,43.6,30.6,31.4,34,36.2,24.8,38.2
FIN,108.2,106.3,98.7,74.4,102.6,79.2,77.4,80.7,78.8,79.5,80.9,68.2
BEL,,,,59,52.1,53.5,46.9,59.6,51.1,45.7,,
CZE,61.5,44.7,41.7,41.2,37.9,25.2,30.1,39.7,26.9,26,15.7,24.1
DEU,24.8,26.3,24.4,22.8,21.4,18.5,19.8,21.2,16.5,15,20.6,17.1
AUS,61.5,65.6,64.6,57.7,30.9,,27.8,40.7,45.3,53.9,41.9,29.6
CHE,25.3,42,24.4,20.6,27.3,33.4,16.4,15.4,17,22.6,13.1,
EST,616.1,661.8,491,468.3,320.3,360,248,272.9,251.9,182.9,178.6,191.3
FRA,34.8,33.2,29.7,28.1,26,28.6,30.5,22.9,28.1,28.4,,
GBR,,20.7,22.6,23,26.7,21.4,22.8,17.8,16.2,14.2,14,
KOR,47,46.5,48.3,46.5,43.9,44.3,39.1,33.9,36.6,38.5,36.8,34
NOR,37.5,36.3,35.9,37.7,37.5,23.6,23.2,19.9,24.8,23.1,23.9,102.3
GRC,39.2,35.4,27.4,43.5,37.5,36.8,35,44.2,56.9,54.6,67.1,
JPN,19.5,19.5,19,20.2,15.1,15.8,16.3,12.4,13.1,11.3,9.9,9
MEX,598.5,552.1,529.5,513.9,472.8,494.5,515.6,419.8,717.8,959.5,1261.7,
CAN,70.5,73.1,66.7,68.7,75.9,90.8,78.4,82.3,93.2,90.4,,
ESP,40.2,42.4,44.4,40.2,50,37,31.4,25.6,31.4,27.2,22.7,28.2
HUN,79.6,82.3,81,57,64,46.2,57.1,49.1,59.9,37.8,42.5,33.8
ISR,160.3,264.8,320.8,229,167.5,138.1,148.8,102.1,100.4,106,110.8,
NLD,46.7,49.2,53.1,48.5,50.2,44,30.5,39.8,39.5,40.2,36.1,34.8
NZL,65.9,52.4,62.4,68.6,54.5,61.4,69.7,50,56.8,88.8,,
PRT,38.5,62.1,71,65.1,,,,39.6,54.9,41.2,41,35.2
SVK,90.2,78.2,73.4,79.5,56.3,51.5,,,42.4,32.6,25.4,
SVN,30.8,30.9,51.8,35,81.5,45.6,21.7,27.4,13.3,17.6,6.8,
USA,327.1,381.7,338.7,342,329.3,348,354.4,348,333.8,306,298.1,
AUT,22.1,22.6,21,23.6,19.8,36.3,20.9,21.9,14.2,17.7,13.5,20
CHL,290.9,312.2,312.1,303.7,293.9,321.4,315.3,245.9,240.2,297.9,,
ISL,65.5,59.3,57.5,,9.6,69.2,21.3,37,,22,,
ITA,46.1,43.9,41.6,49.3,,,38,43.2,36.7,36.5,32.9,
IRL,59.8,53.2,57.2,45.4,33.3,48.8,47.7,59.8,42.5,55.5,48.5,
