Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CAN,8.5,6.6,5.8,5.1,5.6,5.4,7.3,5.1,4.8,6.1,,
ESP,11.6,6.9,7.5,11.7,8.5,5.5,5.8,7.3,7.9,8.2,8.4,8.8
AUT,4.8,5.8,4.2,4.8,4,8.5,7.1,7,5.5,11.4,1.5,4
CZE,16,12.7,9.1,10.2,10.2,6.5,6.6,4.6,11.9,5.8,5.6,4.6
HUN,20.8,15.7,7.8,11.8,11.1,10.5,7.2,6.3,6.2,7.9,6.7,8
ITA,9.1,7.6,10.1,8,,,9.7,9.2,11,9.1,9.1,
SVK,17.6,14.3,5.3,16.7,7.6,9.8,6.9,14.6,5.6,15.5,8.7,
USA,7.4,8.4,8,7.6,7.1,6.5,7.9,7,5.5,6.4,6.3,
ISR,15.2,10.4,11.6,14.2,10.7,15.5,3.7,4.5,9.9,7.5,5.9,
LUX,,19.4,0,,1.2,3.9,27.7,,,,0,
NLD,8.6,8.2,5.4,5.5,8.3,6.4,7.2,4.9,6.6,5.2,4.9,6.5
POL,18.3,15.9,16.1,13.9,16.4,11.8,10.5,14.3,12.2,9.2,10.9,7.8
PRT,12.8,9.3,7.9,10.1,,,,7.1,9.7,8,9.7,9.1
SVN,0,12.1,15.5,8.7,1.8,2,3.8,3.3,6,4.5,0.9,
CHL,5.3,5,8.3,7.1,5.4,3.6,6.8,4.6,3.2,3.8,,
FIN,6.5,7.8,3.5,4.7,4.5,7.5,6.6,4.6,3,7.7,3.6,0.8
ISL,14,0,0,,,,,,,10.8,,
JPN,0.9,1.2,1.2,1.4,1.2,1.3,1.4,1.1,1.5,1.5,1.2,1.1
NZL,3.4,5.9,7.8,4.7,4.2,5.6,7.1,9.1,5.7,7.9,,
BEL,,,,4.3,5.1,6.5,5.8,4.8,6.7,2.7,,
DEU,5.8,5,4.2,4.6,5.2,4.2,3.8,3.1,4.5,3.2,3.4,3.5
FRA,8.3,8.3,7.3,7.7,8,6.8,7.9,8.2,7.4,8,,
KOR,1.2,1.2,0.8,1.6,2.6,1.9,1.5,1.4,1.4,0.8,1.3,1.8
TUR,,,,,,,,,,,,
DNK,3.5,0.9,7.7,9.1,5.6,3,5.5,7.5,3.3,6.6,3.9,3.5
GBR,,9.4,6.3,8.7,7.1,6.2,8.4,6.1,6.6,6.3,6.9,
IRL,8,4.6,7.1,12.3,3.6,7.9,4.6,5.8,5.3,5.7,3.7,
NOR,7.7,1.4,1.9,7.3,4.5,6.6,1.1,0.3,3,0.1,1.7,3.4
AUS,4.2,1.4,5,3.7,5.4,,3.4,3.9,1.7,4.1,3.8,3.4
CHE,,,,,,,,,,,,
EST,8.2,6.6,18,22.6,24.7,,,7.2,,9.1,10.6,13.4
GRC,26.5,23.6,16.6,16.5,18.6,20.5,13.7,17.2,15.8,21.6,13.5,
MEX,10,9.9,10.2,9.8,10.2,7.9,9.6,9.2,8.9,10,9.4,
SWE,7,4.2,3.2,4.2,5.1,2.5,3.8,4.8,3.2,0.8,5.5,
