Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CZE,2.5,1.1,0.5,0.7,0.5,1.4,0.2,2.8,1.7,5.9,2.9,4
ISR,0,0,,0.1,,0.6,0,0.1,,0.3,0.5,
KOR,1.8,0.9,0.9,0.3,0,0.1,,0.2,0.2,0.2,0.5,0.5
SVK,3.3,0.9,1,6.6,2.7,2.6,0.2,1,0.2,1.2,0.6,
SVN,1,0,,0,0,0,0.1,,0,1.3,0.5,
SWE,2.5,0.6,1.9,1.1,1.9,3.3,1,0.5,1.1,1.9,0.2,
BEL,,,,2,0.3,0.8,0.5,0.6,0.4,3.2,,
USA,2.1,1,1,4.5,1.7,2.3,2,2,3.4,8.7,1.7,
AUS,2.3,1.1,1.5,3,1.3,,1.6,3.1,1.2,2.3,1.2,1.7
GRC,0.2,0,0,0,0,0,0,0,0,7.4,8.3,
JPN,4,1.9,4.8,5.6,3,4.5,2.8,3.3,2.4,6.6,2.2,3.9
NLD,5.1,2.1,1.1,1.9,1.6,3.6,1.5,1,0.4,2.8,0.7,1.8
NZL,1.5,0.3,0.6,2.1,0.1,5,1.2,1.8,3.1,2.4,,
HUN,3.4,1.2,0.3,3.4,0.6,3.2,0.6,1.2,1.2,1.9,0.6,4.7
LUX,15.5,,7,5.2,5.1,0,1.9,15,0,1.7,0,0
POL,2.2,0.5,0.5,1.2,0.2,0.8,0.3,0,0.3,4.6,1.7,5.2
PRT,0.4,0,1.8,0,,,,0.3,0.1,0.3,0.3,0.1
CHL,0.7,2.2,0.1,0,1.2,0.8,0,0.1,0,2.8,,
DNK,0.7,0.2,0.5,1.7,0.5,1.2,0.4,0.4,1.3,1.3,0,3.3
FRA,4.4,0.9,1.9,2.1,0.2,1.8,0.8,0.9,0.9,2.4,,
ITA,4,1.4,1.6,3,,,0.7,2.1,1.5,1.9,0.8,
NOR,4.1,0,1.6,2.2,0.2,1.3,0.1,0.2,1.7,1.6,0.1,1.9
DEU,0.9,1,0.6,0.9,0.9,1,0.3,0.7,0.7,1.8,0.5,1.1
IRL,1.3,0.8,0,1.5,1.6,0.2,0,1.3,0.4,1.3,0,
ESP,1,0.2,0.5,0.4,0.1,0.6,0.3,0.1,0.2,1.5,0.1,1.1
FIN,1.4,2.7,0.1,6.2,2.9,0.1,0,1.5,4.3,1,0,4.9
GBR,,1.3,1,1.7,0.9,2.1,1,1,1.8,4.5,1.9,
MEX,3,2,0.4,0,0.1,0.3,0.1,0.3,0.6,6,2.5,
AUT,6.4,2.9,1.1,1.4,1,0.7,0,0.5,0.2,2,0,1.2
CAN,1.5,1.3,1.2,1.8,1.8,1.9,1.3,1.8,1.3,4.8,,
CHE,5.6,1.2,2.1,0.1,1.2,0.1,1.9,1.5,0,6.5,1.2,
EST,0,0,0.5,0,,,,0,,10.3,0,7.3
ISL,0,0,0,0,0,1.1,0,0,0,0,,
TUR,,,,,,,,,,,,
