Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ESP,249.9,231.5,228.5,222.6,210.4,202.8,197.4,185.8,174.9,167.2,161.6,148.6
IRL,474.9,427.2,427.2,377.8,355.8,319,293.4,324.2,274,290.1,238.6,
ISL,361.5,238,318.5,292.2,289.4,185.9,192.5,235.3,191.4,157.8,,
ITA,216.8,207,201.3,200.7,,,171.3,160.5,157.8,150.7,145.6,
NZL,427.1,392.4,382.4,356,360.7,329.9,299,318.5,287.6,275.3,,
BEL,,,,254.3,225.1,226.2,203,199.5,196.4,182.7,,
CAN,333.1,304.1,296.4,298.2,283.9,269.8,257.7,257.6,251.2,241.3,,
DEU,335.4,327.2,311.5,299.1,287.1,273.7,269.3,257.8,233.9,226.9,218.8,203.2
ISR,234,213.8,188.9,176.8,164.5,151.9,153.5,155.6,152.5,119.7,111.3,
JPN,132.9,136,136,134.2,130.3,134.7,134,128.1,126.9,124.4,120.8,124.6
LUX,255.7,249.3,289.1,230.5,280.3,204.5,321.4,177.9,191.5,141.1,162,157.7
SVK,755.5,683.3,680.1,646.8,625.7,586.9,577.1,640.8,618,621.6,591.3,
AUS,302.7,297.5,274.7,260.4,253.8,,208.3,214.9,215.4,206.4,192.5,190.1
CHE,217.3,189.6,187.7,187.1,168.3,173.7,164.8,154.2,146.9,140.3,138.2,
PRT,236.3,239.7,270,267.2,,,,161,149.2,135.5,135.4,128.8
SWE,311,298.2,274.1,266.7,245.3,232.4,223.5,226.7,213.2,197.9,184.6,
TUR,,,,,,,,,,,,
CHL,236,235.3,235,242.7,217.4,221.6,225.5,220.6,214.8,209.6,,
CZE,587.5,555.9,525.9,482.2,466.4,437.8,421.9,422.4,399.1,378.5,371.4,375.3
MEX,345.9,344.5,351.9,350.2,336.2,336.4,333.3,333.2,345.4,349.6,359.1,
POL,635.1,588.2,519.6,500.7,483.3,449.8,444.7,428.6,400.2,364.4,345.4,318.6
SVN,315.7,339,289.1,306.3,279.6,256.8,234.6,237.7,258.3,232.8,210.7,
USA,519,500.1,491,476.8,450.8,441.2,427.9,409.5,399,379.1,370.3,
DNK,266.4,258.9,233.6,225.5,203.9,182.3,185,167.3,161.7,152.6,139.9,135.3
GRC,441.4,445.4,435,465.5,484.9,438.4,429.7,465,419,449.8,412.2,
HUN,945.5,876.4,834.1,833.1,849,898,801.9,777.1,728.6,718.4,705.8,669.3
KOR,153.4,143.2,155,141.9,135.3,125.9,126.8,119,104.1,100.7,92.2,84.8
NOR,310.3,308.3,273.5,233,226.7,235.9,221.5,197.2,187.3,185.7,183.3,164.8
FIN,498.5,410.4,403.8,402,386.4,361.3,335.1,334.3,310.7,287.1,276.2,271.7
NLD,304.5,257.9,250.6,252,211.7,202.3,182.9,170.3,157.3,144.2,138.3,129.4
FRA,174.2,169.6,160.1,154.7,142.4,141.9,135.8,133.8,129.2,122.1,,
AUT,395.9,377.2,331.2,279.8,250.7,250.5,242.9,243.1,220.6,227.8,237.6,229.1
EST,1057.5,1026,1034.3,949.3,876.9,765.7,707.1,635.3,618.1,517.8,517.9,478.2
GBR,,438.4,421.4,398.8,370.4,347.8,334,318.6,306.3,283.9,274.8,
