Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
FIN,30.00,36.70,26.20,31.90,40.20,35.10,41.00,31.60,22.40,34.90,24.60,24.70
IRL,34.80,56.80,31.40,33.50,32.90,35.10,29.50,35.40,37.50,24.30,23.30,
ISR,58.00,37.20,40.00,48.60,47.30,49.80,33.80,44.40,41.90,42.20,43.20,
POL,44.70,53.60,47.70,50.00,45.20,44.10,49.50,42.50,40.10,35.40,34.70,39.50
SVK,55.70,48.90,73.20,54.10,36.60,55.10,42.00,47.00,38.00,41.50,38.50,
CZE,62.50,43.40,51.40,38.50,30.60,32.90,31.50,36.90,40.70,37.50,32.40,29.80
DEU,45.50,40.20,37.40,38.40,35.90,34.80,33.30,34.00,31.10,32.80,31.20,32.80
ESP,46.30,43.90,41.50,45.20,40.60,38.10,35.70,37.60,33.30,32.00,36.90,30.70
HUN,62.00,73.50,54.70,71.20,61.80,53.00,58.60,62.60,46.10,47.80,44.40,58.60
NLD,39.90,45.40,31.50,39.00,36.20,37.20,39.70,37.70,39.80,34.80,31.60,28.60
AUS,43.10,41.80,44.10,38.70,35.00,,31.70,33.10,29.70,33.90,25.50,22.80
CHL,55.50,56.30,57.30,59.40,59.50,57.60,49.00,55.10,49.70,41.00,,
KOR,50.90,57.40,51.20,47.20,49.30,48.70,41.40,47.40,45.00,42.00,36.00,34.50
PRT,44.20,51.30,63.70,45.50,,,,38.80,34.20,38.20,30.30,46.20
EST,58.00,63.70,51.80,33.40,38.50,38.80,44.00,57.30,56.40,61.80,27.20,43.70
LUX,32.70,40.50,23.20,2.20,11.20,12.80,32.10,49.30,0.00,24.00,34.30,30.50
NZL,33.70,48.70,33.80,38.70,53.80,59.80,25.20,43.50,37.60,27.40,,
AUT,43.10,38.10,35.30,42.40,35.60,24.70,36.40,38.50,34.60,36.80,23.20,35.00
BEL,,,,31.30,39.20,35.80,38.10,32.20,36.80,41.60,,
FRA,41.10,39.70,43.90,37.50,38.10,33.10,35.20,32.70,35.30,33.30,,
GBR,,44.00,40.90,36.40,37.60,35.60,32.60,32.20,28.50,30.10,29.10,
ISL,62.60,8.20,54.10,2.20,12.40,15.50,0.00,21.10,44.70,30.50,,
ITA,54.10,47.40,49.00,47.40,,,39.60,41.80,44.10,40.90,43.70,
GRC,37.10,36.90,35.20,41.60,51.70,38.20,37.80,29.60,40.50,39.70,39.10,
CAN,36.80,35.60,34.10,32.50,33.90,32.50,31.20,26.30,36.00,30.80,,
CHE,34.40,32.20,35.90,48.10,40.00,36.20,19.60,35.30,20.10,22.90,27.20,
DNK,34.50,36.10,51.60,31.90,35.10,32.40,27.60,33.70,35.10,27.40,23.50,40.60
NOR,45.30,33.90,39.50,37.20,34.60,24.50,23.00,34.80,25.00,31.20,27.20,29.20
JPN,43.40,38.80,37.20,39.30,36.20,35.80,34.00,33.20,29.80,30.40,31.30,29.20
MEX,84.50,76.70,77.60,79.60,79.90,84.30,77.40,80.60,74.50,79.40,77.20,
SVN,40.20,33.60,27.10,34.80,39.00,48.90,19.00,58.90,48.10,38.30,28.20,
SWE,33.20,35.70,42.60,42.40,40.00,33.50,37.60,34.70,25.00,32.10,27.90,
USA,45.70,46.90,44.30,41.40,40.50,40.90,40.40,39.60,39.00,37.50,37.50,
