Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHE,55.00,57.50,33.80,55.60,51.70,49.40,39.30,41.20,41.30,43.70,24.70,
CZE,72.30,63.80,64.30,61.10,65.10,49.90,50.40,47.00,61.60,41.30,45.70,37.90
DNK,72.60,57.20,65.10,42.10,49.80,53.60,42.20,67.70,43.90,28.00,42.80,60.90
FIN,51.60,62.40,52.10,43.20,38.20,40.40,48.40,39.70,54.90,33.60,37.60,25.90
FRA,57.80,63.10,59.30,57.70,53.00,51.60,54.60,48.50,48.40,45.10,,
IRL,54.10,45.90,50.60,42.80,49.30,43.70,46.80,27.40,38.80,55.60,40.60,
SVK,73.50,79.80,75.60,59.70,78.20,63.60,87.50,57.10,64.90,63.00,51.70,
CHL,71.30,68.40,72.90,72.70,68.10,61.20,62.30,63.10,56.40,65.80,,
GBR,,59.10,57.80,55.40,48.70,44.40,50.20,47.40,43.20,42.20,39.80,
MEX,92.50,88.40,96.90,96.80,92.40,96.20,94.90,89.00,92.90,94.50,91.90,
CAN,61.70,51.90,49.10,54.90,50.20,50.00,44.60,43.80,47.20,45.60,,
HUN,89.90,86.50,84.80,68.70,86.80,73.80,72.60,70.90,90.10,80.90,72.80,66.40
EST,71.20,71.90,58.80,93.10,96.90,95.60,37.60,70.30,37.50,63.40,89.20,53.10
NOR,54.50,29.50,47.10,45.60,48.10,40.50,36.20,44.80,37.30,32.50,37.00,31.40
POL,71.40,81.50,74.40,63.00,69.20,60.90,67.00,64.10,63.50,63.00,56.90,58.40
PRT,68.10,63.30,70.50,78.60,,,,50.90,54.20,46.90,55.90,49.80
SWE,59.60,52.70,44.20,44.50,35.50,45.20,41.00,41.30,33.00,48.60,31.70,
AUT,61.50,57.60,43.70,52.30,60.20,40.60,50.50,44.50,40.90,50.40,43.20,43.50
BEL,,,,49.40,51.10,57.30,47.50,45.60,48.40,43.60,,
GRC,63.30,54.70,55.10,51.40,59.00,53.20,47.50,54.30,61.70,52.10,68.10,
NLD,54.40,54.70,57.30,63.70,56.60,49.20,51.70,42.00,49.80,39.80,46.50,37.40
NZL,72.20,59.30,45.60,56.60,52.80,54.10,66.50,54.20,55.70,42.30,,
SVN,58.70,44.00,67.90,50.20,47.80,57.70,27.00,70.80,38.40,43.50,33.90,
AUS,62.70,58.20,63.50,57.00,47.90,,43.90,44.40,44.30,36.70,45.80,37.30
ESP,70.60,60.60,61.30,64.20,58.20,56.90,61.90,53.20,49.20,47.20,45.00,43.90
LUX,42.50,45.60,25.30,31.90,34.60,15.60,25.40,8.80,23.70,40.90,39.60,29.20
DEU,57.80,58.90,51.30,50.20,47.50,48.20,47.80,46.30,44.30,40.50,39.60,42.80
ISR,67.90,66.60,69.60,57.80,58.10,58.40,56.30,62.20,60.90,48.70,65.40,
JPN,65.10,59.10,57.80,54.40,51.50,53.10,49.70,49.90,49.10,44.50,47.50,45.70
KOR,73.70,73.90,67.20,65.40,68.40,65.60,62.70,55.70,59.70,53.60,52.00,50.50
ISL,10.70,31.60,10.60,2.30,38.30,6.70,72.30,21.50,66.70,61.40,,
ITA,77.00,75.30,71.20,66.70,,,64.40,59.60,62.80,57.60,50.50,
USA,64.50,64.60,61.30,61.10,58.40,57.40,58.00,55.00,55.30,55.10,50.90,
