Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHE,12.80,14.80,10.30,15.20,11.10,14.70,17.80,21.20,13.00,11.10,16.00,
CHL,21.50,25.50,25.70,27.90,23.60,24.40,26.00,24.70,24.60,23.40,,
EST,23.10,30.00,15.30,40.90,13.10,20.10,20.10,24.00,6.70,27.40,27.60,18.70
GBR,,10.60,12.30,12.10,14.10,12.60,12.50,13.20,14.90,14.00,15.70,
ITA,11.20,9.20,10.30,21.30,,,18.70,17.80,18.10,17.30,16.50,
SVN,16.80,12.10,12.00,25.50,27.40,8.70,13.20,17.60,18.50,13.80,8.30,
AUS,11.80,11.80,14.00,13.50,15.30,,13.10,14.10,15.60,17.50,16.90,12.90
AUT,6.30,7.20,17.40,18.90,15.10,20.70,17.50,14.50,15.80,20.90,20.40,13.80
DEU,13.10,12.10,15.10,14.80,13.80,13.40,15.30,14.60,14.50,14.70,14.70,14.90
DNK,21.10,10.70,13.40,13.60,9.70,16.20,11.50,16.00,12.40,14.20,21.40,14.90
HUN,29.30,25.30,22.80,27.00,27.10,26.70,23.90,12.70,18.40,22.50,13.20,16.20
IRL,3.60,3.60,1.70,2.40,3.40,1.10,2.50,11.60,13.30,13.90,14.00,
PRT,10.70,,18.40,15.90,,,,12.30,10.00,11.70,15.30,12.70
USA,16.10,15.80,15.50,16.80,16.60,17.10,17.70,18.10,16.90,18.90,19.40,
NOR,9.40,11.80,2.10,5.70,5.00,14.50,13.10,8.20,10.30,17.60,10.10,13.90
POL,23.00,23.80,20.50,21.30,17.90,16.10,17.40,17.60,17.70,16.80,16.90,15.00
SVK,21.20,34.90,27.30,18.80,25.80,26.60,25.70,15.80,26.20,25.20,18.40,
LUX,22.90,18.80,19.10,21.10,11.50,28.10,2.10,6.60,2.10,60.10,19.40,2.10
FIN,16.40,16.70,12.40,14.10,21.20,24.50,21.70,16.20,12.10,15.40,18.30,9.90
ISR,14.20,12.20,14.80,14.50,12.60,11.40,13.60,11.50,13.20,7.60,14.00,
KOR,87.20,86.50,89.60,86.30,77.70,78.20,68.30,67.90,64.30,59.40,53.20,47.20
MEX,51.10,49.20,49.40,49.30,44.90,45.40,46.70,40.60,42.10,42.30,36.60,
SWE,14.20,14.60,15.60,18.80,13.80,10.90,15.40,9.20,13.40,14.00,12.90,
BEL,,,,15.00,13.20,12.50,12.90,14.20,14.00,12.70,,
CAN,13.70,12.70,13.30,13.70,13.50,13.10,13.40,14.70,15.50,14.90,,
CZE,24.80,27.30,30.60,26.00,22.70,23.60,26.70,25.00,18.50,19.00,16.00,15.50
NZL,14.90,14.60,14.00,8.50,14.30,12.20,19.90,16.10,8.30,16.70,,
ESP,16.20,14.00,17.10,13.70,15.00,13.90,14.40,12.30,13.60,15.60,14.70,12.60
FRA,15.20,16.70,15.90,17.50,17.30,18.00,15.70,17.50,19.00,19.20,,
GRC,2.60,1.80,1.90,2.00,2.70,3.00,2.00,3.80,1.50,5.00,3.80,
ISL,0.00,,13.70,0.00,0.00,6.70,0.00,15.00,16.80,7.50,,
JPN,32.40,31.50,30.20,25.10,26.70,22.30,22.80,21.80,20.50,19.10,18.00,17.20
NLD,12.00,13.80,11.20,11.50,10.30,12.40,9.00,10.70,11.40,12.80,11.60,13.70
