Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,230.9,231,207.3,176.4,170,,136,137.6,123.4,119.4,107,105.2
CHE,,,,,,,,,,,,
ITA,271.4,255.2,252.9,236.4,,,203.3,189.9,186,177,170.5,
CAN,282.4,261.4,251.7,253.6,236.9,213.5,200.8,188.3,197.5,172.9,,
HUN,954.6,862.8,774.3,767.8,753.6,743.6,582.3,557.9,511,503.9,484.2,462.9
NLD,393.7,312.6,304.7,321,251.8,257.8,225.5,203.5,193.6,170.7,166.8,156.7
PRT,334.5,339,373.9,378,,,,228.3,204.7,185.2,188.6,178.8
GRC,629,633.1,608.4,609.5,613,557.7,527.4,572.4,511,524.6,491.8,
ISR,180.9,145.9,156.8,136.5,131.1,106.2,114.5,107.6,95.7,75.2,93.9,
JPN,144.3,144.5,142,139.3,132.5,133,127.4,117.9,117.8,117.1,110.6,114.2
SVN,365.9,347.5,297.1,341,282.6,227.4,247.8,250.5,276.6,200.1,220.4,
USA,335.8,317.1,303.8,294.5,273.2,261.2,250.9,236.2,229.1,215.3,211.2,
AUT,474.3,439.9,383.9,336.4,288.1,290.9,279.4,278.2,251.5,248.2,261.1,259.3
BEL,,,,317.3,283.2,284.2,251.2,243.9,239.9,226.7,,
CHL,311,304.9,304.6,321.2,279.8,299.5,294.7,290.7,278.9,282.8,,
MEX,433.1,436.3,450.8,455,437.4,438.5,444.2,422,446.9,465.8,487.4,
NOR,338.8,343.7,315,261.9,257,258.3,238.5,213.4,199.8,192.4,184.6,165.2
TUR,,,,,,,,,,,,
CZE,625.5,565.4,524.3,468.7,418.6,353.3,322.9,304.4,312.5,276.7,278.1,290.7
FIN,476.3,397,374.2,363,353.2,308.2,285.8,268.5,230.1,199.9,181.8,190.1
FRA,230.4,226.6,214.7,203.5,186.3,186.5,176.6,174.9,161.9,150.6,,
ESP,336.1,303.8,298.6,287.6,267.5,250.3,234.6,217.4,201.2,192.1,185.6,167.3
KOR,212.7,196.5,197.4,187.4,175.4,170,169.5,156.7,137.7,129.5,119.9,106.2
NZL,323.1,317.6,281,260.6,272.3,264,226.1,247.2,212.7,226.8,,
POL,822,755.6,658.1,624.7,589.8,539.2,530.5,475.7,450.1,371.3,361.3,316.4
DEU,387.9,375.5,350,339.6,326.2,310.6,304.4,285.4,268.5,259.6,252,233.1
EST,531.5,437.4,500.9,394.1,499.4,379.8,322.1,288,313.8,282.4,288.4,239.6
GBR,,339.8,324.4,298.2,273.3,250.1,241.5,227.3,216.8,202.1,192.1,
SVK,488.2,423.2,416.9,356,355.4,314,288.9,365.9,515.2,482.7,430.1,
DNK,275.8,266.1,218.3,202.3,191.2,181.9,170.2,155.1,159.6,143.3,142.6,122
IRL,419.9,368.3,331.1,282.3,297.7,254.4,248.8,231.7,208.2,181.8,153.8,
ISL,231.8,149,217.7,271.6,154.4,166.6,162.5,301.4,130.8,141.8,,
LUX,251.5,135.2,297.6,183.3,298.6,243,374.9,192.1,220,179.2,208.5,206
SWE,321.3,298.8,268.2,259.1,237.2,231.6,215.7,216.5,202.9,187.2,164.9,
