Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GBR,,214,205.3,187.6,169.7,156.6,149.5,140.9,134.8,124.5,118.6,
JPN,88.5,89.6,86.8,85.1,81.4,80.9,78.3,73.1,71.3,70.5,67.1,69.1
POL,482.1,441.6,381.6,364.3,346.4,315.5,308.1,277.7,260.6,218.4,209.5,184.6
AUT,287,270.9,233.7,203.4,175.6,174.3,167.8,160.5,153.8,149.9,156.8,154.6
CHL,200.5,198.9,193.8,205.6,176.5,187.8,187.2,183.7,175.1,173.8,,
CZE,375.7,344,315.1,285.3,251.8,213.4,191.7,183.4,190.2,168,168.1,171.8
MEX,308,307.7,315.6,316.6,303.8,306.4,307,286.7,302,319.6,329.9,
PRT,202.5,207.1,223.8,231.4,,,,137,125.4,112.6,112.5,109.8
SVN,211.4,203.3,175.1,191,168.8,134,147.7,141.5,159.5,122.7,128,
DEU,238.5,230.9,216.8,207.8,199.8,192,190.5,177.8,166.3,159.2,154.9,143.8
ESP,193.7,177.6,173,167,155.4,146.9,137.2,127.3,117.3,111.9,108.1,98.2
FRA,132.9,132.3,124,117.7,107.7,107.8,102.7,100.5,95.2,87.6,,
KOR,134.6,122.5,125.6,115.7,109.4,105,103.8,95.3,83.3,77.3,71,62.6
LUX,143,90.6,195.7,132.5,183.5,138.6,237.2,142.6,132.8,109.2,120.7,130.3
AUS,147.4,143.9,130.8,113.3,107.9,,85.3,87.1,79.1,76.7,67.6,64.9
DNK,178.2,173.2,141.8,129.4,120.3,119.2,114.3,102.3,98.3,92.5,89.9,75.9
ITA,158.9,151,149.1,138.6,,,121.2,113.5,110.6,105.1,101.1,
NOR,220.4,218.8,197.9,165.6,156.8,161,151,133.4,124.3,122.2,116.1,104.8
SWE,205.6,191.5,172.7,166.1,147.6,146.3,142.2,138.1,131.8,120.9,111.9,
IRL,258.3,222,201.1,175.8,182.9,157.9,154.9,144.8,125.1,117.1,94.3,
ISL,155.7,90.8,143,191.2,106.5,89.7,102.7,163,77.6,75.9,,
ISR,104.3,85.7,85.9,84.9,77.6,64,69.8,60.4,59,45.8,51.4,
TUR,,,,,,,,,,,,
CAN,177.8,161.8,155.9,157.1,146.9,133.3,125.6,117.7,121.3,108.8,,
CHE,,,,,,,,,,,,
EST,295.1,246.1,283.5,234.8,274.9,212.5,180.7,158.9,174.2,151.3,157.3,130.8
NLD,254.2,208.4,203.9,208.5,172.7,167.1,147.8,134.3,128.1,113.7,110.2,102
NZL,210,209.7,179.1,161.5,172.8,171.2,141.2,148.7,131.9,133,,
USA,225.1,213.1,204.6,196.5,182.5,175.2,168.3,158.4,154.6,145.1,141.9,
BEL,,,,199.4,177,178.7,154.4,154,150.9,141.2,,
FIN,284.6,228.8,220.3,206.8,203.7,181.1,161.2,154.4,134.4,115.7,108.8,110.8
GRC,366.6,365.9,359.8,360.9,357.8,323.7,309.5,340,301.2,316.2,293.4,
HUN,577.3,528.6,476,468.1,455.9,446.5,353.1,328.9,309.8,304.4,291.6,279
SVK,287.2,246.7,237.9,214.9,207.1,181.9,166.8,218.9,302,283.9,254.6,
