Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BEL,,,,85.4,83.6,82.6,75.8,91.7,91.2,80.1,,
GRC,51.7,57.1,59.1,58.8,55.8,56.2,51.5,58.8,58.3,56.1,59.5,
LUX,81.2,58.4,92.6,82.7,91.7,87.7,67.4,117.1,112.8,85.4,89.6,106.2
PRT,114.7,129.9,136.6,125.2,,,,132.7,133.3,130.3,133,134.9
SVK,211.8,232.5,214.8,186.1,218.1,208.6,172.5,185.3,202.1,182.1,172.9,
SVN,126.4,147.9,141.4,158,141.8,114.1,144.9,139.7,129.5,134.7,125.1,
AUS,131.1,120.5,106.4,106,96.9,,91.7,87.6,86.6,86,78.9,75.1
USA,104.8,105.2,106.4,99.6,94.8,92.8,92.8,95.3,96.1,94.6,96,
CZE,232.5,219.1,214.2,203.7,216.4,198.7,196.4,165.8,163.5,158.3,152,131.5
DEU,119.4,120.2,117.2,114.7,108.2,101.9,104.3,96.6,94.6,96.4,92.6,93.2
GBR,,105.8,105.4,98.3,97.1,93.2,94.3,95.6,93.2,90.2,89.7,
CHL,44.3,57.9,50.2,55,46.4,50.2,49.8,55.6,59,54.9,,
ISL,68.3,87,60,101.2,50.7,87.6,57.7,42,32.2,111.8,,
NLD,108.3,105,107.5,109.1,109.1,98.6,102.8,96.2,100,98.4,99.7,96.5
TUR,,,,,,,,,,,,
CHE,84.7,76.8,74.3,77.7,84.4,81.4,78.4,78.2,65,69.1,78.7,
ESP,114.7,113,119.4,113.8,116.2,114.5,113.5,111.4,105.8,112,108.5,111
HUN,238.6,248.6,249.7,247.5,254.1,241.7,233.9,242.7,234.5,247.6,234.3,230.1
IRL,129,124.1,133.7,110.1,106,106.3,116.6,90.5,104.7,114.4,93,
ISR,101.1,86,83.5,75.7,73.3,93.5,69.9,84.3,78.7,73.9,78.6,
JPN,127.4,125.8,121.1,120,122.7,115.4,114.7,114.6,110.8,104.5,106.8,109.9
KOR,89.3,94.6,94,95.5,100.6,94.6,93.5,95,88.1,87,91.5,86.5
AUT,103.7,117,118.8,119.4,99.4,92.3,91.8,95.4,89.2,90.3,81.9,78
FRA,98.3,100.2,100.1,97.3,95,96.7,93,88.5,86.7,84.7,,
ITA,102.9,101.2,102.7,98.9,,,93.9,89.1,91.1,87.7,86.7,
MEX,38.2,37.8,37.1,38.3,39.9,41.7,40.6,40.9,47.4,43.5,43.8,
SWE,82.3,82.8,89.5,82.7,72.9,79,88,74,79,80.6,79.1,
CAN,106.5,97.7,103.5,97.3,97.5,101.7,96.6,95.5,95.7,94.6,,
DNK,128.3,128.5,118,104,122,113.6,103.9,110.2,100.5,103.3,93,94.2
NZL,123.9,129.1,137.7,123.8,116.6,120.7,101.2,122.1,133.6,118,,
POL,123.6,130.8,126.2,126.2,130.8,122.1,125.6,129.2,126.5,125.4,126.7,117.7
EST,98.5,137.6,90.2,104.6,102.2,131.5,115.9,106,94.3,127.1,91.9,89.9
FIN,72.4,76.8,70.6,66.6,69.3,85.5,72,64,78.4,55.7,59.4,62.1
NOR,107.9,106.4,111.8,102.2,111,110.3,100.2,92.9,103.8,96.3,82,91.1
