Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHL,48.2,41.9,43.1,44.8,49.9,40.3,44.6,42.2,38.5,41.9,,
CZE,4.2,5.9,4.1,3.1,1.9,4.6,5.2,3.5,7,4.7,2.9,7.6
NZL,26.2,26.8,18.5,36.2,25.9,34.5,28,25.5,21.9,28,,
ESP,12.3,14.7,13.8,12.5,12.3,12.7,8.9,9.1,10.9,10.2,9.6,10.6
PRT,17.9,21.3,18.4,27.7,,,,14.4,16.4,15.4,16.7,12.8
DNK,19.1,17.9,15.3,17,23.2,22.1,15.3,17.1,16.1,12.6,10.1,6.8
FRA,12.1,10.9,12.3,12.6,10.6,10.7,10.6,9.6,10.3,9.5,,
JPN,18.3,16.8,17.5,16.5,14.3,15.3,15.2,13.4,13.9,12.3,12.6,12.5
LUX,1,11.6,11.4,7.4,9.1,3.8,0,16.3,6.4,6.8,12.7,21.8
MEX,51.5,50.9,52.3,54.4,53.6,56.3,57.7,65.8,69.5,67.9,64.6,
AUT,11.3,6.3,12.6,7.9,6.9,11.6,9.1,8.7,8.5,13,9,7.5
BEL,,,,10,11.4,13.3,11.7,12.4,12.5,9.5,,
CHE,8.8,13.5,6.3,8.9,15.2,5.9,7.7,11.3,6.9,8,8,
FIN,21.9,15,26.2,18.1,13.6,22.7,10.5,8.8,16.2,9.8,8.9,11.6
GRC,7.2,6.8,9.1,9.1,9.2,3.8,6.5,9.2,6.5,6.1,7.4,
KOR,21,22.2,18.6,17.1,18.6,16.9,18.2,13.1,16.1,13.5,14.7,15.7
TUR,,,,,,,,,,,,
CAN,20.5,21.4,22,23.8,17.3,22.6,20.6,17.5,20.5,16.6,,
HUN,25.3,21.1,21.3,23.7,19.3,32.5,20.4,24.5,24.3,27.2,20.6,21.5
NLD,15.3,21.8,15.3,12.6,11.9,15.5,15.8,12.7,10.1,11.1,14.3,10.9
DEU,9.5,8.5,6.1,6.6,7.8,7.9,7.5,7.6,7.9,8.3,9.3,8.4
EST,14.7,27.4,34.7,38.5,28.8,25.5,15.7,16.6,25.6,13.3,13.1,18
IRL,23.5,16.7,17.2,11.1,6.9,13.8,16.4,17.7,16.9,15.2,5.9,
ISL,27.3,0,0,0,0,0,13.7,2.1,5.8,14.5,,
SVN,8.9,7.4,19.8,26.5,24.4,10.8,12,14.4,12.3,9.8,26.9,
GBR,,18.5,19.4,21.8,22.2,18.5,17.6,16.3,16.7,20.6,18,
ISR,23.9,15.4,17.4,18.7,9.7,20.2,19.2,16.9,20.8,17.4,20.3,
SWE,18.3,14.2,12.8,10.2,11.2,9,14.3,13.2,11.4,7.9,10.9,
USA,37.2,37.2,36.9,37.8,36.4,36.3,36,33.9,33,31.5,30.8,
AUS,19.3,13,16.5,17.4,16.5,,17,15.3,13.3,15.7,14.1,12.8
ITA,12,11.6,13.5,15.8,,,12.5,12.5,13.2,13.6,13.6,
NOR,19.5,24.3,22.8,19.1,7.2,11.9,7.8,8.7,13.3,8.6,7.6,11.1
POL,18.5,16.6,13.7,14.4,11.7,12,13.2,12,11.3,11.8,11.2,12.5
SVK,17.7,7.1,13.1,10.7,8.5,10,7.6,9,6.5,7.5,12.2,
