Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,8.70,8.80,12.60,9.00,10.70,,7.10,8.70,10.20,10.60,11.00,8.30
MEX,17.80,17.00,16.90,17.60,18.80,20.50,21.60,26.00,30.20,28.90,32.80,
SVN,9.40,9.20,3.50,13.50,7.20,6.80,0.50,19.20,18.60,3.90,2.60,
ISR,12.30,9.60,19.80,17.00,18.10,15.60,14.20,15.00,13.40,17.70,13.20,
PRT,7.60,8.30,14.50,15.40,,,,8.80,8.70,13.80,9.20,12.90
CZE,4.90,3.30,2.70,2.70,1.90,1.60,4.80,2.60,4.60,2.70,3.70,6.00
DNK,9.20,12.10,13.80,14.20,7.70,13.60,14.00,13.70,19.40,10.90,19.00,9.50
GBR,,14.80,13.20,14.50,14.00,14.20,12.60,12.50,12.60,13.10,13.60,
HUN,15.00,12.80,16.70,12.00,12.30,18.90,21.30,22.90,14.70,20.10,22.90,18.00
JPN,9.00,9.70,10.10,8.60,8.70,8.20,9.40,8.60,10.10,9.40,8.90,9.40
KOR,15.40,13.50,12.10,12.70,11.60,11.10,12.50,13.30,9.50,10.90,11.40,10.40
NOR,12.00,16.10,13.50,12.40,12.60,10.80,3.10,6.30,10.30,9.20,12.60,9.20
IRL,8.60,10.80,16.30,10.40,13.60,6.80,8.50,13.30,11.40,10.90,14.30,
LUX,22.00,0.00,0.00,11.50,1.20,0.00,25.80,0.00,1.10,,0.00,4.70
SVK,10.80,6.90,7.20,15.80,5.00,5.80,9.30,9.90,9.00,8.40,8.30,
USA,19.30,19.10,18.80,19.50,18.90,19.00,19.10,19.50,17.80,18.10,16.80,
CHE,7.60,5.90,11.80,8.10,11.30,5.90,8.90,7.90,6.50,7.40,8.40,
ESP,9.80,9.00,7.90,8.50,7.70,9.60,7.80,6.00,8.80,6.90,7.40,8.40
FIN,12.30,17.90,9.00,10.00,9.80,11.50,13.00,11.30,7.40,7.20,6.60,6.30
FRA,11.60,12.00,10.50,9.90,10.60,10.40,9.10,10.00,9.70,8.10,,
GRC,8.30,12.40,12.70,9.70,6.40,8.10,8.20,8.70,7.20,8.60,8.40,
NLD,14.40,9.90,15.80,10.50,11.10,7.50,10.90,8.60,8.10,11.20,8.70,9.30
NZL,20.00,19.10,29.60,24.30,9.70,9.10,15.60,22.90,12.60,19.90,,
BEL,,,,10.50,10.00,12.00,7.50,8.80,11.00,11.70,,
CHL,16.10,16.10,15.70,18.30,23.00,14.90,18.20,18.30,13.30,14.30,,
ISL,,0.00,12.90,10.10,19.10,0.00,0.00,0.00,29.80,0.00,,
ITA,5.10,5.80,6.50,9.60,,,7.50,6.20,8.00,6.90,6.50,
POL,7.90,7.40,6.70,7.70,5.60,6.70,5.60,8.70,6.70,8.40,6.00,6.30
SWE,8.50,6.10,8.60,11.30,6.90,7.10,10.20,9.20,6.40,7.70,6.90,
AUT,5.10,4.10,12.70,7.00,8.20,6.60,8.00,10.20,8.20,5.60,9.20,2.50
CAN,11.90,12.90,11.30,12.70,10.90,10.80,14.20,11.50,14.10,11.50,,
DEU,5.90,7.00,6.20,7.00,7.60,7.90,8.50,8.00,8.00,8.80,9.30,9.80
EST,12.80,22.80,39.70,13.90,31.90,18.40,21.10,25.00,18.90,6.40,14.60,21.00
