Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BEL,,,,10.2,10.6,12.6,9.6,10.6,11.7,10.6,,
CAN,16.2,17.2,16.7,18.2,14.1,16.7,17.4,14.5,17.3,14,,
ISL,13.5,0,6.5,5.1,9.8,0,6.7,1.1,18.3,7.1,,
NLD,14.9,15.8,15.6,11.5,11.5,11.5,13.3,10.7,9.1,11.2,11.5,10.1
NOR,15.7,20.2,18.2,15.7,9.9,11.3,5.4,7.5,11.8,8.9,10.2,10.1
DEU,7.7,7.7,6.1,6.8,7.7,7.9,8,7.8,7.9,8.6,9.3,9.1
FRA,11.9,11.4,11.4,11.2,10.6,10.5,9.8,9.8,9.9,8.8,,
GBR,,16.7,16.3,18.2,18.1,16.4,15.2,14.4,14.7,16.8,15.8,
MEX,34.9,34.3,34.9,36.3,36.5,38.7,40,46.3,50.2,48.8,49.1,
SWE,13.3,10.1,10.6,10.8,9.1,8,12.2,11.2,8.9,7.8,8.9,
AUS,14.1,10.9,14.6,13.2,13.6,,12.1,12,11.7,13.2,12.6,10.5
CZE,4.5,4.6,3.4,2.9,1.9,3.1,5,3,5.8,3.7,3.3,6.7
ESP,11.1,11.8,10.9,10.5,10,11.1,8.4,7.6,9.9,8.5,8.5,9.5
HUN,20.5,17,19.1,18,16,25.9,21.1,23.7,19.6,23.8,21.7,19.7
JPN,13.7,13.3,13.8,12.6,11.5,11.8,12.3,11,12,10.9,10.7,11
LUX,11.8,5.8,5.7,9.4,5,1.9,13.1,8,3.7,3.4,6.3,13.2
NZL,23.4,22.9,24,30.3,17.9,22,22,24.3,17.3,23.9,,
USA,28.4,28.3,27.9,28.7,27.7,27.7,27.6,26.7,25.4,24.8,23.8,
DNK,14.1,15,14.6,15.6,15.4,17.8,14.6,15.4,17.8,11.7,14.6,8.2
EST,13.8,25.9,36.7,26.5,30.2,22.2,18,20.4,22.8,10,13.8,19.5
FIN,17.1,16.5,17.5,14.1,11.7,17.1,11.8,10.1,11.7,8.5,7.8,8.9
GRC,7.7,9.6,10.9,9.4,7.8,5.9,7.4,8.9,6.8,7.4,7.9,
CHE,8.2,9.7,9,8.5,13.1,5.9,8.3,9.6,6.7,7.7,8.2,
ISR,18.1,12.5,18.6,18,13.9,17.8,16.6,15.9,17.1,17.6,16.8,
ITA,8.6,8.7,10.1,12.7,,,10,9.3,10.6,10.3,10.1,
PRT,12.8,14.9,16.6,21.6,,,,11.6,12.5,14.6,13,12.9
SVK,14.5,7.1,10.3,13.5,6.8,7.9,8.6,9.4,7.8,8,10.3,
TUR,,,,,,,,,,,,
POL,13.4,12.1,10.3,11.2,8.8,9.4,9.5,10.4,9.1,10.2,8.6,9.4
CHL,32.4,29.1,29.5,31.7,36.6,27.8,31.6,30.5,26.1,28.1,,
AUT,8.2,5.2,12.7,7.5,7.6,9.1,8.6,9.5,8.4,9.3,9.1,5
IRL,16,13.7,16.8,10.7,10.3,10.3,12.4,15.4,14.1,13.1,10.1,
KOR,18.1,17.7,15.3,14.9,15,13.9,15.3,13.2,12.7,12.2,13,12.9
SVN,9.2,8.3,11.6,19.9,15.8,8.7,6.2,16.8,15.7,6.8,14.6,
