Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
EST,107,117.7,96.7,89.7,105.9,92.1,102.3,98.9,86.5,113.3,84,82.2
ITA,60.1,59.9,59.1,59.1,,,64.4,59.3,57.8,57.3,54.4,
SWE,55,53.2,54.2,53.8,50.9,47.5,55.3,48.6,51,47.7,45.8,
AUS,45.2,45.6,47.3,44.2,47.3,,42.5,56.5,47.4,41.5,47.8,47.4
BEL,,,,55.3,54.6,56,47,54.6,58.5,44.6,,
DEU,66.1,66.2,69.5,64,67.2,64.9,66.2,66,66.6,63.4,64.4,60.1
FRA,66,68.2,63.2,63.3,63.2,67.4,65.1,66.1,68,64.5,,
JPN,66.5,64.4,64.1,64.1,66.5,65.9,64.8,65,66.1,66.6,63.3,64.2
SVN,67.5,69.2,77.3,63.4,69.8,65.2,79.9,96.1,79.6,61.9,71,
TUR,,,,,,,,,,,,
NOR,55.9,50.5,51.7,54.4,51.5,50.5,55.2,45.8,47.4,55.7,44.9,46.6
PRT,46.9,55.9,51,55.1,,,,47.5,47.5,53.4,60.7,53.1
SVK,91.7,88.8,80.9,82.6,81.4,92.8,89,94.3,92.4,80.4,88.8,
DNK,72.1,55.6,60.3,74.3,51.9,62.1,73.3,66,59.6,57,64.8,53.9
ISL,30.5,43.8,42.6,47.8,54.4,63.1,72.4,48.4,18.4,36.7,,
LUX,45,81.5,67.6,46.6,66.8,60.8,53.4,23.8,39.9,61,40,45.5
NZL,48.3,37.2,40,47.1,43.4,52.4,31.7,45.6,34.4,42.1,,
CHE,51.1,43.2,52.7,45,42.6,49.1,46.8,52.8,48.7,54,57.3,
KOR,63.6,62.8,62.3,53.9,57.1,54.8,53.1,53.7,53.6,52.3,53.8,52.1
CHL,37.1,34,35,40.9,40.4,40.1,33.1,36.8,35,41.9,,
ESP,53,62.6,58.9,62.5,57.6,57,59.3,61.2,58.2,58,62.5,57.9
FIN,59.9,65,56.3,62,72.5,73.5,63.7,68,60.9,60.2,71,51
IRL,56.3,49.2,44.5,48.6,46.3,40.5,55.4,58.1,57.3,64.5,49.1,
ISR,53.4,54.3,78.4,59.6,67.1,55.8,70.5,57.6,60,55.9,56.1,
MEX,29,31.5,31.3,33.3,31.9,30.6,31,32,31.3,32,29.4,
NLD,50.6,56.6,54.4,49.8,51.7,54.3,51.8,56,61.7,54.8,53,56.5
CZE,98.2,95,92.2,101,97.9,93.2,91.7,86.1,83.6,87.7,83.1,91
HUN,110.5,109.9,115.4,102.1,113.2,107.7,108.8,107.6,114.7,107.2,102,111.6
POL,87.6,77.3,78.1,78.1,77.8,81,73.5,76.3,73.6,81,73.3,70.1
AUT,66,66.4,68.1,63.9,73.5,74.3,65.8,66.3,74.7,71.3,70,76.4
CAN,50.1,49.3,44.6,52.5,54.4,50.6,49.4,51.9,47.1,49.8,,
GBR,,49.3,48.7,50.2,45.9,45.2,49.2,50.1,47.7,47.4,47.2,
GRC,49.6,55.3,60.7,53.7,52.1,58.1,60.3,60.5,61.7,60,53.1,
USA,59.1,57.7,58.9,57.9,59.9,59.5,59.2,59.6,58.9,58.8,59.2,
