Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
IRL,40.60,40.90,35.50,43.20,40.20,33.40,47.40,44.50,48.60,51.30,38.90,
PRT,32.90,40.80,36.20,38.60,,,,35.80,35.70,37.80,40.90,42.50
SVN,54.30,59.90,57.40,50.40,47.90,53.00,64.30,64.90,65.50,51.30,58.20,
AUT,57.50,56.20,51.90,53.80,57.90,57.80,53.20,54.00,59.60,57.10,57.90,59.80
FIN,49.70,52.70,51.40,57.00,59.60,58.30,51.20,52.40,52.70,51.40,55.80,47.10
FRA,47.90,49.10,47.50,46.90,47.80,49.30,49.20,51.00,50.20,50.40,,
LUX,34.50,50.60,45.70,39.20,58.90,45.90,30.70,17.10,33.30,52.90,38.60,44.50
NLD,43.00,48.70,47.50,43.90,45.10,48.00,47.80,48.20,52.50,49.70,48.30,49.70
NZL,37.40,33.30,35.90,34.30,34.40,42.50,29.50,43.20,32.40,40.60,,
CHE,42.50,39.20,44.10,39.80,34.50,42.50,39.90,45.10,41.30,45.10,47.20,
NOR,43.50,44.40,47.40,46.90,52.50,47.50,47.20,43.00,44.50,48.30,42.70,39.70
POL,63.80,58.00,58.10,59.10,58.30,59.60,57.20,57.60,55.10,60.70,57.30,53.00
CAN,42.40,40.90,40.30,44.40,43.80,41.80,42.60,43.30,41.20,42.40,,
SWE,52.70,48.40,48.00,50.40,48.70,46.50,48.90,47.00,48.10,43.50,43.40,
AUS,35.40,36.40,39.70,37.70,38.90,,35.40,41.80,37.80,35.40,39.30,38.70
CHL,33.80,32.60,32.70,38.50,38.30,36.60,34.20,34.00,34.80,37.20,,
DEU,52.10,52.20,53.70,52.20,51.80,51.90,52.80,53.00,52.70,52.50,53.20,49.50
SVK,66.50,66.90,54.90,56.70,56.50,70.20,66.10,66.00,67.10,64.20,63.30,
USA,47.80,47.40,47.40,47.40,48.30,49.10,48.30,48.70,48.40,48.70,48.60,
DNK,60.60,55.10,55.10,58.00,52.30,51.30,58.90,57.80,54.70,49.10,56.30,47.40
GRC,37.30,40.00,42.50,40.40,37.30,40.90,46.20,47.80,47.00,44.60,40.20,
ISR,42.80,47.90,57.20,53.30,50.50,46.40,57.70,42.00,47.60,49.20,48.20,
ITA,47.00,46.90,46.40,46.60,,,48.80,47.90,44.80,45.60,44.40,
MEX,29.60,30.10,31.40,32.00,30.70,29.80,29.50,30.60,30.60,30.00,28.20,
ISL,55.70,32.30,48.50,37.20,32.10,43.50,57.50,39.10,16.40,37.30,,
BEL,,,,39.80,42.50,45.40,40.60,47.20,46.20,36.50,,
CZE,72.70,74.10,72.20,78.50,73.30,72.40,75.50,67.70,66.90,67.60,62.80,72.00
ESP,40.20,45.20,42.80,44.40,43.30,43.10,44.80,45.40,44.10,44.90,47.70,45.20
EST,72.80,69.50,70.80,63.10,68.70,59.90,76.60,64.40,65.60,73.90,57.20,55.30
GBR,,40.40,41.10,40.30,40.20,39.20,40.50,41.90,40.40,40.40,39.90,
HUN,81.70,77.80,84.70,77.20,80.80,75.70,77.30,83.70,86.10,83.40,79.00,83.90
JPN,49.80,48.70,48.00,48.80,50.60,50.20,49.30,48.90,51.10,50.70,49.90,50.70
KOR,46.10,45.20,43.10,40.50,41.10,41.20,40.00,40.20,39.20,39.50,40.30,38.90
