Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
FRA,3,3.3,3.2,3.5,2.1,2.5,2.8,3,2.2,1.9,,
TUR,,,,,,,,,,,,
CZE,1.7,4.1,2,3.3,3.6,2.5,1,1.2,0.9,0.4,0.6,1.4
GBR,,2.8,2.6,2.4,2.7,2.6,3,2.3,3.2,3.4,2.8,
JPN,2.4,2.3,2.1,2.5,2.4,2.4,2.7,2.6,2.7,2.3,1.8,2.5
NOR,3,3.3,3.8,3.9,1.8,0.7,1.9,2.2,1.1,2.9,3.7,1.6
POL,3.1,1.3,2.5,1.5,2.9,2.8,2.3,2.1,2,2.2,2,2.1
SVK,2.3,1.9,2.4,3.8,0.9,1,2,0.7,1,0.6,2.9,
DNK,2.8,4.8,4.7,2.3,0.7,3.2,1.4,4.5,3.4,2.2,3.6,3.3
FIN,3.6,2.7,2.8,4.8,4.5,5.8,2.7,3.6,3,3.1,2.1,3.3
ISR,3.2,2.1,2.8,1,3.2,2.3,3.1,1.5,5.1,0.1,2.8,
ITA,1.5,1.7,2.2,2.2,,,2.4,2.6,2.4,2.3,2.5,
SWE,1.6,1.4,1.2,1.5,1.3,1.2,1.5,1.7,1.7,1.8,2.5,
NZL,0.7,2.8,2.1,2.4,0.5,1.8,2.3,1.2,2.8,1,,
PRT,1.7,1.6,2.7,4.1,,,,3.8,2.9,1.9,2.9,2.1
AUS,3.1,2.6,2.3,2,1.7,,1.9,1.2,2.5,2.6,2,1.3
DEU,2.2,2.2,2.8,2.5,2.4,2.5,2.9,2.5,2.4,2.7,2.8,2.7
ESP,2.1,2.7,2.5,2.7,2.2,2.5,2.4,2.5,2.6,2.5,1.8,2.4
ISL,2.2,0,15.9,0,0,4.6,0,0,5.6,13.4,,
CHE,,,,,,,,,,,,
CHL,1.9,2.7,1.9,2.3,3.7,3.6,3.7,2.1,3.8,4.1,,
IRL,2.6,6,1.2,2.3,1.9,2.2,1,3.1,4.1,1.3,1.1,
LUX,0,4.1,1.2,1.2,3.9,1.2,2.3,7.1,1.1,0,4.9,2.1
NLD,2.6,2.3,1.9,2.2,3.1,2.8,2.4,2.1,4.4,3.6,3.2,3
BEL,,,,2.6,1.5,2.2,2.9,3.6,1.8,2.1,,
EST,0.4,1.6,2.8,1.6,0.7,0,3.1,2.4,0.4,3.6,1.7,3.8
GRC,1.8,0.8,1.2,1.3,1.4,1.2,0.5,1.7,2,2.5,1.8,
HUN,2.7,2.1,2.7,1.2,1.7,2.6,5.8,4.8,3.2,4.8,4.5,3.1
KOR,4.3,5.4,6,4.7,4.9,4.8,4.9,4.5,3.9,4.7,4.9,6.3
AUT,1.1,1.2,2.2,3.9,2.8,2.6,2.4,2.6,1.3,3.1,1.6,2.1
CAN,2.4,2.2,2.2,3,2.2,2.8,1.8,2,2.2,2.2,,
MEX,2,2.6,2.5,3.1,1.9,2.6,2.8,2.3,2.5,2.7,2.7,
SVN,1.3,4.2,1.6,1.8,2.3,0.5,1.3,5.8,2.7,2.2,3,
USA,3.1,3.4,3.2,3.2,3.5,3.8,3.6,3.3,3.4,3.4,3.7,
