Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BEL,,,,2.70,3.00,2.10,1.10,1.80,2.90,3.30,,
DEU,0.70,0.80,1.30,1.40,1.00,0.90,1.60,2.00,1.80,2.00,1.80,2.50
MEX,5.70,6.50,4.50,5.70,5.60,5.30,4.80,10.80,9.80,11.00,12.50,
NLD,2.60,2.40,1.70,4.60,2.10,3.60,1.10,2.50,3.30,2.50,1.80,1.90
NZL,5.30,4.10,2.20,2.90,1.30,3.80,2.10,2.00,7.00,3.20,,
CAN,2.30,2.70,2.40,3.70,1.90,2.40,2.20,3.00,3.50,2.20,,
ESP,2.00,3.50,1.60,1.70,2.60,2.80,1.50,2.00,2.00,2.50,2.50,2.30
HUN,4.40,1.10,2.20,2.20,2.10,2.40,6.40,6.30,3.40,6.20,2.30,5.10
ISR,5.60,11.30,12.00,9.70,5.00,9.70,10.50,13.50,13.90,14.00,8.90,
ITA,1.30,1.00,1.80,1.90,,,1.60,1.40,1.20,1.50,1.70,
NOR,1.50,0.00,0.40,1.70,1.30,0.60,0.00,0.50,0.30,3.20,1.00,2.30
POL,2.30,0.90,0.20,1.40,0.40,1.20,1.60,1.00,0.90,1.40,1.20,1.30
USA,4.40,4.90,5.00,5.50,6.10,5.70,5.80,5.80,5.70,6.20,6.30,
CHE,4.00,1.00,1.80,0.00,0.60,0.50,0.30,2.00,0.60,2.20,1.70,
CZE,0.90,0.40,0.30,1.40,1.50,0.50,2.30,1.20,1.10,1.90,2.20,4.40
GBR,,2.80,4.90,4.80,4.00,5.40,5.20,5.00,5.40,5.20,5.20,
KOR,4.90,3.00,2.50,2.70,1.70,1.90,3.10,1.90,2.10,2.20,2.30,3.40
EST,11.60,15.70,19.50,9.00,17.70,16.80,19.90,6.70,9.70,5.00,4.00,8.30
LUX,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.90,0.00
DNK,3.80,1.70,2.00,1.60,3.00,3.00,2.40,1.40,1.70,1.90,2.10,1.30
PRT,3.10,5.30,5.60,2.80,,,,1.20,0.00,2.00,1.00,1.60
AUS,2.00,2.30,2.50,1.90,3.40,,3.10,2.90,3.40,3.80,1.60,2.60
CHL,7.30,6.60,6.50,6.80,5.20,3.60,5.30,2.90,3.80,3.20,,
FIN,1.00,1.00,2.60,4.40,2.90,1.30,6.00,1.70,5.30,4.60,1.90,2.30
FRA,3.00,1.20,1.60,1.90,1.30,1.20,2.00,1.20,1.10,1.70,,
GRC,0.80,2.20,0.60,1.10,2.80,1.20,0.00,0.40,0.20,1.10,1.00,
ISL,,,,0.00,7.30,,0.00,0.00,,,,
JPN,1.90,1.70,2.10,1.50,1.50,1.80,1.50,1.30,2.20,1.90,1.40,2.10
SVN,7.10,2.20,3.10,1.80,4.30,3.70,0.00,1.50,0.00,0.80,0.00,
SWE,0.70,1.00,0.90,1.40,1.10,0.90,2.70,2.20,0.70,2.10,0.70,
AUT,0.70,1.30,0.70,2.30,1.20,1.20,0.60,0.30,1.00,1.30,1.40,1.80
IRL,1.20,6.60,3.80,3.90,4.70,2.30,5.50,4.00,0.30,2.60,5.60,
SVK,0.80,,,,0.10,1.00,2.20,,,,,
