Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GBR,,28.5,24.2,21.8,26.2,28.3,31.1,31,34.7,36.2,45.9,
PRT,5,7.8,4.4,10.9,,,,1,0.5,4.2,3.2,1.3
DEU,7.5,12.7,10.1,9.7,9.5,9.5,10.2,9.3,10.8,9.6,7.8,8.1
LUX,149.1,40.2,46.9,34.2,48.7,10.1,44.6,131,68.4,118,29.7,74.2
NLD,6.8,9.8,8.2,8.8,10.6,10.1,6.8,8.4,9.6,7.4,8.9,8.9
NOR,7.4,34.5,38.1,112.8,129.6,96.2,99.1,84,78.5,96.8,113.6,55.2
SWE,23.3,32,19.7,25.5,22.4,29.5,31,30.6,35.1,31,44.1,
BEL,,,,12.4,19.2,23.3,29.3,31.1,19.1,30.9,,
HUN,13.1,16.6,10.6,25.5,14.1,22.4,16.4,11.4,9.2,9.6,12.3,6.2
MEX,14.5,15.4,13,13.7,13.3,13.5,12.2,13.1,12.2,12.6,10.6,
SVK,25,33.4,20.7,26.3,22,25.5,,,24,21.1,16.2,
DNK,45.4,41.4,23.6,19.9,28,39.4,31.5,38.1,39,56.7,29,43.3
ESP,20.1,21.1,13.9,14.1,19.7,19.7,16.6,13.6,16.1,15.4,11.4,11.9
IRL,10.2,17.4,34.5,16.5,14.8,25.1,30.6,97.4,60.5,74.4,70.6,
ISL,35.1,97.5,108.3,44.9,51.2,74,54.6,29.9,35.4,23,,
POL,28.1,31.7,28.7,26.2,33.2,36.5,34.8,27.2,26.2,29.8,25,20
AUS,78.1,57.3,50,54.4,51.3,,46.2,57.9,60.1,64.3,61,55.9
AUT,19.5,15.4,7.8,7.6,4.6,3.1,6.2,4.2,0,5.8,4.2,1.2
CHL,8.9,10.3,12.2,8.1,12.8,9.8,15.4,17.2,12.9,18.2,,
CZE,35.3,38.1,26.8,26.5,25.8,35.7,33.9,28.4,28.5,37.4,17.5,29.9
GRC,30.5,43.3,28.1,25.4,33,31.6,38,24.7,24,31.3,21.2,
ITA,5.8,5.2,6.5,3.6,,,4.7,8.9,8,6.4,5.9,
NZL,14.7,11.7,28.2,32.7,21.7,20.7,17.6,36.2,37.3,44.9,,
TUR,,,,,,,,,,,,
CAN,42.3,44.3,49.1,41.3,40.2,45.8,46.6,55.6,62.8,64.5,,
CHE,5.5,8,6.4,9.3,3.3,7.7,49.8,43.5,53.1,39.2,30.5,
FRA,18.4,11.1,8.9,13.3,15.8,16.1,19.1,18.5,18.3,18.9,,
USA,64.2,75.3,96.3,111.1,121.3,134.1,154.9,172.4,174.1,182.4,196.2,
EST,204.3,226,154.9,157.9,196.3,175.1,100.2,131.8,117.4,155,171.1,181.8
FIN,95.7,88.5,79.7,86.3,100,114.1,125.4,120.1,141.8,117.8,110.6,117
ISR,11.1,4.3,9.3,5.4,16.4,0,,0.3,,,0,
KOR,7.9,6.6,3.9,3.4,4.5,3.6,3.7,2.2,3.5,3.6,3.1,2.5
SVN,0,10.5,24.5,10.1,8.8,9,9,30.8,25,30.5,28.7,
JPN,5,6.1,6.6,7.9,8.9,10.3,9.9,9.9,11.7,13.2,12.3,12.6
