Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GBR,,161.6,160.5,165.9,154.7,148.7,151.2,153.1,162.3,160.3,151,
SVK,163.4,182.4,172.6,196.9,228.9,216.3,197.3,202.4,209.8,197.5,187.8,
BEL,,,,119,102.1,106.3,97.4,106.9,96.6,109.2,,
HUN,170.1,153.3,140.6,179.4,154.1,184.8,171.4,177.1,149,161.1,161.2,186.2
ISL,51,50.1,24.7,31.1,76.2,31.1,45.4,35.6,33.3,92.7,,
AUT,66,77.8,51,69.2,59.9,53.7,50.4,53.6,44.4,59,50.9,50.7
DEU,74.4,71.8,80,81.5,74.8,79,70.8,73.6,78.3,86.2,75.9,84.8
FRA,63.8,54.8,53.9,53.8,46.4,53.6,49.3,48.7,48.2,55,,
GRC,102.7,87.6,92,86.2,110.3,90.8,86.7,95.9,93.6,113.9,105.2,
NOR,95.8,75.9,78.5,100.5,66.9,86.9,72.1,85.4,84.1,106.3,61.5,74.6
EST,210.6,165.2,152.9,200.2,96.7,94.4,119.5,72.6,105.6,64.6,89.5,119
ISR,100.6,95.9,78.5,77.3,75.1,79.2,66.4,61.3,65.4,67.8,60.6,
JPN,96.6,85,86,86.8,75.4,84.2,74.1,75.9,77.3,71.5,66.4,77.2
LUX,122,37.3,85.3,62.8,75.3,70.2,123.1,124.1,44.4,91,104,108.5
CHL,212.7,221.2,140.1,134.6,133.1,117,106.4,120.2,127.7,143.1,,
CZE,116,114,114.1,112.7,93.8,121.5,90.3,111,114.1,128.5,125.2,108.8
DNK,154.4,146.9,130,143.6,115.5,115.8,104.1,124.2,104.6,123.1,111,106.3
ESP,80.8,72.8,80.4,83.1,68.7,78,75.3,81.2,74.2,83.2,64,75.1
KOR,95.5,80.6,75.7,54.3,43.3,45.9,47.7,45.8,44.5,41,41.7,43.7
NZL,125,127.5,132.5,130.3,136,106,126.9,124.7,139.8,150.1,,
SVN,95.8,67.5,68.6,74.1,48.2,76.3,26.6,27.8,37.4,33.7,48.8,
SWE,79.4,72.4,83.3,79.2,63.1,72.3,47.4,52.4,61,61.6,54.4,
USA,193.6,190.9,187.1,190.9,179.1,185.6,178.8,173,186.1,215.3,178.7,
CAN,87.4,83.9,83.8,87.1,78.6,88.3,90.2,87.3,92.9,109,,
CHE,59.4,56,47.1,38.3,47.2,54.2,45.5,44.9,45.7,44.9,37.6,
FIN,78.5,93.1,65.5,69.5,51.3,56.1,38.3,55.2,39.2,67.4,50.4,63.9
IRL,167.5,177.2,163.3,137.1,137.1,129.6,126.2,72.1,77.8,85.5,82.7,
ITA,59.3,50.9,61.6,49.9,,,37,45,44.1,46.6,41.8,
MEX,375.4,329.6,344.8,310,310.2,296.3,283.6,284,280.5,371.9,293.8,
POL,119.4,100.7,87.3,94.7,93.6,101.6,99.1,101,107.1,126.1,105.8,122.9
TUR,,,,,,,,,,,,
AUS,103.9,105.2,97.8,91.9,94.8,,79.5,97.2,85.3,90.8,86.6,78.8
NLD,103.4,94.7,93.8,107.2,92.3,101.5,91.9,93.6,91.5,103.5,90,105.7
PRT,109.9,111.4,121,96.8,,,,76.8,78,101.2,75.2,77.4
