Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHL,14.30,10.80,16.60,13.50,14.40,13.30,11.00,9.50,6.70,8.00,,
GRC,14.20,15.20,11.80,10.80,13.80,15.50,16.80,16.30,15.60,17.10,20.30,
IRL,31.60,14.60,30.30,26.60,28.00,21.20,29.20,26.70,36.40,40.20,31.20,
SVK,29.30,28.20,36.10,30.80,35.30,41.90,25.50,31.30,27.10,26.10,30.80,
SWE,34.70,28.90,32.40,33.00,27.20,35.60,30.40,33.00,39.80,40.50,37.00,
AUS,47.60,58.30,55.30,56.30,63.00,,47.60,53.20,56.10,49.60,52.30,52.70
FRA,24.50,25.80,22.40,23.50,24.60,21.60,23.40,25.00,24.90,25.00,,
AUT,22.80,29.80,29.00,37.70,30.10,33.40,29.40,28.10,28.90,26.00,27.70,24.30
FIN,23.20,26.20,27.80,30.20,22.20,29.50,35.30,27.00,20.90,20.70,22.90,28.60
ISR,45.90,27.80,22.10,28.90,26.70,28.10,27.20,25.40,28.10,20.70,24.40,
DEU,24.20,22.60,20.30,22.60,21.10,20.50,19.50,21.60,21.90,20.60,22.40,21.90
DNK,25.50,43.00,36.80,39.60,39.10,34.00,38.30,36.00,40.90,37.80,29.70,27.90
ESP,18.80,17.70,16.70,16.20,17.10,18.60,14.20,16.10,16.00,15.00,17.70,14.50
JPN,3.10,3.90,3.00,2.90,2.70,2.90,2.40,2.60,3.10,2.60,2.70,2.40
LUX,10.20,13.30,33.70,24.20,48.40,28.70,16.00,14.10,57.00,6.10,11.80,21.10
CAN,25.40,24.10,27.10,23.70,23.40,23.00,25.50,22.90,26.50,26.90,,
KOR,3.70,2.90,2.30,3.90,3.00,3.30,4.30,3.30,5.00,4.50,3.70,3.10
NZL,73.80,66.50,68.40,62.80,59.80,65.80,50.90,59.40,73.60,63.40,,
USA,31.00,30.70,30.10,30.20,29.20,29.10,28.80,27.60,27.00,28.20,26.40,
CHE,27.10,24.00,22.00,24.20,30.80,34.80,24.40,25.30,24.50,26.40,24.40,
CZE,27.30,31.50,29.90,33.70,32.50,24.00,23.90,21.70,22.50,28.80,22.70,23.10
HUN,36.20,31.30,31.00,25.30,36.00,32.50,33.20,27.00,35.80,26.10,36.30,28.30
MEX,6.00,5.80,5.70,6.60,6.00,6.20,5.40,5.60,6.00,5.30,6.20,
NLD,41.70,43.20,40.40,39.40,43.70,43.00,40.90,45.50,41.00,48.90,43.10,39.90
POL,28.40,30.40,26.20,29.80,29.70,26.70,29.30,28.30,27.30,27.90,26.80,27.20
SVN,51.40,54.10,41.00,42.90,64.70,30.80,39.20,46.20,38.60,48.60,52.60,
BEL,,,,27.60,24.50,24.70,21.20,30.10,28.60,22.20,,
EST,18.10,26.40,31.90,23.00,31.50,24.60,50.10,29.40,46.60,33.50,21.10,29.40
GBR,,26.70,29.10,30.10,27.30,26.70,30.40,30.10,27.90,28.10,27.10,
ISL,28.30,2.30,4.70,10.00,7.30,9.20,20.10,19.20,52.70,7.30,,
ITA,26.50,25.40,27.30,21.90,,,23.90,23.90,22.70,25.40,23.80,
NOR,59.00,51.00,44.20,48.70,37.00,55.20,50.00,52.00,45.00,55.90,39.30,45.90
PRT,18.80,14.20,14.40,12.80,,,,14.50,18.50,13.70,15.00,11.60
