Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BEL,,,,17.70,15.70,13.60,18.90,21.20,20.00,18.00,,
GBR,,21.30,19.40,17.50,20.70,18.80,16.60,17.60,16.40,14.50,17.40,
ITA,42.90,41.30,43.40,43.70,,,38.90,35.10,37.20,36.00,35.00,
ISL,35.80,11.50,8.00,0.00,7.10,42.20,32.70,8.20,4.10,3.80,,
LUX,11.60,6.00,25.00,13.90,14.40,13.80,59.40,20.70,12.40,43.80,70.40,33.80
NOR,22.40,22.30,24.60,22.30,25.10,29.60,26.10,24.00,20.00,21.30,22.20,14.90
DNK,15.20,29.10,22.40,32.60,16.60,25.80,21.40,23.00,23.90,24.20,24.00,19.50
EST,91.80,118.50,112.60,97.40,108.70,107.30,119.50,74.80,65.90,79.10,61.80,47.30
CHE,24.90,19.80,19.80,20.20,19.50,18.70,20.80,23.50,19.40,19.80,18.30,
ISR,36.30,29.20,48.60,27.70,27.40,38.10,34.90,37.50,35.90,37.60,33.40,
KOR,144.70,135.50,127.60,124.90,115.70,110.20,104.00,98.40,97.60,88.00,85.10,78.10
NZL,34.50,28.20,26.90,31.20,35.10,35.20,35.90,45.10,27.90,25.00,,
POL,50.20,51.60,48.00,47.20,45.70,45.70,46.40,48.50,40.70,40.00,40.80,35.10
SVN,68.50,39.90,50.30,35.20,43.20,57.00,42.30,42.20,48.70,36.00,26.40,
CHL,66.10,66.80,74.20,70.50,68.00,69.20,57.80,59.10,55.10,62.70,,
SWE,23.90,29.40,24.90,25.50,22.40,18.70,18.00,18.40,19.80,17.80,21.30,
USA,17.00,16.40,16.70,17.30,16.30,15.40,16.80,16.50,15.10,15.70,16.60,
DEU,44.50,39.40,40.70,42.40,37.70,35.00,33.70,34.10,35.30,32.40,30.10,31.00
FRA,20.80,17.90,18.90,19.40,17.70,18.40,17.80,16.50,18.90,18.70,,
IRL,30.40,42.70,25.80,24.80,20.70,32.10,26.40,21.10,24.60,22.10,33.70,
NLD,30.70,29.90,29.20,25.90,29.00,23.50,27.20,26.00,26.00,26.80,21.90,25.00
AUT,43.60,37.10,33.80,36.80,37.50,31.30,38.30,26.40,34.10,26.20,26.90,30.40
HUN,67.40,49.60,58.10,62.50,55.40,56.70,47.50,51.30,55.20,58.40,41.30,56.50
JPN,110.70,105.00,97.50,91.70,93.90,82.90,81.00,78.60,73.40,69.40,63.90,62.70
SVK,39.50,60.40,42.40,53.70,51.80,49.30,47.80,44.60,37.40,57.40,41.00,
AUS,18.80,22.20,19.50,21.70,18.50,,20.50,21.90,18.00,16.90,15.50,17.50
CAN,21.70,21.30,18.40,21.20,18.40,20.10,17.30,17.60,22.50,17.00,,
CZE,51.20,47.20,50.00,43.30,41.50,40.80,44.00,35.80,38.90,40.70,35.50,32.10
ESP,37.60,39.70,34.70,37.90,34.90,32.70,32.20,34.80,31.50,29.50,29.80,32.40
FIN,40.00,31.70,34.30,24.60,30.80,36.70,35.40,36.70,34.60,24.80,23.10,26.40
GRC,33.30,36.60,32.30,27.40,34.50,32.00,27.00,26.60,30.80,29.10,27.70,
MEX,54.20,56.60,54.20,52.70,54.00,52.90,52.00,50.20,51.60,48.90,48.80,
PRT,84.50,77.00,79.10,70.80,,,,67.90,63.40,58.00,57.60,63.00
