Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GBR,,23.2,22.1,21,21.8,19.8,18.3,18.7,25,22.6,18.3,
KOR,,0.1,0,,,,,,,,,
LUX,,,,11.8,,,,,,,,
MEX,0.8,1.3,0.4,0.6,1.3,1,0.6,0.4,0.5,0.4,0.3,
IRL,,,,,,,,,,,,
ISL,,11.5,,,,,,,,,,
ISR,1.7,2.4,0.8,1.2,1.4,,0.6,2,1.7,0.9,,
BEL,,,,9.8,6.7,5.4,5.7,0,2.5,9.9,,
EST,6.8,4.9,,,,,,,,,,
HUN,0.8,0,0,0.8,,,0.9,,,,0,1
JPN,0.1,0.1,0.2,0.1,0.1,0,,,0.1,,,0
SWE,13.5,1.4,5.6,4.2,1.2,2.5,,3.9,2.8,2.7,0.9,
TUR,,,,,,,,,,,,
AUT,,,15.5,37,39,45.6,50,43.2,42,39.8,40.4,46.4
CHL,0.4,0.4,,0.4,0.3,0.8,,,,,,
GRC,,,,,,,,,,,,
ITA,,,,6,,,3.9,2.8,1.7,1.9,1.2,
SVN,0,,0,,,,,,0.2,,,
CZE,0,0,0.8,0,0.7,0.7,0.9,,,0.8,0,0.6
ESP,0.6,0.9,2.5,2.6,2.7,2.6,1.2,0.7,0.6,0.8,1.3,0.8
NLD,1.3,0.5,2.1,1.5,0.6,1.7,1.1,0.1,1.3,0.4,0.5,1.7
AUS,40.5,13.2,5.7,12.4,5.2,,1.8,2.6,2.6,0.7,4.1,2.5
CAN,4,4.2,4.2,7.5,6.6,9.3,6.5,7.8,7.6,6.2,,
CHE,,,,,,,,,,,,
DNK,11.7,10.5,9.7,13.1,9.1,8.1,5,5.6,8.4,10,6.6,4.8
FIN,8.3,6.4,5.6,,8.6,2.2,1.7,4.5,,5.6,6.4,6
NOR,102,101.8,86.6,7.1,13,7.5,9.8,6.9,8.4,2.8,4.8,4.6
USA,10.5,9.9,11.5,11.7,12.3,13.4,14.3,10.4,9.7,8.8,9,
DEU,17.6,10.1,8.8,11.7,9.1,9.8,9.5,10.6,10.6,10,9.9,9.7
NZL,2.7,13.3,16.8,3.2,5.5,3.5,3.5,0,,,,
POL,,0.4,0.5,0.1,0.9,0.2,0.4,0,0.2,,,
PRT,,,0.8,0.7,,,,,,1.1,,1.1
FRA,2.2,3.2,2.7,2.9,2.5,3,2.7,2.6,3.3,3,,
SVK,,,4.1,,,,,,,,,
