Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GRC,,,,,,,,,,,,
NLD,4.5,3.4,4,1.3,3.9,2.3,2.7,1.8,4.1,3.1,3.6,3.7
NOR,440.6,471.8,329.3,33.5,30.8,26.8,20,20.5,14.4,21.3,14.8,25.4
SVK,9.9,1.4,4,,2.7,,,,,,,
CHL,1.2,1.2,2.9,2.4,2.8,3.9,,,1.4,1.8,,
FIN,66.2,23.9,25.9,24.6,33.8,16.7,5.4,22.5,24.3,17.2,13.4,17
SWE,76.9,17.6,21.9,11.1,30.5,11.1,14.7,4.9,14.8,12.4,12.1,
ESP,4.5,5,16.4,20.2,21.7,13.2,9.4,4.8,8.6,5.2,4.2,2.4
IRL,,,,,,,,,,,,
NZL,15.5,20.1,28.3,20.5,12.5,9.2,10.4,1,,1,,
PRT,,,11.9,8.5,,,,7,8.1,10.1,11,2.7
AUS,142.5,34.4,29.3,20.9,14.8,,2,5.3,4.2,8,8.3,10.1
ISR,23.4,23.1,24.3,14.3,31,20.9,18.4,16.2,19.2,14.4,9.5,
ITA,,,,41.3,,,28.3,23.6,14.3,10.1,9.9,
SVN,24.3,16.4,14.8,3,16.3,1.4,5.6,1.4,,,,
POL,2.3,1.7,1.6,2.3,1.8,1.6,1,0.9,0.2,0.5,0.9,0.3
AUT,,,58.4,149.2,146.1,146,148.7,129.5,157.9,151.9,137.2,151
DNK,14.2,13.5,23.8,25.5,32.7,27.8,20.5,19.5,23.3,30.8,31.2,29.6
FRA,14.7,15.1,14.5,14.9,16.4,16.5,19.1,18.7,19.5,22,,
HUN,0.8,,1,,,1.2,,,,0.2,,3.2
MEX,6.8,6.7,7.4,4.7,4.7,7.1,4.3,3.6,5.4,5.4,4.1,
TUR,,,,,,,,,,,,
CAN,7.4,8,10.4,10.1,11.7,11.4,12.4,13.1,10.1,7.6,,
CHE,,,,,,,,,,,,
CZE,1.9,0.7,,0.8,1.8,1.7,0.7,1.2,0.7,0.2,0.6,2.5
DEU,80.5,52.9,46.9,48.1,42.5,45.8,37,44.3,52.9,52.5,47.2,41.9
JPN,0.1,0.1,0.1,0,0.1,0,0.1,0.1,0,0,0.1,0
KOR,,0.1,,0.3,0.1,,0.2,0.2,,0.1,0.1,
BEL,,,,42,20.2,25.1,12.5,15.4,32.4,17.8,,
EST,,12.1,,,6.2,6.2,,,,5.8,,5.7
GBR,,124.6,129.4,108.7,105.8,104.8,105.2,111.9,116.8,102.1,87.6,
ISL,18.3,,67,,,29.4,22.5,,,10.8,,
LUX,44.1,,4,24.6,,33.9,8.7,,,,,
USA,26.8,26.2,27.2,29.3,30.8,32.1,32.5,22.2,19.6,17.4,18.2,
