Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ISL,8.3,51.6,53.5,7.6,49.8,2.2,89.7,11.1,0,73.6,,
ITA,44.6,42.8,39.5,43.8,,,42.2,39,35.1,44.4,36.6,
POL,196.3,176.7,178,173.1,187.6,188,195.1,197.8,172.5,170.2,156,151.5
AUT,49.7,28.3,32.4,30.3,17,24.2,35.5,33.8,18.4,60.5,67.9,62.6
EST,64.3,50.3,78.1,105.1,38.9,124.4,52.8,111,41.1,44.1,46.5,30.6
NOR,88.8,124.2,119.7,100.8,105.2,94.9,88.4,124.2,80.6,113.3,109.6,95.3
AUS,58.3,49.3,70.3,69.5,75.1,,94.8,57.5,58.1,43.6,35.7,60.2
DEU,162,154.8,125.8,138.8,127.5,133.5,110.3,115.5,116.9,119.7,113.4,111.9
KOR,143.9,106.2,87.2,105.5,94.4,104.4,101.4,90.2,102,91.5,92.9,94.2
BEL,,,,73.9,63.8,75.9,73.1,68.7,68.3,63.3,,
FRA,193.6,194.7,199.6,205.3,187.4,182.7,180.3,172.9,177.6,185.6,,
GBR,,64,52.4,57.2,62.3,54.7,59.1,55.3,53.7,51.6,54.1,
SWE,68,76.5,69.1,44.6,69.8,68.4,80.7,66.6,85.3,80.7,134.4,
CAN,85.7,102.9,99.1,93.1,84.1,76.5,99.2,74.4,70.9,71.2,,
CHE,142.3,124.3,137.3,167.2,140.8,91.1,94.8,77.9,70.9,67.3,86.9,
CZE,21.1,31.9,32.2,36.2,53,55.7,36.4,70.5,62.3,69.2,76,52.8
GRC,76.7,64.3,81.2,61.4,56.2,56.6,51.8,58.6,75,62.9,69.6,
ISR,106.5,148.3,149.2,119.3,116.9,166.9,167.8,155.7,150.7,114.6,121.6,
MEX,64.2,63.2,56.9,62,55,52.5,49.9,54.1,53.4,57,58.3,
SVK,84.7,41.4,82.9,117.7,93,101.7,91.4,115.4,104.2,135.3,115.1,
SVN,152.6,136.8,130.2,195.7,156.5,104.1,127.4,64.4,20.9,70.6,54.9,
ESP,64.1,65.2,63.8,66,59.3,62.8,65.7,64.3,63.6,71.3,79.4,73.4
FIN,41.5,56.9,77.4,65.2,53.3,78,47.8,51.3,43.6,69,71.3,50.7
HUN,35.6,22,35.4,18.8,19.7,30.3,34,23,15,18.1,10,24
JPN,40.9,36,36.8,36.6,38.5,38.1,43.2,45.1,50.1,54.3,54.3,62.4
NZL,104.9,74.1,88.2,63.1,80.9,87.9,65.1,60.1,49.3,69.7,,
TUR,,,,,,,,,,,,
CHL,104.6,124.7,94.2,97.3,92.9,83.2,73.7,104.5,107.8,90.8,,
DNK,86.6,110.2,129.8,139.1,118.3,50.2,59.2,163.8,177.8,263.7,233.6,186.4
LUX,100.6,116.7,70.3,110.2,163,114.7,78.5,59.8,72.9,114.6,89,36.3
PRT,416.7,294.6,134.9,162.6,,,,285.3,234.6,220.2,224.8,191.7
USA,144.4,143.4,126.2,126.8,113.1,123.5,113.9,111.5,119.2,124.9,100.2,
IRL,78,101.4,61.8,83.2,59,47.4,42.2,51,34.6,36.7,32.8,
NLD,178.2,195.9,181.3,169.1,132.3,118.2,117.5,96.5,108.7,99.9,95.8,87.5
