Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUT,56.6,47.7,62.3,37.9,31,57.7,38.5,49.1,52.9,157.2,161.9,140.1
BEL,,,,157.8,166,146.1,164.1,157.4,126.7,157.4,,
CZE,61.7,98.3,108,106.7,102.1,135.4,128.2,174.1,183.1,188.2,200.6,162.9
DEU,343.8,337.8,278.5,292.8,286.2,268.6,264,261.3,280,283.6,279.2,263.6
GRC,152.4,148.5,166.2,102.6,99.1,115.9,100.2,118.2,177.9,150.9,148.1,
ITA,142.8,131.5,124.2,129.3,,,124.8,128.2,110.2,118.9,113.2,
SWE,124.3,116.3,100.9,112.4,131.8,140.1,157,118.3,126.2,137.4,237.2,
USA,241.4,234.3,203,204.6,182.2,198,174.3,166.2,181.4,194.1,149,
CAN,165.9,182,183.2,175.9,170.4,155.8,194.8,127.2,124.5,109.5,,
CHE,251.5,223.5,288.4,290.9,275.9,212.2,210.9,192.2,183.8,183.2,163.3,
EST,379.6,412.5,483,448.6,354.2,285.8,304.5,369.1,224.5,209.7,226.5,307.1
GBR,,100.8,101.2,96.1,100.3,94.7,93.4,105.9,96,100.3,96.2,
POL,802,763.5,785.3,761.8,805.6,852.5,890,934.7,792.9,733.7,696.2,681.3
PRT,1332.9,963.8,383.8,442.8,,,,781.8,706.9,661.5,700.4,659.4
SVK,263.1,197,209.6,268.4,255.5,375,352,346.1,352,356.6,302.7,
AUS,107.3,76.9,105.6,136.5,138.1,,162.7,82.1,80.3,69.8,91.3,93.9
ESP,177.1,180.5,166.4,173.2,165.6,165.9,165,178.6,166.9,189.8,215,202.4
FIN,105.7,97,95.3,140.9,113.6,133.9,121.7,133.7,106.7,103.6,124.3,100.2
HUN,35.5,51.5,31.1,41.4,39,39.3,32.9,39.6,35.8,29.7,39.7,37.8
ISL,126.9,51.9,87.2,76.6,113.3,164.6,110.9,111.7,94,73.7,,
KOR,315.2,255.3,198.8,235.9,210.8,238.3,232.3,223.3,254.9,268.6,296.1,287.7
NOR,295.4,260.7,295.2,252.9,233.6,229.9,241,243,265.2,232.4,258.8,296
ISR,381.4,380.4,409.1,397,379.3,504.1,487.4,439.8,402.1,403.6,380.9,
JPN,76.2,78.3,75.2,71.7,75.8,80.2,98.2,100.3,110.8,119.1,130.4,124
LUX,139.1,283.2,222.2,157.8,256.5,125.3,118,129.8,139,63.6,87.8,108.6
DNK,181.8,213,288,281.4,276.5,133.5,182.2,339.1,334.7,419.5,365,272.2
TUR,,,,,,,,,,,,
CHL,162.8,179.4,162.7,174.8,187.3,189.4,152.9,196.6,174.2,163.8,,
MEX,94.2,101.6,95.2,91.1,91.4,85.5,85.6,104.1,89.1,97.6,101.8,
NZL,146,133,91.3,134.8,78.5,50.1,86.7,90.2,75.8,76.4,,
SVN,363.2,389.6,365.1,455,316.2,252.3,263.4,170.6,101,174.9,151,
FRA,460.4,499.3,482.7,498.6,460.2,456.7,437.8,431,441.5,464.3,,
IRL,118.4,119,106,111.5,90.3,71.1,73.7,52.6,65.8,56.7,54.4,
NLD,320.5,349,311,274.7,259.8,210,208.6,195.3,197.5,185.8,193.8,173.6
