Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,166.2,138.7,144.9,134.9,125.1,,100.8,119.7,104.5,113,91.9,99.4
GRC,207.9,201.6,186.6,154.7,195.6,236.4,129.8,171.1,139.2,136.3,133.4,
POL,183.6,178.2,181.1,168.9,167.6,154,145.1,168,165.6,129.6,113.4,120.5
SWE,72.2,97,80.5,84,60.1,66.2,76.1,69.5,50.8,42.8,35.9,
CHE,94.5,86.8,95.4,86.7,68.9,53.9,60.4,49.5,46.4,47.9,36.3,
ITA,153.6,150.6,134.1,123.2,,,113.5,97.3,86.9,80.8,74.6,
KOR,279.2,229.6,207.4,190.4,153.5,144.4,143.5,129.8,114.5,107.7,99.2,90.5
NOR,142.2,99.3,94.9,93.9,98.4,92.4,66,67.2,65.4,52.7,64.9,67.2
AUT,136.9,148.8,153.6,171.4,127.4,127.8,112.4,93.1,90.3,75.3,75.5,78.2
ISR,100.8,107.7,106.7,108.9,114.5,103.8,100.8,73,48.3,55.8,75.7,
CAN,163.1,151,162.3,151.5,137.3,160.2,161.2,142.5,129.5,111.5,,
CZE,194.6,185.7,203.2,181.5,160.1,159.2,128,136.1,126.6,116.4,87.8,101.1
EST,219.2,254.9,244.3,166.6,158.5,238.2,179.6,167.1,122.9,114.6,74.9,90.8
ISL,235.1,232.5,279,92.7,109.8,80.3,271.7,17.6,14.5,11.2,,
JPN,83.5,86.8,85.3,70.9,69.8,62.8,52.7,50.9,40.2,41.2,40.8,38.6
LUX,77.4,243.6,121.8,146.1,100.7,243.1,122,45.7,61.1,39.7,75.7,124.2
SVK,143,146.8,177.3,169.8,156.3,156.5,,,121.6,82.5,97.8,
SVN,184.3,116.8,146.5,116.6,143.2,198.2,121.7,167.2,117.3,94,63.5,
CHL,140.6,140.1,113.4,128.4,139.7,138.8,148.3,116.2,150.4,130.7,,
ESP,184.7,165,161.2,163,140.7,112.9,105.2,97.5,86.8,67.4,56.1,44.8
FIN,127.2,127.6,120.4,116.7,124.6,92.1,84.8,124.4,74.1,64.5,69,59
GBR,,72.8,72.4,82.5,75.3,67.6,74.7,66.5,65.5,49.3,45.5,
HUN,157.6,156.9,196.9,164.7,169.1,175.2,143.6,156.9,121.9,104.1,94.1,103.8
IRL,154.1,148.4,130.5,76.8,112.7,97.6,87.4,85.6,77.8,77.8,72.5,
MEX,167.4,167.1,175.5,175.3,171.7,178.8,186.6,163.1,175.7,181.2,170.1,
NZL,250.5,224.3,219.3,244.7,226.1,204.4,154.2,220.7,182,172.9,,
BEL,,,,156.1,132.9,133.1,130.9,116.4,113.9,110.7,,
DEU,148.5,136.2,136.3,119.4,103.3,94.1,84.8,85.4,78.3,65.9,71.7,61.3
NLD,94.9,77.3,82.8,91.5,77.5,64.5,58.2,68.7,52.7,56.4,51.2,45.1
PRT,127.7,205,208.8,205.3,,,,100.7,110,95.3,86.6,85.5
TUR,,,,,,,,,,,,
USA,285.2,277.3,282.7,278.1,278.7,266.1,265.1,248.2,213.1,199.9,190.7,
DNK,142.7,122.5,122.4,131.2,93.5,75.4,92.3,84.8,99.1,87.1,71.1,41.6
FRA,178.8,191.5,165,120.4,114.2,110.9,94.7,89.1,81.7,83.1,,
