Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CAN,419.5,415.1,398.4,410,392.4,408.4,390.5,388.7,344.7,309.3,,
CHE,354.7,317.2,298.1,346.5,308.5,229.9,223.5,226.8,207.6,215.8,166.6,
GRC,822.3,736.8,695.6,712.4,750.3,761.6,741.3,712.4,684.7,681.6,558.9,
LUX,676.4,559.4,611.1,512,407.2,240.8,288.6,359.9,240.9,355.3,189,268.4
NLD,315.7,279.5,292.9,291.9,213.8,190,180.3,188.7,175.2,159.5,148.2,138.2
SWE,296.4,302.7,268.6,264.7,244.5,220.9,236.9,213.2,186.7,157.5,124.2,
BEL,,,,546,561.7,512.4,484.9,536.2,449,417,,
MEX,696.8,653.4,669.1,673.8,676.5,712.4,734.8,644.2,727.5,730.7,671,
GBR,,289.6,308.6,301.1,285.6,283.8,285.5,262.5,229.4,204.7,159.6,
SVK,679.7,657.4,595.7,627.1,593.5,555.3,,,595.8,394.2,394.5,
USA,677.8,681.6,685.7,669,662,664.4,661.2,637.7,567.3,500.8,471.1,
FIN,323.2,409.2,367.8,366.1,328.4,364.4,321.6,349.2,305.1,267.5,250,244.7
ITA,555.8,589.4,587.1,541.3,,,472.7,462.4,412.3,354,326.1,
AUS,482.6,482.1,454,407.5,375.3,,353.8,362.4,341.2,322.3,304.2,272.6
CHL,624.3,572.3,552.1,615.1,610.5,576.5,569.2,522.2,558.3,528.5,,
FRA,600.2,601.4,572.4,477.9,425.4,418.5,369.5,363.8,340,343.2,,
KOR,886.7,716.1,624.1,616.5,518.8,479,452.3,440.2,414.1,387,369.5,322.3
PRT,613.1,792.3,930,772.2,,,,458.4,378.6,381,341.9,345.3
SVN,666,770.4,579.8,567.3,630.9,580.8,728.6,732.1,536.1,394.8,302.9,
DEU,446.3,402.6,401.5,379.7,333.9,296,282.7,267.9,245,230.8,195.5,221
ISL,506.4,635,320.4,251.6,291.1,291.6,418.2,298.6,166.2,179.4,,
NOR,438.9,303.6,388.8,352.8,333.1,262.8,253.5,230.3,285.5,241.6,208,170.3
AUT,551.9,512.2,476.4,466.8,456.8,411.6,371.4,371.8,323.2,314.5,270.5,231.7
CZE,621.6,563.6,576.2,583.1,519.4,514.7,443.3,503.9,439.9,385.3,363,343.4
DNK,397.9,375.1,389.4,351.1,312.2,309.4,256,318,311,241.9,177.6,151.9
IRL,537.5,502,416.7,372.9,327,381.6,305.6,296.8,258.5,290.7,191.7,
JPN,321.9,306.3,283.5,255.4,240.1,226.2,200.3,174.5,157.7,145.3,143.9,137.5
NZL,677,640.6,607.7,652.5,555.4,549.7,479,518.9,503.9,494.5,,
POL,770.3,662.2,693.9,659.6,664.2,624.1,570.2,621.8,620.2,524.5,474.4,519.9
ESP,673.3,621.9,584.4,597.2,512,481.6,435.2,398.7,321.4,248.2,219.7,190.2
EST,817.7,815.9,871.6,638.3,623.6,662.5,785.6,709.8,520.6,354.8,281.8,365
HUN,586,561.9,655.5,591.3,613.5,578.7,641,601.9,479.5,403.7,348.2,279.6
ISR,351.9,412.7,365.7,313.3,326.5,290.5,274.1,263.3,255.3,204.5,215.5,
TUR,,,,,,,,,,,,
