Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CZE,,,,,,52.20,51.40,52.50,47.80,46.50,51.40,49.30
EST,,,,,39.60,41.30,38.70,34.90,30.50,33.10,39.30,39.10
FRA,,,,,56.80,59.20,59.20,63.30,62.40,60.90,62.30,60.70
IRL,,,,,66.70,69.30,71.20,70.40,75.50,74.10,78.10,78.70
ISR,,,81.60,80.90,80.40,82.50,86.50,85.10,84.30,84.70,86.30,88.10
AUS,,,,,76.50,,,75.30,,,,
CAN,,,,,,,,,77.10,78.40,77.60,79.40
NOR,,,,,63.50,63.20,65.60,70.00,69.00,68.20,67.40,65.60
SVK,,,,,,51.80,49.30,48.10,51.60,54.30,59.50,60.20
DEU,,,,,,49.20,49.90,49.30,52.20,50.90,52.50,51.80
ITA,,,,,51.50,52.10,51.30,56.20,56.50,57.40,62.70,60.10
NZL,,,,87.70,,,,89.70,,,,
SVN,,,,,,39.00,41.00,42.00,40.20,43.30,44.10,45.80
AUT,,,,,61.20,60.90,59.60,60.30,54.50,56.10,53.80,54.90
CHL,55.10,,,50.50,,,,,,54.10,,54.00
ESP,,,,,55.80,55.50,55.60,57.20,61.00,61.50,64.00,70.70
BEL,,,,,60.70,59.10,59.00,57.30,57.30,57.80,57.80,57.50
GBR,,,,,,63.20,64.40,66.60,69.50,71.10,70.30,69.30
HUN,,,,,,41.50,41.70,44.10,52.90,53.50,54.10,52.30
KOR,,39.80,,,,39.50,,,35.00,38.00,33.50,30.50
LUX,,,,,61.90,66.50,68.20,67.90,66.70,67.50,69.10,64.20
PRT,,,,,30.60,30.80,34.10,28.40,35.20,35.10,34.90,40.20
SWE,72.90,68.90,72.20,74.30,61.60,67.70,69.20,70.90,67.30,67.50,68.30,68.00
TUR,,,,,,,57.00,58.00,61.40,56.30,59.00,60.70
FIN,,,,,60.90,59.00,56.10,52.30,53.80,53.80,57.40,55.30
USA,,,,,,,,75.50,74.30,74.40,75.60,74.30
DNK,,,,,69.60,69.10,68.10,66.30,68.50,64.90,65.10,67.50
JPN,,31.00,,,31.00,,,25.00,,,23.60,
CHE,,,,,,,,,71.00,70.90,70.60,70.10
GRC,,,,,67.80,67.70,67.40,68.70,67.90,67.00,67.30,70.10
ISL,,,,,69.10,71.80,72.60,69.40,71.50,75.90,73.80,73.60
NLD,,,,,,70.40,69.80,64.60,65.00,66.80,66.70,67.20
POL,,,,,,57.50,57.10,56.10,53.90,49.10,52.80,51.90
