Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CZE,,,77.00,,,82.60,81.80,83.80,85.30,83.80,86.10,85.30
HUN,55.50,,,61.90,,67.10,69.70,69.20,77.40,79.90,78.40,81.10
POL,,61.80,,,73.70,75.90,75.40,78.60,80.70,80.60,82.10,83.30
AUT,,,,,87.00,87.70,87.80,88.10,84.70,84.50,84.50,83.80
CHL,56.20,,,,,,58.40,,,57.00,,
SVN,,,,,,70.10,74.40,75.00,77.20,78.30,79.20,80.00
ISL,,,92.70,,85.10,86.50,88.70,87.40,88.50,87.60,86.70,88.70
JPN,,44.30,,,45.90,,,41.10,,,38.50,
KOR,,47.30,,,,51.40,,,41.00,42.10,37.20,36.30
LUX,,,,83.70,84.50,84.90,87.40,83.60,85.50,83.10,86.40,83.40
SVK,,,,,,70.20,73.30,74.90,81.40,83.70,83.80,83.60
EST,,,,,69.30,75.70,76.00,79.30,81.20,78.70,78.50,78.50
FIN,73.40,71.80,73.20,70.90,86.60,88.60,86.10,87.50,86.00,89.60,87.00,89.00
PRT,,,,,60.60,62.30,67.20,64.10,66.90,66.60,67.00,70.40
USA,93.20,93.20,93.40,93.00,92.90,93.00,93.00,92.50,92.20,92.10,91.70,92.00
DEU,,,,81.60,,75.90,74.70,74.60,80.00,81.80,80.70,79.10
DNK,,,,,88.50,82.90,84.20,83.00,82.30,80.80,78.40,81.10
FRA,,,,,81.40,81.80,83.50,84.10,84.30,82.60,80.70,80.30
GBR,82.40,84.10,83.10,83.90,83.00,83.30,84.50,85.70,88.70,87.60,87.90,85.90
IRL,,,94.10,,89.80,89.50,89.90,91.60,92.00,90.80,89.40,90.80
BEL,,85.70,,,83.70,84.00,84.40,83.30,82.60,83.00,83.60,84.90
ITA,74.30,75.70,74.40,75.70,77.20,78.80,77.70,83.10,84.40,84.20,86.40,84.90
MEX,53.20,70.40,67.90,,,68.60,68.40,,,,,
TUR,,,,53.00,,,67.20,71.30,74.80,70.30,71.90,74.10
AUS,,88.20,,,91.20,,,90.90,,,,91.00
CAN,,92.70,,93.00,,93.50,,93.40,93.40,93.30,93.50,92.60
CHE,,,89.00,,,,,92.40,89.30,87.60,89.20,88.00
NLD,83.30,84.00,83.10,82.50,83.90,84.60,82.70,83.80,84.00,83.30,84.90,83.00
NOR,,,88.00,,81.20,82.00,84.70,83.30,83.10,83.10,81.70,80.80
SWE,82.50,82.90,81.60,82.00,79.60,81.80,82.60,84.40,85.00,85.50,87.70,88.10
ESP,,78.40,,77.80,80.10,82.60,83.20,82.90,87.10,84.80,86.90,90.00
GRC,,,,94.50,95.60,94.20,94.00,93.90,92.80,92.70,95.30,94.50
ISR,,,88.90,90.60,89.90,89.90,91.10,92.00,92.90,91.80,93.20,94.70
NZL,,,,92.20,,,,91.70,,,,
