Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUT,,,,,69.2,69.8,70.9,70.9,68.2,68.4,67.2,67.6
KOR,,41.3,,,,41.3,,,39.5,40.7,33.6,33.5
NOR,,,77,,71.2,70.6,72.6,74.2,74,74.6,74.2,71.1
SVN,,,,,,51,53.3,55.2,56.8,57.1,56.4,57.6
TUR,,,,49,,,58.4,62.4,63.6,59.5,60.8,62.3
USA,90.1,88.2,88,87.8,87.7,87.8,87.8,87.2,87.2,89.4,89,88.9
BEL,,73.6,,,70.9,70.3,70.9,71,71.4,70.8,70.9,71.7
CHL,51.4,,,,,,53.1,,,51.4,,
ESP,,64.3,,63.5,61.4,63.8,64.7,64.1,69,67.3,68.6,72.3
AUS,,81.9,,,84.5,,,85.3,,,,85.4
EST,,,,,46.9,51.1,50.9,51.7,52.8,50.4,50.7,50.1
FRA,,,,,65.2,66.2,66.8,68.6,66.9,66.3,65.1,64.4
CHE,,,84,,,,,85.4,79.4,78.5,79,78.6
DEU,,,,67,,57.7,57.8,57.1,62.5,63.6,64.2,63.3
LUX,,,,70,70.5,71.9,72.3,72.8,72.6,71.6,74,70.2
NLD,74.3,74.9,74.6,73.9,73.9,73.5,74,73.7,73.8,74.9,75.8,73.5
POL,,42.6,,,51,51.1,51,53.2,54.6,53,54.9,54.9
PRT,,,,,40.5,40.8,43.4,41.3,43.4,42.6,44.1,44.6
SVK,,,,,,48.7,48.2,48.5,55.2,57.8,59.4,59
ISL,,,83.7,,75.1,76.7,79.6,75.9,78.8,78.7,76.2,76.1
ISR,,,74.5,74.1,73.8,74.5,76.6,76.4,76.9,77.1,78.8,79.5
JPN,,35.9,,,36.7,,,30.9,,,28.6,
FIN,68.2,68,70.4,66.9,68.8,68.5,68.3,67.8,67.6,68.7,67,67.7
IRL,,,88,,82.2,82.2,81.9,83.9,83.3,82.9,82.7,83.1
ITA,53.3,55.5,54.9,55,53.8,54.4,53.2,59.3,59.6,59.6,63.3,61.7
NZL,,,,89.8,,,,89.8,,,,
CAN,,86.9,,87.1,,87.9,,87.7,87.8,88.2,88.1,87.6
CZE,,,58.5,,,56.3,56.3,58.7,58.3,59.4,60.2,57.3
DNK,,,,,76.2,73.7,72.6,72.5,72.9,71.5,69.7,69
GBR,73.6,74,74,74.3,72.9,73.8,75.3,76.2,79,78.9,79,76.5
GRC,,,,74.2,74.5,74.7,74,74,73.3,72.5,73.5,74.1
HUN,38.9,,,40.3,,42.1,44.9,43.7,52,52.4,51.6,52.5
MEX,57.2,63,62.9,,,64.4,64.2,,,,,
SWE,72.5,71.3,71.1,70.4,68.5,72.6,73.5,75.3,75.5,76.2,77.9,78
