Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHE,,,92.7,,,,,96.8,92.5,92.7,96.3,94.1
DNK,,,,,94.1,94.3,90.2,92,89.5,90.6,85.6,87.8
LUX,,,,95.4,94.1,97.7,98.1,96.9,95.8,97.3,95.2,93.5
DEU,,,,89.3,,91,91.9,90.6,94.5,92,91.7,92.3
ESP,,90,,88.2,93.5,94.3,95.8,93.4,95.1,94.6,96.1,96.4
GRC,,,,98,98,98.7,97.4,98,97.9,98.9,97.5,97.8
HUN,79.5,,,83.6,,86.1,90.4,89.2,93.2,94,93.3,93.6
POL,,86.4,,,87.6,91.5,92.5,92.3,92.1,92.1,93.2,93.7
PRT,,,,,83.6,85.2,86.2,85.4,84.9,86.6,84.3,87.2
CZE,,,91.3,,,91.2,93.4,92.9,95.4,95,96.3,
FRA,,,,,92.7,93.8,95.7,95.1,94.3,94.2,92.8,92.8
IRL,,,91.8,,96.2,96.3,95.4,94.6,96.2,96.5,97,96.9
ISR,,,94.7,95.1,95.1,95.5,97,94.8,97.4,97.4,97.2,97.5
ITA,87.6,89.5,89,88.8,92.9,93.1,93,94.6,94.6,95.1,95,94.3
JPN,,53.4,,,53.8,,,49.8,,,47.5,
MEX,68,82.1,83.1,,,79.5,79.2,,,,,
NZL,,,,92,,,,93.3,,,,
EST,,,,,82.7,87.2,85,87.4,89.2,88.4,87,86.9
FIN,83,84.9,83.7,82.9,90.9,91.1,89.8,94.1,90.1,92.4,90.3,88.9
GBR,89.7,86.3,88.5,89,88.6,91.9,91.3,94.5,95.5,95.6,94.8,95.4
NOR,,,94,,90.9,88.5,88.6,89.4,90.8,91.4,88.8,85.8
SVK,,,,,,90.2,91.1,92,94.8,92.9,95.3,94.7
SVN,,,,,,86.7,88.4,86.7,88,86.3,88.4,93
SWE,91.7,89.2,90.3,95,87.9,90.9,92.4,94.3,92.7,95.1,91.4,92.6
TUR,,,,75,,,89,91.7,92.1,91.4,91.9,92.1
CHL,76.3,,,,,,70.7,,,86.5,,
KOR,,59.8,,,,68.9,,,61.7,62.3,57.3,59.9
AUS,,91.9,,,93.8,,,94.7,,,,91.7
AUT,,,,,94,94.6,93.3,94.7,93.6,92.9,94.2,93.8
BEL,,94.4,,,94.9,93.6,95.3,93.7,94.8,95.7,94.9,94.6
CAN,,95.3,,95,,95.3,,94.1,95.2,94.9,95,94
ISL,,,93.3,,89.7,93.6,91.3,91.2,89.7,90.6,88.1,86.2
NLD,91.7,91.8,91.6,91.7,92,93.1,93.7,91.6,93.5,94.1,94.7,90.5
USA,97,97.4,97.3,97.4,97.4,97.4,97,97.3,96.8,96.9,97,96.5
