Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUT,,,,,39.7,42,43,45.1,42.8,47.1,43.7,45.3
CAN,,69.7,,73.8,,73.5,,74.6,74.4,75.9,75.7,77.3
CHL,39,,,,,,37.1,,,46.8,,
ITA,24.7,29.7,26.7,27.4,22.4,22.6,21.7,28.9,29.2,28.9,31.4,32.5
KOR,,33.7,,,,25.7,,,43.1,39.6,37.1,31.9
NLD,61.6,60.7,61.8,62.2,60.4,53.6,58.1,57.9,63.7,61.6,62.2,63.8
SWE,58.1,52.3,58.6,61.9,57.3,58.8,62.2,63.1,63.4,63.6,65,64.7
AUS,,66.1,,,65.6,,,66.6,,,,72.5
BEL,,55.3,,,52.2,52.9,55.8,56.2,54,54.6,53.5,52
JPN,,27.4,,,28.2,,,22.1,,,20.1,
MEX,36.3,41.4,46.4,,,44.4,44.2,,,,,
POL,,13.4,,,17.6,11.9,12.4,13.1,12.7,14.1,15,16.5
TUR,,,,42,,,27.5,27.2,27.6,26.6,27.5,26.1
USA,72.8,72.8,73.1,74.7,73.2,74.6,75.1,73.6,75.5,75.8,75,75.7
SVN,,,,,,25.8,26.9,30.4,31.9,29.9,28.4,26.8
CHE,,,76.6,,,,,75.2,68.9,70.5,69.7,69.6
ESP,,47.4,,44.9,32.2,34.5,36.1,35.5,44,42.6,41.2,44.2
ISL,,,76.5,,54.9,53.6,57.3,60.3,55.8,58.4,52.8,59.1
ISR,,,44.7,47.3,43.8,43.3,43.4,46.5,44.3,48.8,51.3,50.1
PRT,,,,,11.4,11.5,12.3,11.5,13.2,15.4,15.5,16.5
CZE,,,37.6,,,16.1,19.5,20.9,20.6,21.7,22.3,23.4
DNK,,,,,61.7,61.1,60.5,61,63.7,59.6,60.2,55.8
IRL,,,66.5,,60,59.4,59.7,61.7,63.3,63.3,64.9,63.9
NZL,,,,81,,,,83.2,,,,
GBR,57.7,55.7,54.3,58.9,57.7,58,59.2,60.5,60,59.6,60.7,60.2
NOR,,,71,,64,59.9,59.7,62.9,69.1,64.8,70.3,64.8
GRC,,,,44.3,43.4,43.4,43.8,42,43.5,40.9,41,44.5
HUN,21.8,,,18.6,,11.3,13.3,9.5,16.9,17.5,13.2,14.9
SVK,,,,,,12.4,9.4,9.6,16.4,15.6,17.9,18.5
DEU,,,,51.5,,33.3,33.3,34.1,38.9,40.8,38.7,39.9
EST,,,,,17.4,16.9,15.1,14.8,14.1,15.1,19.6,15.3
FIN,,,,,39.5,41,42.2,38.9,41.2,38.1,38.4,39.4
FRA,,,,,36.1,35.2,35.4,37.6,37.5,38.9,38.3,41.1
LUX,,,,44.5,44.7,47.5,45.1,44.2,47.4,46.8,50.9,53.8
