Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHE,,,87.80,,,,,88.20,83.20,83.50,84.20,84.00
DEU,,,,73.80,,62.60,63.50,62.90,66.90,66.90,66.40,66.40
GRC,,,,80.50,81.30,80.50,79.90,79.50,79.20,78.60,78.00,79.00
TUR,,,,62.00,,,68.60,74.20,72.40,71.00,71.40,72.30
AUS,,81.90,,,83.60,,,84.40,,,,85.40
AUT,,,,,73.10,73.90,73.10,74.10,71.10,72.00,72.10,71.30
CHL,62.60,,,,,,59.60,,,67.30,,
FIN,65.80,65.90,66.80,66.00,69.70,68.80,69.10,69.20,69.70,69.40,70.10,70.50
GBR,75.10,74.60,75.00,74.70,75.10,76.30,78.10,78.80,81.20,81.00,80.60,78.50
SVK,,,,,,56.10,56.80,58.20,65.10,66.90,68.50,68.10
SWE,78.60,75.80,76.60,78.80,74.90,78.60,78.60,80.10,81.60,82.90,82.20,81.80
MEX,61.70,68.60,70.80,,,67.10,66.90,,,,,
FRA,,,,,70.30,71.80,72.30,74.30,71.80,71.40,70.00,71.10
NLD,81.10,80.90,80.50,81.10,80.40,79.50,80.00,79.10,81.20,80.70,80.40,79.60
POL,,51.70,,,56.30,58.30,58.70,61.00,61.20,60.20,61.50,61.10
CAN,,88.30,,89.30,,88.90,,88.70,88.40,88.90,88.10,88.80
CZE,,,66.40,,,62.10,62.80,64.20,65.20,63.70,65.00,62.50
DNK,,,,,79.90,79.90,77.60,78.30,75.80,73.50,72.90,73.10
ISL,,,85.70,,82.10,82.30,82.30,82.60,82.40,81.80,79.40,79.40
KOR,,50.70,,,,53.70,,,48.00,48.90,41.70,40.20
USA,91.50,89.70,89.70,89.70,89.50,89.60,89.30,89.00,88.90,90.70,90.60,90.20
BEL,,79.10,,,76.40,76.20,77.90,77.20,76.60,76.20,75.50,75.50
ESP,,75.60,,73.20,68.00,70.50,71.30,71.00,76.90,75.30,75.70,78.30
HUN,48.00,,,50.30,,49.30,52.20,50.40,58.90,60.10,59.20,60.10
JPN,,40.70,,,40.90,,,34.70,,,31.50,
LUX,,,,75.10,74.10,75.40,76.20,76.20,75.40,76.40,76.70,75.10
NOR,,,83.00,,76.80,76.50,76.40,78.50,79.20,78.40,79.20,75.40
NZL,,,,89.40,,,,89.60,,,,
EST,,,,,53.80,57.60,56.50,55.30,57.00,53.70,55.70,54.50
IRL,,,84.50,,83.50,83.70,84.40,84.40,85.70,83.90,84.00,83.60
ISR,,,79.20,80.90,79.90,80.40,81.30,82.00,82.60,82.50,83.60,83.50
ITA,62.50,65.60,64.60,65.00,61.40,62.30,60.80,68.00,67.90,68.20,70.50,67.90
PRT,,,,,50.80,51.50,53.30,50.90,54.10,53.50,54.80,55.30
SVN,,,,,,56.50,59.60,60.80,60.90,63.20,63.20,63.50
