Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CAN,,84.90,,85.40,,86.20,,86.30,85.70,86.40,85.60,86.40
CHE,,,84.20,,,,,84.30,77.80,77.60,78.40,78.60
DEU,,,,,,52.70,53.00,52.60,58.50,59.20,60.00,60.00
FIN,57.00,58.90,59.90,59.00,63.70,62.60,65.10,62.50,62.90,63.70,64.40,65.40
IRL,,,85.30,,78.20,78.20,78.00,78.00,78.90,78.00,78.20,78.40
NLD,72.30,71.90,72.30,72.00,71.80,71.50,72.80,72.60,74.50,75.20,76.00,73.90
BEL,,72.70,,,68.60,68.60,70.00,70.00,69.60,69.00,69.40,69.90
ISL,,,82.40,,76.80,77.90,78.40,74.80,79.90,79.10,75.80,74.40
JPN,,34.50,,,35.70,,,28.60,,,26.70,
PRT,,,,,31.20,31.90,32.90,32.00,36.10,34.70,38.80,38.00
SWE,71.70,70.80,69.90,71.00,67.80,73.70,72.30,74.60,75.80,78.30,78.60,78.50
USA,85.40,85.40,85.30,85.10,85.40,85.60,84.60,84.70,84.50,84.10,83.80,83.50
ESP,,63.00,,61.60,55.30,59.20,60.60,59.50,68.00,66.20,67.80,73.40
KOR,,38.90,,,,36.90,,,38.30,41.50,31.40,34.10
POL,,28.10,,,36.60,35.90,36.30,39.40,40.60,40.50,43.50,42.60
SVN,,,,,,39.00,43.90,45.60,47.60,49.70,48.80,50.70
DNK,,,,,73.80,73.70,69.70,69.50,68.90,67.90,68.10,66.40
GRC,,,,75.80,78.10,77.40,76.80,76.40,75.90,75.90,76.20,78.10
ITA,48.90,53.10,52.40,52.60,49.40,50.80,50.40,60.70,61.10,62.00,66.40,63.70
AUT,,,,,64.50,64.90,66.20,66.60,64.10,64.20,64.30,64.90
CHL,48.80,,,,,,48.50,,,48.90,,
ISR,,,69.50,69.90,69.70,71.40,72.60,72.70,73.80,73.90,75.30,77.60
NZL,,,,89.80,,,,89.70,,,,
CZE,,,48.30,,,46.00,46.00,49.00,49.80,51.90,53.40,51.20
EST,,,,,36.40,41.10,40.10,37.60,42.10,40.40,42.30,40.60
NOR,,,76.20,,68.10,68.70,69.30,72.10,71.90,72.60,73.80,71.00
AUS,,77.00,,,80.20,,,82.00,,,,83.40
FRA,,,,,62.70,65.40,66.10,66.50,65.10,65.50,63.90,64.20
GBR,71.00,71.00,70.60,71.50,70.20,71.40,73.00,73.40,77.00,76.70,76.40,73.30
HUN,28.10,,,28.60,,26.90,29.50,27.80,38.10,40.80,40.80,42.10
LUX,,,,64.80,66.00,67.00,68.20,70.20,69.30,69.40,69.10,65.90
MEX,43.00,55.10,54.40,,,53.40,53.30,,,,,
SVK,,,,,,31.20,31.40,33.80,43.00,47.80,50.60,50.60
TUR,,,,46.00,,,43.20,48.40,49.10,45.60,45.50,47.80
