Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
KOR,,,,,,,,,2.00,2.30,2.30,2.60
BEL,,11.50,,,11.90,,,,13.10,,,
CHE,,,7.90,,,,,8.60,,,,
DNK,9.80,,,,,11.00,,,,,13.70,
EST,12.30,,12.50,,14.00,,14.90,,17.50,,17.00,
FIN,11.40,12.80,12.00,14.00,14.00,14.90,14.60,16.00,15.40,16.10,15.70,17.50
HUN,18.00,,,19.60,,,,,,21.40,,
ISL,,,12.40,,,,,18.90,,,22.70,
GRC,,,,,,,14.30,,17.70,17.30,,
CHL,1.60,,,,,,5.10,,,9.60,,
IRL,,,15.00,,,,,16.00,,,,
SWE,9.30,9.30,11.00,10.20,10.00,11.40,10.30,10.80,10.60,11.30,12.00,11.60
AUS,,15.70,,,19.00,,,22.30,,,,
CAN,,15.90,,15.70,,16.30,,17.20,17.70,18.30,19.10,19.10
DEU,,,,13.60,,14.40,,,,15.70,,
ESP,,11.80,,12.90,,,15.10,,,17.30,,17.50
ITA,8.80,8.60,8.80,9.30,,10.20,10.40,10.60,10.80,11.30,11.10,10.70
TUR,,,,9.70,,,,,12.30,,13.20,
NOR,,,8.00,,,9.00,,,11.00,,,
SVK,,,,15.20,,,,,,14.50,,
USA,21.50,22.90,24.30,23.30,24.30,25.40,26.00,27.20,27.10,28.20,28.30,29.00
AUT,,,,,,,12.00,,,,,
CZE,,,13.40,,,,,,17.30,,,
FRA,9.00,,9.70,,9.50,,10.50,,10.90,,12.40,
ISR,,,12.20,,11.60,,12.80,,13.20,,16.10,
NLD,8.60,8.30,8.60,9.30,9.60,9.90,9.80,10.20,10.10,11.20,10.20,10.20
POL,,,,,12.60,,,,,16.60,,
PRT,,,,,,,14.60,,,,,
SVN,,,,,,,,17.00,,,,
