Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,,42.00,,,42.90,,,41.00,,,,
CZE,,,42.50,,,,,,45.20,,,
ITA,40.30,42.60,42.20,42.10,,43.90,43.80,44.30,44.70,45.20,44.30,45.50
KOR,,,,,,,,,24.50,25.30,26.20,26.90
SWE,40.30,40.30,40.90,39.60,40.40,40.60,42.00,41.40,42.30,41.70,41.90,42.00
DNK,39.80,,,,,40.90,,,,,40.50,
FRA,34.40,,34.00,,30.10,,32.00,,32.20,,37.60,
NOR,,,42.00,,,43.00,,,43.00,,,
SVN,,,,,,,,47.90,,,,
BEL,,39.00,,,38.70,,,,40.60,,,
DEU,,,,44.10,,43.50,,,,44.40,,
FIN,40.00,41.00,42.80,39.50,39.30,44.80,40.90,40.70,40.40,42.30,42.20,42.60
IRL,,,38.00,,,,,43.00,,,,
AUT,,,,,,,44.90,,,,,
ISR,,,38.10,,36.90,,37.60,,39.00,,41.10,
POL,,,,,39.50,,,,,44.80,,
CHL,25.30,,,,,,36.10,,,40.50,,
EST,31.00,,32.90,,31.90,,37.30,,38.80,,36.60,
GRC,,,,,,,48.10,,47.20,45.60,,
HUN,38.50,,,38.70,,,,,,38.60,,
ISL,,,44.60,,,,,47.70,,,44.00,
CHE,,,37.50,,,,,37.80,,,,
TUR,,,,33.60,,,,,36.90,,37.30,
USA,43.90,44.50,43.60,44.90,44.10,43.40,42.20,42.90,42.40,42.80,41.90,41.30
CAN,,40.10,,41.60,,39.70,,39.60,39.10,39.00,39.80,39.00
ESP,,43.50,,43.50,,,43.60,,,45.50,,44.40
PRT,,,,,,,41.40,,,,,
SVK,,,,42.00,,,,,,44.60,,
NLD,39.30,41.70,42.10,41.80,41.70,40.50,41.30,40.90,42.30,41.30,43.40,43.30
