Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
NLD,30.20,29.30,28.20,29.00,29.80,28.20,29.20,27.70,29.20,29.50,30.30,30.30
DNK,24.90,,,,,26.40,,,,,26.30,
ISL,,,28.00,,,,,32.20,,,31.10,
NOR,,,27.00,,,26.00,,,27.00,,,
POL,,,,,26.60,,,,,29.40,,
SVK,,,,24.90,,,,,,27.30,,
DEU,,,,28.90,,28.70,,,,29.10,,
EST,25.50,,26.10,,26.20,,26.10,,26.30,,28.40,
IRL,,,28.00,,,,,28.00,,,,
BEL,,26.10,,,24.30,,,,26.00,,,
CAN,,26.40,,27.40,,26.20,,26.30,26.50,26.50,26.40,26.70
FIN,25.70,25.60,25.60,26.20,24.70,26.60,27.20,28.80,27.60,28.30,27.70,27.70
PRT,,,,,,,31.40,,,,,
TUR,,,,28.90,,,,,27.40,,28.40,
CZE,,,30.70,,,,,,28.90,,,
HUN,28.50,,,29.80,,,,,,30.20,,
AUS,,25.40,,,28.00,,,28.00,,,,
CHL,35.70,,,,,,43.60,,,46.20,,
FRA,20.10,,22.30,,19.90,,21.20,,22.30,,23.30,
KOR,,,,,,,,,14.70,15.50,14.90,15.40
SVN,,,,,,,,29.60,,,,
AUT,,,,,,,29.90,,,,,
ESP,,27.80,,27.60,,,28.60,,,29.90,,27.70
GRC,,,,,,,34.90,,34.80,31.70,,
ITA,25.10,25.80,25.40,25.80,,26.20,26.80,27.60,27.10,27.70,27.60,26.80
USA,28.00,27.90,27.40,27.90,27.40,28.10,27.90,28.30,27.80,29.10,28.30,28.20
CHE,,,21.80,,,,,20.90,,,,
ISR,,,25.20,,27.40,,26.70,,29.10,,27.20,
SWE,26.60,26.60,28.00,27.00,25.70,26.30,26.80,26.70,27.00,27.40,28.20,28.50
