Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ISR,,,50.30,,48.50,,50.40,,52.20,,57.20,
PRT,,,,,,,56.00,,,,,
SWE,49.60,49.60,51.90,49.80,50.30,52.00,52.20,52.20,52.90,53.00,53.90,53.60
ISL,,,57.00,,,,,66.60,,,66.70,
NOR,,,50.00,,,52.00,,,55.00,,,
SVN,,,,,,,,64.90,,,,
CAN,,55.90,,57.30,,55.90,,56.80,56.80,57.40,58.90,58.10
CHL,26.90,,,,,,41.30,,,50.10,,
ITA,49.10,51.20,51.00,51.30,,54.00,54.20,54.90,55.40,56.50,55.50,56.20
EST,43.30,,45.40,,45.90,,52.20,,56.30,,53.60,
FRA,43.40,,43.60,,39.60,,42.50,,43.10,,49.90,
POL,,,,,52.10,,,,,61.40,,
TUR,,,,43.30,,,,,49.20,,50.50,
AUS,,57.70,,,61.90,,,63.30,,,,
FIN,51.40,53.80,54.80,53.50,53.30,59.70,55.50,56.70,55.80,58.40,57.90,60.10
GRC,,,,,,,62.40,,64.90,62.90,,
HUN,56.50,,,58.30,,,,,,59.40,,
KOR,,,,,,,,,26.50,27.60,28.60,29.40
SVK,,,,57.20,,,,,,59.10,,
IRL,,,53.00,,,,,59.00,,,,
NLD,47.90,50.00,50.70,51.10,51.30,50.40,51.10,51.10,52.30,52.50,53.60,53.50
CZE,,,55.90,,,,,,62.50,,,
USA,65.40,67.40,67.90,68.20,68.40,68.80,68.20,70.10,69.50,71.00,70.20,70.30
AUT,,,,,,,56.90,,,,,
BEL,,50.50,,,50.60,,,,53.70,,,
CHE,,,45.40,,,,,46.30,,,,
DEU,,,,57.70,,57.90,,,,60.10,,
DNK,49.60,,,,,51.90,,,,,54.30,
ESP,,55.20,,56.30,,,58.60,,,62.80,,61.90
