Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHL,39.10,,,,,,53.00,,,60.70,,
FIN,36.70,35.90,37.30,37.90,38.60,40.10,41.30,42.80,43.60,42.30,43.30,43.70
NLD,40.40,39.60,39.00,41.10,41.90,39.60,41.90,39.90,41.40,41.90,42.90,43.00
GRC,,,,,,,53.20,,53.30,49.00,,
DNK,34.00,,,,,38.20,,,,,39.40,
ITA,33.50,34.20,33.70,34.50,,35.90,36.70,36.80,36.30,37.00,37.20,36.10
ESP,,41.20,,40.90,,,43.40,,,44.60,,43.40
ISL,,,40.40,,,,,53.50,,,50.40,
KOR,,,,,,,,,16.20,17.10,16.50,17.00
EST,40.90,,40.70,,41.10,,42.60,,44.60,,45.20,
TUR,,,,43.40,,,,,45.90,,49.40,
AUS,,42.40,,,45.00,,,48.30,,,,
BEL,,38.80,,,37.80,,,,40.40,,,
CAN,,40.20,,41.30,,40.30,,41.40,42.10,42.50,42.30,42.90
FRA,29.10,,31.30,,29.30,,31.60,,33.80,,36.70,
SVK,,,,40.50,,,,,,43.00,,
SVN,,,,,,,,45.40,,,,
CHE,,,29.30,,,,,28.60,,,,
DEU,,,,41.20,,41.50,,,,42.90,,
HUN,47.00,,,47.80,,,,,,48.50,,
IRL,,,42.00,,,,,41.00,,,,
PRT,,,,,,,47.50,,,,,
AUT,,,,,,,42.60,,,,,
CZE,,,46.70,,,,,,46.50,,,
ISR,,,38.00,,40.10,,38.20,,43.50,,42.60,
NOR,,,35.00,,,34.00,,,36.00,,,
POL,,,,,39.10,,,,,44.60,,
SWE,35.80,35.80,37.60,36.50,35.40,36.60,34.50,37.00,36.90,37.90,38.80,39.00
USA,49.90,50.70,50.80,51.50,51.40,52.80,53.90,53.90,55.80,56.40,56.10,56.10
