Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BEL,,44.50,,,44.10,,,,46.90,,,
CHE,,,37.10,,,,,37.30,,,,
DEU,,,,49.20,,49.60,,,,51.40,,
DNK,41.70,,,,,44.60,,,,,46.70,
ESP,,48.30,,48.40,,,51.10,,,53.70,,52.70
GRC,,,,,,,57.70,,58.90,55.70,,
SVK,,,,47.60,,,,,,50.80,,
CHL,33.60,,,,,,47.40,,,55.50,,
CZE,,,51.10,,,,,,54.30,,,
EST,41.90,,42.60,,43.20,,46.50,,49.60,,48.60,
ISL,,,48.30,,,,,60.20,,,58.50,
PRT,,,,,,,51.60,,,,,
TUR,,,,43.40,,,,,47.60,,49.90,
USA,57.50,58.90,59.30,59.70,59.80,60.70,61.00,61.90,62.60,63.50,63.10,63.10
AUS,,50.00,,,53.50,,,56.00,,,,
AUT,,,,,,,47.70,,,,,
POL,,,,,45.30,,,,,52.20,,
CAN,,48.20,,49.40,,48.20,,49.10,49.50,50.00,50.60,50.50
FIN,43.40,44.10,45.30,45.00,45.30,49.20,47.70,48.90,48.80,49.30,49.70,50.80
ITA,41.10,42.40,42.00,42.60,,44.60,45.10,45.50,45.50,46.30,46.00,45.80
NOR,,,43.00,,,43.00,,,46.00,,,
NLD,44.10,44.80,44.80,46.10,46.50,44.90,46.50,45.50,46.90,47.20,48.20,48.20
SVN,,,,,,,,55.10,,,,
FRA,36.20,,37.50,,34.70,,37.00,,38.20,,42.90,
ISR,,,43.50,,44.20,,44.10,,47.70,,49.80,
KOR,,,,,,,,,21.40,22.30,22.60,23.30
SWE,42.70,42.70,44.70,43.10,42.80,44.30,43.40,44.60,44.90,45.50,46.40,46.30
IRL,,,48.00,,,,,51.00,,,,
HUN,51.40,,,52.80,,,,,,53.60,,
