Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BEL,,28.60,,,28.00,,,,23.60,,,
FIN,27.30,28.20,27.50,25.70,27.10,26.00,24.40,25.80,24.00,21.90,23.20,21.90
ISL,22.80,23.70,21.90,24.90,21.10,19.30,20.70,20.40,20.10,15.70,14.50,14.40
NOR,31.00,30.00,29.00,27.00,27.00,26.00,23.00,22.00,21.00,21.00,19.00,17.00
LUX,,29.00,30.00,34.00,30.00,27.00,24.00,24.00,23.00,22.00,21.00,18.00
NZL,25.00,25.00,25.00,24.00,23.00,22.50,21.90,19.30,,,,
SVK,,,,32.80,,,,,,27.10,,
AUS,,21.40,,,18.60,,,18.00,,,16.40,
CZE,,,30.90,,,,,,30.00,,,
DEU,,,,29.80,,27.90,,,,26.40,,
DNK,32.00,33.50,30.50,31.00,29.00,28.00,26.00,28.00,24.00,22.00,20.00,
FRA,33.00,32.00,32.00,,28.20,,31.00,,30.60,,26.40,
GRC,44.00,,,,46.00,,49.90,,46.30,38.00,,
HUN,38.20,,,36.90,,,,,,31.90,,
IRL,,,27.00,,,,,31.00,,,,
ISR,34.00,,29.10,,27.80,,25.60,,26.70,28.40,24.80,
JPN,47.40,45.90,43.30,46.80,43.30,39.30,39.90,39.40,36.80,38.20,32.20,32.40
AUT,,,,,,,27.30,,,,,
CHE,,,31.00,,,,,23.40,,,,
EST,45.00,,43.90,,47.70,,40.50,,38.60,,36.80,
KOR,,52.90,,,,47.30,,43.00,45.30,44.30,40.80,41.60
SVN,,,,,,,,22.40,,,,
ESP,,39.20,,34.20,,,31.60,,,31.20,,27.90
ITA,31.90,31.60,31.30,31.40,,28.70,29.20,28.60,28.90,29.90,29.60,28.70
SWE,16.80,17.90,18.80,17.80,16.90,17.60,16.30,14.90,16.30,14.60,14.70,13.90
CHL,,,,38.80,,,,,,33.70,,
NLD,35.00,32.30,30.90,29.20,28.60,28.40,28.80,25.40,25.90,25.50,23.10,23.50
PRT,,,,,,,27.20,,,,,
TUR,,,,51.10,,,50.60,,43.80,,39.00,
USA,21.20,20.30,20.50,19.40,19.00,19.10,19.00,17.10,17.90,17.90,16.70,16.40
CAN,,24.70,,20.50,,19.20,,20.40,20.00,18.30,19.00,17.40
GBR,28.00,28.00,27.00,28.00,26.00,25.00,23.00,22.00,22.00,22.30,20.30,
POL,,37.00,,,33.90,,,,,30.90,,
MEX,35.80,,,,,,30.40,,,,,
