Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHL,,,,50.50,,,,,,33.30,,
IRL,,,29.00,,,,,38.00,,,,
BEL,,26.40,,,28.20,,,,20.90,,,
CHE,,,,,,,,25.30,,,,
EST,33.90,,40.70,,41.60,,38.70,,34.60,,33.10,
GBR,,,,,,,27.00,27.00,27.00,24.00,23.80,
AUT,,,,,,,31.20,,,,,
CZE,,,30.60,,,,,,22.60,,,
DEU,,,,31.30,,29.10,,,,25.00,,
DNK,21.00,24.00,21.00,22.00,17.00,,18.00,,,,,
FRA,,,37.40,,34.80,,34.80,,33.40,,27.60,
SWE,12.50,13.60,10.50,10.60,10.60,8.00,8.70,10.40,10.50,12.90,10.50,
ISL,19.30,24.50,25.30,22.10,19.10,18.40,20.00,20.40,18.00,17.00,10.20,9.90
LUX,,39.00,41.00,44.00,38.00,35.00,23.00,26.00,26.00,21.00,20.00,16.00
PRT,,,,,,,25.90,,,,,
ISR,,,24.00,,27.80,,28.90,,,,,
KOR,,27.60,,,,31.80,,28.50,29.80,31.40,23.30,28.20
NLD,,30.80,30.10,26.10,25.30,21.70,25.10,19.40,22.40,21.80,22.40,20.10
NOR,28.00,28.00,25.00,26.00,25.00,24.00,20.00,16.00,13.00,18.00,10.00,9.00
SVK,,,,,,,,,,21.20,,
TUR,,,,,,,,,34.90,,27.10,
USA,21.90,23.20,23.80,20.10,19.60,20.40,18.90,17.40,16.90,19.00,15.60,14.40
CAN,,23.50,,19.30,,16.40,,17.40,17.50,16.30,15.10,12.80
HUN,,,,,,,,,,33.30,,
ITA,27.20,27.10,27.20,26.40,,27.10,25.70,25.50,27.30,26.10,27.40,26.50
SVN,,,,,,,,21.40,,,,
ESP,,,,,,,25.00,,,28.90,,22.50
FIN,22.00,30.90,24.70,23.30,20.60,20.40,20.60,24.20,17.60,14.50,17.50,11.50
GRC,,,,,,,,,,7.70,,
NZL,,,,,,,24.30,21.30,19.90,19.80,,
POL,,,,,,,,,,20.30,,
