Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BEL,,24.60,,,22.90,,,,18.80,,,
FRA,,,33.40,,31.70,,30.70,,30.00,,25.60,
NOR,29.00,29.00,26.00,25.00,24.00,23.00,20.00,17.00,15.00,17.00,12.00,11.00
TUR,,,,32.90,,,,,21.70,,16.40,
IRL,,,30.00,,,,,35.00,,,,
ISR,,,19.10,,21.60,,23.90,,,,,
LUX,,36.00,38.00,39.00,34.00,29.00,25.00,24.00,23.00,19.00,17.00,14.00
CAN,,22.60,,18.60,,15.30,,16.50,15.70,14.40,13.00,12.10
DEU,,,,27.90,,26.20,,,,22.40,,
DNK,21.00,24.00,21.00,21.00,19.00,,17.00,,,,,
GBR,,,,,,,26.00,27.00,26.00,25.20,24.30,
GRC,,,,,,,,,,9.70,,
NLD,,28.90,28.40,28.10,23.10,21.30,21.50,20.90,19.40,20.80,21.10,18.60
POL,,,,,,,,,,15.60,,
PRT,,,,,,,20.20,,,,,
AUT,,,,,,,29.40,,,,,
FIN,22.00,26.30,24.40,21.80,22.60,19.90,19.20,19.40,15.50,14.00,17.70,13.20
ISL,20.80,22.80,22.40,20.20,18.30,19.20,18.90,18.50,17.00,15.50,10.80,9.40
CHE,,,,,,,,21.90,,,,
CHL,,,,42.10,,,,,,30.10,,
NZL,,,,,,,24.00,20.40,21.90,21.00,,
EST,27.30,,26.90,,30.80,,27.00,,22.50,,25.60,
HUN,,,,,,,,,,27.50,,
SVN,,,,,,,,18.30,,,,
CZE,,,23.40,,,,,,20.10,,,
ESP,,,,,,,26.90,,,26.30,,21.70
SWE,15.70,16.20,14.50,13.10,12.50,10.30,12.00,12.70,12.60,14.30,12.40,
USA,21.00,20.70,21.40,18.40,17.90,18.50,16.00,15.40,16.00,15.20,14.10,13.20
ITA,21.90,21.60,22.10,22.20,,21.80,21.40,20.70,21.70,21.60,21.50,21.40
KOR,,14.20,,,,18.60,,18.30,20.00,20.00,14.00,18.00
SVK,,,,,,,,,,16.20,,
