Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,10440.00,10808.00,11176.00,11544.00,11912.00,12280.00,12648.00,13016.00,13384.00,13752.00,14120.00,14488.00
AUT,4359.00,4497.00,4635.00,4732.50,4830.00,4927.50,5025.00,5122.50,5220.00,5327.62,5435.25,5542.88
DEU,51710.00,53699.50,55689.00,57098.67,58508.33,59918.00,61327.67,62737.33,64147.00,65701.62,67256.25,68810.88
IRL,1711.00,1792.50,1874.00,2020.67,2167.33,2314.00,2460.67,2607.33,2754.00,2884.38,3014.75,3145.12
POL,13953.67,14155.83,14358.00,14560.17,14762.33,14964.50,15166.67,15368.83,15571.00,15773.17,15975.33,16177.50
NZL,2195.33,2262.67,2330.00,2397.33,2464.67,2532.00,2599.33,2666.67,2734.00,2801.33,2868.67,2936.00
EST,635.00,635.00,635.00,635.00,635.00,635.00,635.00,635.00,635.00,635.00,635.00,635.00
ITA,32037.00,34335.50,36634.00,38447.33,40260.67,42074.00,43887.33,45700.67,47514.00,49448.62,51383.25,53317.88
SWE,6012.00,6297.50,6583.00,6577.00,6571.00,6565.00,6559.00,6553.00,6547.00,6613.88,6680.75,6747.62
USA,219173.33,214584.17,209995.00,205405.83,200816.67,196227.50,191638.33,187049.17,182460.00,177870.83,173281.67,168692.50
ESP,14934.00,15394.50,15855.00,16883.67,17912.33,18941.00,19969.67,20998.33,22027.00,22913.62,23800.25,24686.88
JPN,27709.00,29977.00,32245.00,34513.00,36781.00,39049.00,41317.00,43585.00,45853.00,48121.00,50389.00,52657.00
ISR,4203.00,4203.00,4203.00,4203.00,4203.00,4203.00,4203.00,4203.00,4203.00,4203.00,4203.00,4203.00
SVN,1204.00,1204.00,1204.00,1204.00,1204.00,1204.00,1204.00,1204.00,1204.00,1204.00,1204.00,1204.00
HUN,5412.00,5411.50,5411.00,5410.50,5410.00,5409.50,5409.00,5408.50,5408.00,5407.50,5407.00,5406.50
MEX,10105.67,10584.83,11064.00,11543.17,12022.33,12501.50,12980.67,13459.83,13939.00,14418.17,14897.33,15376.50
ISL,154.33,158.17,162.00,165.83,169.67,173.50,177.33,181.17,185.00,188.83,192.67,196.50
NLD,10880.00,10663.50,10447.00,10866.50,11286.00,11705.50,12125.00,12544.50,12964.00,13224.50,13485.00,13745.50
PRT,4324.00,4316.50,4309.00,4479.67,4650.33,4821.00,4991.67,5162.33,5333.00,5459.12,5585.25,5711.38
KOR,3198.33,4354.67,5511.00,6667.33,7823.67,8980.00,10136.33,11292.67,12449.00,13605.33,14761.67,15918.00
CHL,4199.00,4199.00,4199.00,4199.00,4199.00,4199.00,4199.00,4199.00,4199.00,4199.00,4199.00,4199.00
FIN,3272.00,3440.50,3609.00,3688.83,3768.67,3848.50,3928.33,4008.17,4088.00,4190.00,4292.00,4394.00
LUX,237.00,259.50,282.00,290.67,299.33,308.00,316.67,325.33,334.00,346.12,358.25,370.38
BEL,6813.00,7121.00,7429.00,7809.83,8190.67,8571.50,8952.33,9333.17,9714.00,10076.62,10439.25,10801.88
GBR,34815.00,37871.50,40928.00,41710.67,42493.33,43276.00,44058.67,44841.33,45624.00,46975.12,48326.25,49677.38
CZE,4725.00,4928.50,5132.00,5335.50,5539.00,5742.50,5946.00,6149.50,6353.00,6556.50,6760.00,6963.50
FRA,37193.00,39575.00,41957.00,43466.17,44975.33,46484.50,47993.67,49502.83,51012.00,52739.38,54466.75,56194.12
TUR,5617.00,6173.00,6729.00,7285.00,7841.00,8397.00,8953.00,9509.00,10065.00,10621.00,11177.00,11733.00
CHE,4071.00,4512.50,4954.00,5114.67,5275.33,5436.00,5596.67,5757.33,5918.00,6148.88,6379.75,6610.62
DNK,3648.00,3763.50,3879.00,3927.83,3976.67,4025.50,4074.33,4123.17,4172.00,4237.50,4303.00,4368.50
GRC,4254.00,4398.50,4543.00,4565.83,4588.67,4611.50,4634.33,4657.17,4680.00,4733.25,4786.50,4839.75
SVK,1728.33,1804.17,1880.00,1955.83,2031.67,2107.50,2183.33,2259.17,2335.00,2410.83,2486.67,2562.50
CAN,18391.33,18965.67,19540.00,20114.33,20688.67,21263.00,21837.33,22411.67,22986.00,23560.33,24134.67,24709.00
NOR,2519.33,2558.67,2598.00,2637.33,2676.67,2716.00,2755.33,2794.67,2834.00,2873.33,2912.67,2952.00
