Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
POL,7259.00,7465.00,7671.00,7877.00,8083.00,8289.00,8495.00,8701.00,8907.00,9113.00,9319.00,9525.00
CHL,1319.00,1319.00,1319.00,1319.00,1319.00,1319.00,1319.00,1319.00,1319.00,1319.00,1319.00,1319.00
GBR,17249.00,18328.00,19407.00,19619.50,19832.00,20044.50,20257.00,20469.50,20682.00,21111.12,21540.25,21969.38
KOR,2976.67,4313.33,5650.00,6986.67,8323.33,9660.00,10996.67,12333.33,13670.00,15006.67,16343.33,17680.00
FIN,969.00,1000.00,1031.00,1085.17,1139.33,1193.50,1247.67,1301.83,1356.00,1404.38,1452.75,1501.12
FRA,18313.00,18771.00,19229.00,19441.17,19653.33,19865.50,20077.67,20289.83,20502.00,20775.62,21049.25,21322.88
BEL,3121.00,3212.50,3304.00,3490.50,3677.00,3863.50,4050.00,4236.50,4423.00,4585.75,4748.50,4911.25
CZE,4118.67,4246.33,4374.00,4501.67,4629.33,4757.00,4884.67,5012.33,5140.00,5267.67,5395.33,5523.00
ESP,10502.00,11460.00,12418.00,13126.33,13834.67,14543.00,15251.33,15959.67,16668.00,17438.75,18209.50,18980.25
NLD,4836.00,4888.00,4940.00,5158.50,5377.00,5595.50,5814.00,6032.50,6251.00,6427.88,6604.75,6781.62
SWE,2731.00,2746.00,2761.00,2803.83,2846.67,2889.50,2932.33,2975.17,3018.00,3053.88,3089.75,3125.62
SVK,1614.00,1679.50,1745.00,1810.50,1876.00,1941.50,2007.00,2072.50,2138.00,2203.50,2269.00,2334.50
SVN,836.00,836.00,836.00,836.00,836.00,836.00,836.00,836.00,836.00,836.00,836.00,836.00
ISL,57.33,60.67,64.00,67.33,70.67,74.00,77.33,80.67,84.00,87.33,90.67,94.00
AUT,2568.00,2640.50,2713.00,2720.67,2728.33,2736.00,2743.67,2751.33,2759.00,2782.88,2806.75,2830.62
JPN,57213.33,57488.67,57764.00,58039.33,58314.67,58590.00,58865.33,59140.67,59416.00,59691.33,59966.67,60242.00
MEX,2657.00,2723.50,2790.00,2856.50,2923.00,2989.50,3056.00,3122.50,3189.00,3255.50,3322.00,3388.50
EST,318.00,318.00,318.00,318.00,318.00,318.00,318.00,318.00,318.00,318.00,318.00,318.00
ITA,17841.00,19149.00,20457.00,21807.17,23157.33,24507.50,25857.67,27207.83,28558.00,29897.62,31237.25,32576.88
CHE,1787.00,2228.50,2670.00,2582.83,2495.67,2408.50,2321.33,2234.17,2147.00,2192.00,2237.00,2282.00
ISR,1965.00,1965.00,1965.00,1965.00,1965.00,1965.00,1965.00,1965.00,1965.00,1965.00,1965.00,1965.00
DEU,30359.00,31057.50,31756.00,32836.50,33917.00,34997.50,36078.00,37158.50,38239.00,39224.00,40209.00,41194.00
IRL,1049.00,1062.00,1075.00,1120.33,1165.67,1211.00,1256.33,1301.67,1347.00,1384.25,1421.50,1458.75
LUX,122.00,134.00,146.00,149.50,153.00,156.50,160.00,163.50,167.00,172.62,178.25,183.88
NZL,1325.00,1341.50,1358.00,1374.50,1391.00,1407.50,1424.00,1440.50,1457.00,1473.50,1490.00,1506.50
CAN,8422.00,8932.00,9442.00,9952.00,10462.00,10972.00,11482.00,11992.00,12502.00,13012.00,13522.00,14032.00
HUN,3695.67,3836.33,3977.00,4117.67,4258.33,4399.00,4539.67,4680.33,4821.00,4961.67,5102.33,5243.00
TUR,2026.00,2285.50,2545.00,2804.50,3064.00,3323.50,3583.00,3842.50,4102.00,4361.50,4621.00,4880.50
AUS,6064.33,6301.67,6539.00,6776.33,7013.67,7251.00,7488.33,7725.67,7963.00,8200.33,8437.67,8675.00
GRC,1728.00,1832.50,1937.00,1911.50,1886.00,1860.50,1835.00,1809.50,1784.00,1791.00,1798.00,1805.00
USA,87260.34,86261.66,85263.00,84264.34,83265.66,82267.00,81268.34,80269.66,79271.00,78272.34,77273.66,76275.00
NOR,1524.67,1548.83,1573.00,1597.17,1621.33,1645.50,1669.67,1693.83,1718.00,1742.17,1766.33,1790.50
PRT,3072.00,2949.00,2826.00,3013.50,3201.00,3388.50,3576.00,3763.50,3951.00,4060.88,4170.75,4280.62
DNK,1674.00,1751.00,1828.00,1905.17,1982.33,2059.50,2136.67,2213.83,2291.00,2368.12,2445.25,2522.38
