Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CAN,15879.00,16793.50,17708.00,18622.50,19537.00,20451.50,21366.00,22280.50,23195.00,24109.50,25024.00,25938.50
JPN,93649.34,94650.16,95651.00,96651.84,97652.66,98653.50,99654.34,100655.16,101656.00,102656.84,103657.66,104658.50
POL,15480.67,15530.33,15580.00,15629.67,15679.33,15729.00,15778.67,15828.33,15878.00,15927.67,15977.33,16027.00
GBR,33173.00,34571.00,35969.00,36254.50,36540.00,36825.50,37111.00,37396.50,37682.00,38245.62,38809.25,39372.88
TUR,4415.33,4765.67,5116.00,5466.33,5816.67,6167.00,6517.33,6867.67,7218.00,7568.33,7918.67,8269.00
SWE,5199.00,5297.00,5395.00,5475.83,5556.67,5637.50,5718.33,5799.17,5880.00,5965.12,6050.25,6135.38
ITA,33315.00,35524.00,37733.00,40072.50,42412.00,44751.50,47091.00,49430.50,51770.00,54076.88,56383.75,58690.62
USA,169626.33,167658.17,165690.00,163721.83,161753.67,159785.50,157817.33,155849.17,153881.00,151912.83,149944.67,147976.50
ISL,110.33,115.17,120.00,124.83,129.67,134.50,139.33,144.17,149.00,153.83,158.67,163.50
KOR,5923.00,8067.00,10211.00,12355.00,14499.00,16643.00,18787.00,20931.00,23075.00,25219.00,27363.00,29507.00
MEX,5356.33,5480.17,5604.00,5727.83,5851.67,5975.50,6099.33,6223.17,6347.00,6470.83,6594.67,6718.50
SVK,2746.33,2859.17,2972.00,3084.83,3197.67,3310.50,3423.33,3536.17,3649.00,3761.83,3874.67,3987.50
CHE,3500.00,4059.00,4618.00,4526.17,4434.33,4342.50,4250.67,4158.83,4067.00,4137.88,4208.75,4279.62
ESP,19166.00,20565.00,21964.00,23061.83,24159.67,25257.50,26355.33,27453.17,28551.00,29724.12,30897.25,32070.38
AUS,11526.33,11890.17,12254.00,12617.83,12981.67,13345.50,13709.33,14073.17,14437.00,14800.83,15164.67,15528.50
CHL,2737.00,2737.00,2737.00,2737.00,2737.00,2737.00,2737.00,2737.00,2737.00,2737.00,2737.00,2737.00
FRA,34515.00,34731.00,34947.00,35609.83,36272.67,36935.50,37598.33,38261.17,38924.00,39475.12,40026.25,40577.38
SVN,1443.00,1443.00,1443.00,1443.00,1443.00,1443.00,1443.00,1443.00,1443.00,1443.00,1443.00,1443.00
NLD,9299.00,9410.50,9522.00,9883.50,10245.00,10606.50,10968.00,11329.50,11691.00,11990.00,12289.00,12588.00
IRL,1856.00,1872.00,1888.00,1969.83,2051.67,2133.50,2215.33,2297.17,2379.00,2444.38,2509.75,2575.12
BEL,6194.00,6314.00,6434.00,6704.50,6975.00,7245.50,7516.00,7786.50,8057.00,8289.88,8522.75,8755.62
GRC,3298.00,3533.50,3769.00,3704.83,3640.67,3576.50,3512.33,3448.17,3384.00,3394.75,3405.50,3416.25
NZL,2554.33,2599.17,2644.00,2688.83,2733.67,2778.50,2823.33,2868.17,2913.00,2957.83,3002.67,3047.50
DEU,60813.00,62311.00,63809.00,64908.17,66007.34,67106.50,68205.66,69304.84,70404.00,71602.88,72801.75,74000.62
DNK,3321.00,3474.50,3628.00,3766.67,3905.33,4044.00,4182.67,4321.33,4460.00,4602.38,4744.75,4887.12
NOR,3150.67,3195.83,3241.00,3286.17,3331.33,3376.50,3421.67,3466.83,3512.00,3557.17,3602.33,3647.50
HUN,7126.67,7306.33,7486.00,7665.67,7845.33,8025.00,8204.67,8384.33,8564.00,8743.67,8923.33,9103.00
LUX,251.00,269.00,287.00,293.83,300.67,307.50,314.33,321.17,328.00,337.62,347.25,356.88
EST,708.00,708.00,708.00,708.00,708.00,708.00,708.00,708.00,708.00,708.00,708.00,708.00
FIN,2060.00,2118.50,2177.00,2250.83,2324.67,2398.50,2472.33,2546.17,2620.00,2690.00,2760.00,2830.00
CZE,7282.33,7449.67,7617.00,7784.33,7951.67,8119.00,8286.33,8453.67,8621.00,8788.33,8955.67,9123.00
ISR,3928.00,3928.00,3928.00,3928.00,3928.00,3928.00,3928.00,3928.00,3928.00,3928.00,3928.00,3928.00
PRT,5495.00,5239.50,4984.00,5312.00,5640.00,5968.00,6296.00,6624.00,6952.00,7134.12,7316.25,7498.38
AUT,4765.00,4964.50,5164.00,5146.50,5129.00,5111.50,5094.00,5076.50,5059.00,5095.75,5132.50,5169.25
