Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ISR,40.40,40.40,40.40,40.40,40.40,40.40,40.40,40.40,40.40,40.40,40.40,40.40
KOR,15.33,17.82,20.30,22.78,25.27,27.75,30.23,32.72,35.20,37.68,40.17,42.65
CHL,13.00,13.00,13.00,13.00,13.00,13.00,13.00,13.00,13.00,13.00,13.00,13.00
IRL,36.50,35.80,35.10,35.27,35.43,35.60,35.77,35.93,36.10,36.05,36.00,35.95
JPN,40.03,38.97,37.90,36.83,35.77,34.70,33.63,32.57,31.50,30.43,29.37,28.30
AUT,34.70,34.85,35.00,33.93,32.87,31.80,30.73,29.67,28.60,27.84,27.08,26.31
TUR,8.07,8.43,8.80,9.17,9.53,9.90,10.27,10.63,11.00,11.37,11.73,12.10
GBR,30.30,31.60,32.90,32.30,31.70,31.10,30.50,29.90,29.30,29.17,29.05,28.92
SVK,40.63,40.82,41.00,41.18,41.37,41.55,41.73,41.92,42.10,42.28,42.47,42.65
GRC,15.50,16.50,17.50,16.80,16.10,15.40,14.70,14.00,13.30,13.03,12.75,12.48
DEU,38.50,38.90,39.30,38.67,38.03,37.40,36.77,36.13,35.50,35.12,34.75,34.38
FRA,33.30,33.35,33.40,32.73,32.07,31.40,30.73,30.07,29.40,28.91,28.42,27.94
PRT,32.40,30.50,28.60,29.07,29.53,30.00,30.47,30.93,31.40,31.27,31.15,31.02
HUN,46.07,45.63,45.20,44.77,44.33,43.90,43.47,43.03,42.60,42.17,41.73,41.30
DNK,34.70,35.85,37.00,37.45,37.90,38.35,38.80,39.25,39.70,40.33,40.95,41.58
NOR,41.13,40.72,40.30,39.88,39.47,39.05,38.63,38.22,37.80,37.38,36.97,36.55
POL,28.97,28.33,27.70,27.07,26.43,25.80,25.17,24.53,23.90,23.27,22.63,22.00
USA,42.13,40.52,38.90,37.28,35.67,34.05,32.43,30.82,29.20,27.58,25.97,24.35
MEX,7.83,7.67,7.50,7.33,7.17,7.00,6.83,6.67,6.50,6.33,6.17,6.00
ESP,26.50,28.10,29.70,29.82,29.93,30.05,30.17,30.28,30.40,30.89,31.38,31.86
ISL,30.53,30.52,30.50,30.48,30.47,30.45,30.43,30.42,30.40,30.38,30.37,30.35
NZL,49.97,48.78,47.60,46.42,45.23,44.05,42.87,41.68,40.50,39.32,38.13,36.95
SWE,28.80,29.30,29.80,29.58,29.37,29.15,28.93,28.72,28.50,28.46,28.42,28.39
EST,25.40,25.40,25.40,25.40,25.40,25.40,25.40,25.40,25.40,25.40,25.40,25.40
BEL,32.70,32.30,31.90,32.50,33.10,33.70,34.30,34.90,35.50,35.85,36.20,36.55
FIN,23.20,23.25,23.30,23.28,23.27,23.25,23.23,23.22,23.20,23.20,23.20,23.20
ITA,29.60,31.30,33.00,33.58,34.17,34.75,35.33,35.92,36.50,37.36,38.22,39.09
CHE,27.80,30.90,34.00,32.65,31.30,29.95,28.60,27.25,25.90,25.66,25.42,25.19
CZE,46.07,45.68,45.30,44.92,44.53,44.15,43.77,43.38,43.00,42.62,42.23,41.85
NLD,36.00,35.95,35.90,36.02,36.13,36.25,36.37,36.48,36.60,36.67,36.75,36.82
LUX,34.10,35.65,37.20,36.48,35.77,35.05,34.33,33.62,32.90,32.75,32.60,32.45
SVN,35.50,35.50,35.50,35.50,35.50,35.50,35.50,35.50,35.50,35.50,35.50,35.50
AUS,42.70,42.20,41.70,41.20,40.70,40.20,39.70,39.20,38.70,38.20,37.70,37.20
CAN,35.83,36.12,36.40,36.68,36.97,37.25,37.53,37.82,38.10,38.38,38.67,38.95
