Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GBR,23708.00,24004.00,24300.00,24296.17,24292.33,24288.50,24284.67,24280.83,24277.00,24348.12,24419.25,24490.38
TUR,12260.33,12561.17,12862.00,13162.83,13463.67,13764.50,14065.33,14366.17,14667.00,14967.83,15268.67,15569.50
CAN,12997.67,12774.83,12552.00,12329.17,12106.33,11883.50,11660.67,11437.83,11215.00,10992.17,10769.33,10546.50
ITA,29937.00,30160.50,30384.00,30011.17,29638.33,29265.50,28892.67,28519.83,28147.00,27923.25,27699.50,27475.75
CHE,2698.00,2726.00,2754.00,2728.50,2703.00,2677.50,2652.00,2626.50,2601.00,2588.88,2576.75,2564.62
BEL,6256.00,6387.00,6518.00,6358.17,6198.33,6038.50,5878.67,5718.83,5559.00,5471.88,5384.75,5297.62
AUS,5462.33,5513.67,5565.00,5616.33,5667.67,5719.00,5770.33,5821.67,5873.00,5924.33,5975.67,6027.00
AUT,2451.00,2555.50,2660.00,2643.33,2626.67,2610.00,2593.33,2576.67,2560.00,2573.62,2587.25,2600.88
KOR,11162.67,11442.33,11722.00,12001.67,12281.33,12561.00,12840.67,13120.33,13400.00,13679.67,13959.33,14239.00
NZL,970.67,972.33,974.00,975.67,977.33,979.00,980.67,982.33,984.00,985.67,987.33,989.00
USA,120267.00,119570.00,118873.00,118176.00,117479.00,116782.00,116085.00,115388.00,114691.00,113994.00,113297.00,112600.00
JPN,43241.67,45402.83,47564.00,49725.17,51886.33,54047.50,56208.67,58369.84,60531.00,62692.17,64853.33,67014.50
IRL,941.00,971.00,1001.00,1027.50,1054.00,1080.50,1107.00,1133.50,1160.00,1187.38,1214.75,1242.12
NLD,7249.00,7251.00,7253.00,7147.17,7041.33,6935.50,6829.67,6723.83,6618.00,6539.12,6460.25,6381.38
GRC,5269.00,5371.50,5474.00,5495.17,5516.33,5537.50,5558.67,5579.83,5601.00,5642.50,5684.00,5725.50
LUX,191.00,198.50,206.00,201.67,197.33,193.00,188.67,184.33,180.00,178.62,177.25,175.88
CZE,5049.00,4970.00,4891.00,4812.00,4733.00,4654.00,4575.00,4496.00,4417.00,4338.00,4259.00,4180.00
DEU,33568.00,32940.00,32312.00,32726.50,33141.00,33555.50,33970.00,34384.50,34799.00,34952.88,35106.75,35260.62
MEX,5397.00,5509.50,5622.00,5734.50,5847.00,5959.50,6072.00,6184.50,6297.00,6409.50,6522.00,6634.50
POL,19610.33,19544.17,19478.00,19411.83,19345.67,19279.50,19213.33,19147.17,19081.00,19014.83,18948.67,18882.50
NOR,1232.00,1264.50,1297.00,1329.50,1362.00,1394.50,1427.00,1459.50,1492.00,1524.50,1557.00,1589.50
FRA,22910.00,22977.00,23044.00,23242.67,23441.33,23640.00,23838.67,24037.33,24236.00,24401.75,24567.50,24733.25
SVK,2296.33,2224.67,2153.00,2081.33,2009.67,1938.00,1866.33,1794.67,1723.00,1651.33,1579.67,1508.00
ESP,16821.00,17402.00,17983.00,18333.33,18683.67,19034.00,19384.33,19734.67,20085.00,20493.00,20901.00,21309.00
HUN,6634.00,6547.50,6461.00,6374.50,6288.00,6201.50,6115.00,6028.50,5942.00,5855.50,5769.00,5682.50
DNK,1999.00,2005.00,2011.00,2044.00,2077.00,2110.00,2143.00,2176.00,2209.00,2235.25,2261.50,2287.75
PRT,2474.00,2523.00,2572.00,2579.00,2586.00,2593.00,2600.00,2607.00,2614.00,2631.50,2649.00,2666.50
FIN,1443.00,1410.50,1378.00,1402.33,1426.67,1451.00,1475.33,1499.67,1524.00,1534.12,1544.25,1554.38
SWE,1737.00,1736.50,1736.00,1746.33,1756.67,1767.00,1777.33,1787.67,1798.00,1805.62,1813.25,1820.88
ISL,53.00,55.00,57.00,59.00,61.00,63.00,65.00,67.00,69.00,71.00,73.00,75.00
