Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHE,30.10,29.65,29.20,28.78,28.37,27.95,27.53,27.12,26.70,26.28,25.85,25.43
SWE,16.80,17.30,17.80,17.92,18.03,18.15,18.27,18.38,18.50,18.71,18.92,19.14
CHL,14.00,14.00,14.00,14.00,14.00,14.00,14.00,14.00,14.00,14.00,14.00,14.00
AUS,29.07,28.63,28.20,27.77,27.33,26.90,26.47,26.03,25.60,25.17,24.73,24.30
ESP,28.60,29.60,30.60,30.30,30.00,29.70,29.40,29.10,28.80,28.82,28.85,28.87
EST,30.50,30.50,30.50,30.50,30.50,30.50,30.50,30.50,30.50,30.50,30.50,30.50
JPN,25.40,25.30,25.20,25.10,25.00,24.90,24.80,24.70,24.60,24.50,24.40,24.30
SVK,42.43,40.47,38.50,36.53,34.57,32.60,30.63,28.67,26.70,24.73,22.77,20.80
IRL,29.10,29.45,29.80,29.93,30.07,30.20,30.33,30.47,30.60,30.79,30.98,31.16
FRA,30.50,30.60,30.70,30.58,30.47,30.35,30.23,30.12,30.00,29.94,29.88,29.81
HUN,63.13,61.47,59.80,58.13,56.47,54.80,53.13,51.47,49.80,48.13,46.47,44.80
MEX,12.73,12.32,11.90,11.48,11.07,10.65,10.23,9.82,9.40,8.98,8.57,8.15
ISL,30.60,30.30,30.00,29.70,29.40,29.10,28.80,28.50,28.20,27.90,27.60,27.30
FIN,22.80,22.30,21.80,21.35,20.90,20.45,20.00,19.55,19.10,18.64,18.18,17.71
NZL,29.83,29.37,28.90,28.43,27.97,27.50,27.03,26.57,26.10,25.63,25.17,24.70
DEU,30.80,30.25,29.70,29.43,29.17,28.90,28.63,28.37,28.10,27.76,27.43,27.09
GBR,34.70,35.60,36.50,35.72,34.93,34.15,33.37,32.58,31.80,31.44,31.07,30.71
GRC,32.10,32.75,33.40,32.68,31.97,31.25,30.53,29.82,29.10,28.73,28.35,27.98
BEL,43.80,43.80,43.80,42.38,40.97,39.55,38.13,36.72,35.30,34.24,33.17,32.11
CAN,46.30,45.00,43.70,42.40,41.10,39.80,38.50,37.20,35.90,34.60,33.30,32.00
DNK,37.30,37.45,37.60,37.88,38.17,38.45,38.73,39.02,39.30,39.55,39.80,40.05
CZE,42.23,40.97,39.70,38.43,37.17,35.90,34.63,33.37,32.10,30.83,29.57,28.30
USA,51.30,50.15,49.00,47.85,46.70,45.55,44.40,43.25,42.10,40.95,39.80,38.65
TUR,26.67,26.58,26.50,26.42,26.33,26.25,26.17,26.08,26.00,25.92,25.83,25.75
NOR,26.77,27.18,27.60,28.02,28.43,28.85,29.27,29.68,30.10,30.52,30.93,31.35
LUX,36.30,36.90,37.50,36.40,35.30,34.20,33.10,32.00,30.90,30.23,29.55,28.88
NLD,39.80,39.30,38.80,38.17,37.53,36.90,36.27,35.63,35.00,34.40,33.80,33.20
PRT,19.70,19.90,20.10,19.48,18.87,18.25,17.63,17.02,16.40,15.99,15.57,15.16
ITA,34.20,34.30,34.40,33.12,31.83,30.55,29.27,27.98,26.70,25.76,24.83,23.89
KOR,34.93,34.02,33.10,32.18,31.27,30.35,29.43,28.52,27.60,26.68,25.77,24.85
POL,50.90,49.60,48.30,47.00,45.70,44.40,43.10,41.80,40.50,39.20,37.90,36.60
ISR,23.80,23.80,23.80,23.80,23.80,23.80,23.80,23.80,23.80,23.80,23.80,23.80
AUT,27.00,27.75,28.50,27.93,27.37,26.80,26.23,25.67,25.10,24.86,24.62,24.39
SVN,31.50,31.50,31.50,31.50,31.50,31.50,31.50,31.50,31.50,31.50,31.50,31.50
