Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ESP,68667.00,67932.00,68739.00,71057.00,67508.00,69165.00,65327.00,67128.00,67052.00,65242.00,64722.00,64492.00
KOR,30063.00,29534.00,32087.00,31494.00,30240.00,29095.00,29097.00,30163.00,28860.00,28121.00,29379.00,30160.00
FRA,86773.00,86191.00,84844.00,86237.00,77986.00,79799.00,77299.00,77033.00,78385.00,77660.00,76647.45,75634.89
POL,91729.00,91117.00,89163.00,90934.00,88750.00,88972.00,88824.00,90589.00,91415.00,94352.00,92519.00,90526.00
FIN,11474.00,11164.00,11463.00,11088.00,10300.00,10417.00,10404.00,10556.00,10658.00,10503.00,10588.00,10377.00
DNK,10777.00,10833.00,10754.00,10317.00,9583.00,9132.00,8830.00,8330.00,7738.00,7555.00,7393.00,6720.00
HUN,37046.00,36472.00,36627.00,37210.00,36319.00,38302.00,36078.00,35925.00,35340.00,35366.00,36628.00,35695.00
DEU,233683.00,231413.00,233149.00,234412.00,216004.00,215087.00,209375.00,208212.00,208277.00,206128.00,203218.00,196678.00
ITA,132997.00,129917.00,131472.00,135884.00,131801.33,127718.66,123636.00,126945.00,126936.00,127060.00,124970.00,124167.30
CZE,31724.00,31692.00,31500.00,31955.00,30123.00,30582.00,28750.00,28900.00,28748.00,30049.00,29458.00,28604.00
SVN,4109.00,3955.00,4001.00,4071.00,3954.00,4353.00,4116.00,4380.00,4192.00,4415.00,4260.00,4275.10
CAN,38346.00,37750.00,37848.00,37067.00,36695.00,36368.00,34661.00,35162.00,35085.00,34377.00,33936.00,33495.00
CHE,13899.00,13361.00,13310.00,13319.00,12563.00,12541.00,12282.00,12506.00,12460.00,12343.00,12035.00,11848.60
SWE,22400.00,22255.00,22288.00,21472.00,20457.00,19885.00,20173.00,20038.00,19724.00,18828.00,18890.00,18539.00
GBR,129934.45,126097.00,125140.00,122794.00,113297.00,108790.00,102963.00,100402.00,99210.00,93250.00,91560.00,87722.55
USA,503631.00,496953.00,491713.00,481403.00,457321.00,452907.00,431134.00,420327.00,418154.00,400116.00,398920.00,388448.91
GRC,27398.00,27281.00,27033.00,27827.00,26679.00,25915.00,26348.00,26355.00,25936.00,25307.00,25293.00,25082.50
AUS,26055.00,25816.00,26102.00,25320.00,24692.00,23880.50,23069.00,24678.00,25774.00,24190.00,23887.00,23755.00
NOR,9532.00,9329.00,9321.00,8955.00,8569.00,7651.00,8059.00,7868.00,7534.00,7286.00,7023.00,6957.00
MEX,49378.00,49852.00,52100.00,53733.00,53412.00,55385.00,54811.00,57485.00,61295.00,63151.00,67585.00,69405.70
SVK,15325.00,15219.00,14841.00,15022.00,15007.00,15615.00,15702.00,15759.00,15345.00,15409.00,15682.00,15717.70
ISR,5944.00,5833.00,5906.00,5760.00,5666.00,5840.00,5641.00,5825.00,5333.00,5193.00,5192.00,5116.80
LUX,778.00,814.00,780.00,846.00,739.00,792.00,817.00,771.00,727.00,696.00,666.00,693.00
NLD,25553.00,24840.00,25026.00,24308.00,23281.00,22577.00,21870.00,21516.00,21360.00,20579.00,20734.00,20251.00
IRL,6217.00,5777.00,5726.00,5466.00,5233.00,4929.00,4949.00,4972.00,4989.00,4847.00,4553.00,4386.60
BEL,21969.50,21480.00,20990.50,20501.00,19318.00,19003.00,18068.00,18062.00,17972.00,17564.00,17074.50,16585.00
JPN,153709.00,154412.00,155751.00,160913.00,160981.00,170207.00,168999.00,171218.00,174909.00,171869.00,178864.00,183696.00
CHL,10726.00,11168.00,10858.00,11539.00,11910.00,11914.00,11814.00,12406.00,11550.00,12148.00,12306.00,12464.00
AUT,23852.00,22867.00,22123.00,21261.00,19540.00,19588.00,19319.00,19466.00,19165.00,19650.00,19477.00,18802.00
ISL,354.00,306.00,349.00,354.00,319.00,320.00,355.00,314.00,343.00,348.00,347.33,346.67
NZL,5571.00,5967.00,5953.00,5859.00,5896.00,5590.00,5677.00,5464.00,5523.00,5355.00,5331.00,5307.00
PRT,22319.00,22278.00,22303.00,22603.00,21699.75,20796.50,19893.25,18990.00,18803.00,18616.00,18818.00,17792.00
EST,5686.00,5526.00,5645.00,5618.00,5275.00,5153.00,5080.00,4991.00,5110.00,5053.00,5063.00,4767.00
