Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DEU,547.70,532.00,525.60,522.70,476.30,458.90,431.50,417.70,399.10,390.20,373.40,351.20
GBR,496.10,476.70,464.40,448.40,413.10,389.00,361.70,345.60,332.00,311.00,302.10,282.70
DNK,473.30,482.80,463.50,452.40,421.20,394.50,368.80,337.50,312.50,297.50,292.00,257.30
GRC,570.90,547.60,544.40,534.00,513.90,479.70,463.90,442.20,420.20,403.10,372.20,352.33
KOR,336.40,328.40,335.50,311.90,291.70,273.80,263.70,262.40,243.80,226.80,223.90,217.20
ISR,351.00,336.60,322.50,314.80,297.10,284.00,264.30,275.50,239.50,218.60,220.30,207.23
LUX,464.70,438.80,461.80,508.10,429.60,396.60,418.30,385.20,369.50,373.50,328.70,312.30
NLD,447.30,426.90,421.60,408.90,380.20,360.40,335.10,318.30,299.60,284.40,275.50,261.50
BEL,463.95,446.80,429.65,412.50,388.90,368.80,336.30,329.50,321.80,309.60,292.45,275.30
CHE,405.70,391.90,363.00,367.10,336.20,341.80,324.10,314.60,298.70,289.30,282.60,270.29
EST,1049.70,1061.30,1024.70,1035.80,966.50,957.90,956.10,908.40,886.80,828.40,807.00,724.90
AUS,385.90,370.70,361.30,340.60,329.20,308.50,287.80,284.70,283.60,262.10,247.80,240.40
FRA,331.10,322.30,316.10,313.50,288.60,281.70,263.80,254.80,251.00,235.30,224.66,214.01
USA,476.10,452.70,439.20,423.10,395.70,383.30,362.70,354.20,336.50,323.30,318.60,302.85
CAN,384.20,366.90,353.40,344.40,323.10,306.80,286.10,276.90,268.10,254.30,239.87,225.43
HUN,983.40,893.90,903.80,920.30,877.90,914.90,835.20,826.80,785.20,778.30,760.80,733.60
ESP,353.50,343.30,336.90,338.50,314.10,311.50,289.20,288.30,273.60,261.40,253.10,239.20
AUT,601.30,565.00,538.50,497.40,463.90,445.00,432.60,420.80,403.50,402.10,391.80,374.00
FIN,566.70,540.30,529.50,515.20,488.90,471.30,469.30,461.00,438.30,435.20,427.00,408.30
IRL,589.30,550.00,522.50,480.70,454.10,424.90,406.40,394.40,382.00,358.80,331.80,306.05
JPN,279.60,270.80,263.80,262.30,251.00,256.10,242.10,233.90,231.20,220.00,221.40,216.50
SVN,594.20,571.00,558.50,562.30,529.40,544.20,481.10,485.00,440.60,421.00,411.00,392.68
MEX,330.70,325.20,327.70,331.00,320.90,327.60,313.40,309.00,323.50,317.00,334.60,334.99
PRT,486.80,468.50,464.60,451.40,424.10,396.80,369.50,342.20,330.60,320.00,311.00,265.00
SVK,939.00,963.00,953.70,953.00,913.50,927.30,917.30,882.20,849.00,817.50,812.30,799.63
CHL,388.20,374.80,360.20,363.20,358.30,345.20,327.30,325.20,302.00,297.30,287.20,277.10
ISL,420.00,427.00,429.30,408.70,431.50,341.90,355.90,355.10,338.30,339.70,330.78,321.86
POL,818.00,798.80,761.80,773.00,732.70,707.30,687.60,676.80,664.00,667.80,630.90,597.30
NZL,455.00,453.20,439.20,410.50,416.70,365.30,372.10,343.80,333.00,321.40,306.56,291.71
SWE,502.10,485.70,472.40,459.10,427.00,423.20,405.20,390.40,380.50,366.20,355.50,340.84
CZE,846.90,833.40,833.50,852.10,793.90,761.40,714.80,677.60,652.60,654.60,638.10,615.80
NOR,488.00,474.00,460.20,420.60,391.90,363.70,340.60,343.10,330.10,304.70,293.80,284.20
ITA,448.20,426.80,419.90,416.80,394.47,372.13,349.80,340.50,333.00,319.30,306.10,291.89
